ward,precinct,total,Michael G. Grace,Michael G. Grace Percent,Mike Cashman,Mike Cashman Percent,Frank Avila,Frank Avila Percent,Heather Boyle,Heather Boyle Percent,M Cameron ''Cam'' Davis,M Cameron ''Cam'' Davis Percent,Kimberly Neely Dubuclet,Kimberly Neely Dubuclet Percent,Eira L. Corral Sep̼lveda,Eira L. Corral Sep̼lveda Percent,Patricia Theresa Flynn,Patricia Theresa Flynn Percent,Shundar Lin,Shundar Lin Percent,Deyon Dean,Deyon Dean Percent,precinct_id
1,1,645,22,3.41,17,2.64,70,10.85,48,7.44,119,18.45,144,22.33,131,20.31,53,8.22,28,4.34,13,2.02,01001
1,2,574,34,5.92,24,4.18,88,15.33,61,10.63,82,14.29,109,18.99,96,16.72,51,8.89,20,3.48,9,1.57,01002
1,3,711,23,3.23,26,3.66,59,8.3,75,10.55,126,17.72,156,21.94,135,18.99,54,7.59,41,5.77,16,2.25,01003
1,4,606,28,4.62,22,3.63,51,8.42,69,11.39,101,16.67,127,20.96,115,18.98,49,8.09,33,5.45,11,1.82,01004
1,5,612,15,2.45,17,2.78,50,8.17,63,10.29,122,19.93,147,24.02,119,19.44,47,7.68,21,3.43,11,1.8,01005
1,6,528,42,7.95,17,3.22,61,11.55,68,12.88,70,13.26,87,16.48,80,15.15,52,9.85,35,6.63,16,3.03,01006
1,7,496,27,5.44,13,2.62,59,11.9,54,10.89,83,16.73,102,20.56,72,14.52,51,10.28,30,6.05,5,1.01,01007
1,8,507,42,8.28,18,3.55,54,10.65,45,8.88,90,17.75,98,19.33,71,14.0,43,8.48,30,5.92,16,3.16,01008
1,9,441,23,5.22,23,5.22,59,13.38,43,9.75,64,14.51,83,18.82,80,18.14,37,8.39,20,4.54,9,2.04,01009
1,10,639,36,5.63,21,3.29,53,8.29,78,12.21,103,16.12,131,20.5,100,15.65,61,9.55,39,6.1,17,2.66,01010
1,11,696,28,4.02,19,2.73,52,7.47,80,11.49,128,18.39,164,23.56,125,17.96,49,7.04,36,5.17,15,2.16,01011
1,12,770,32,4.16,19,2.47,79,10.26,96,12.47,128,16.62,161,20.91,122,15.84,79,10.26,43,5.58,11,1.43,01012
1,13,302,17,5.63,7,2.32,30,9.93,32,10.6,59,19.54,59,19.54,58,19.21,21,6.95,17,5.63,2,0.66,01013
1,14,638,29,4.55,20,3.13,55,8.62,70,10.97,110,17.24,134,21.0,120,18.81,58,9.09,29,4.55,13,2.04,01014
1,15,470,19,4.04,17,3.62,49,10.43,53,11.28,74,15.74,94,20.0,78,16.6,56,11.91,21,4.47,9,1.91,01015
1,16,818,34,4.16,22,2.69,91,11.12,77,9.41,147,17.97,175,21.39,155,18.95,60,7.33,48,5.87,9,1.1,01016
1,17,596,28,4.7,13,2.18,59,9.9,43,7.21,118,19.8,123,20.64,114,19.13,46,7.72,32,5.37,20,3.36,01017
1,18,577,24,4.16,18,3.12,65,11.27,51,8.84,100,17.33,124,21.49,101,17.5,49,8.49,31,5.37,14,2.43,01018
1,19,731,40,5.47,16,2.19,66,9.03,72,9.85,130,17.78,158,21.61,131,17.92,55,7.52,45,6.16,18,2.46,01019
1,20,566,16,2.83,15,2.65,64,11.31,50,8.83,99,17.49,126,22.26,106,18.73,44,7.77,32,5.65,14,2.47,01020
1,21,732,42,5.74,28,3.83,60,8.2,76,10.38,128,17.49,160,21.86,130,17.76,61,8.33,38,5.19,9,1.23,01021
1,22,402,12,2.99,8,1.99,57,14.18,41,10.2,72,17.91,82,20.4,69,17.16,42,10.45,16,3.98,3,0.75,01022
1,23,1004,33,3.29,21,2.09,90,8.96,81,8.07,199,19.82,213,21.22,215,21.41,73,7.27,56,5.58,23,2.29,01023
1,24,602,33,5.48,24,3.99,97,16.11,61,10.13,85,14.12,104,17.28,113,18.77,49,8.14,24,3.99,12,1.99,01024
1,25,572,24,4.2,22,3.85,66,11.54,61,10.66,73,12.76,131,22.9,93,16.26,44,7.69,44,7.69,14,2.45,01025
1,26,402,25,6.22,16,3.98,67,16.67,39,9.7,54,13.43,63,15.67,72,17.91,36,8.96,18,4.48,12,2.99,01026
1,27,674,29,4.3,28,4.15,61,9.05,51,7.57,123,18.25,146,21.66,137,20.33,42,6.23,37,5.49,20,2.97,01027
1,28,173,23,13.29,8,4.62,29,16.76,27,15.61,18,10.4,19,10.98,14,8.09,17,9.83,10,5.78,8,4.62,01028
1,29,698,25,3.58,27,3.87,70,10.03,75,10.74,122,17.48,156,22.35,118,16.91,62,8.88,39,5.59,4,0.57,01029
1,30,774,27,3.49,24,3.1,92,11.89,66,8.53,127,16.41,162,20.93,157,20.28,52,6.72,51,6.59,16,2.07,01030
1,31,474,35,7.38,19,4.01,52,10.97,42,8.86,70,14.77,97,20.46,81,17.09,39,8.23,27,5.7,12,2.53,01031
1,32,569,29,5.1,12,2.11,57,10.02,60,10.54,86,15.11,122,21.44,98,17.22,70,12.3,20,3.51,15,2.64,01032
1,33,683,36,5.27,29,4.25,63,9.22,74,10.83,113,16.54,139,20.35,113,16.54,64,9.37,40,5.86,12,1.76,01033
1,34,553,21,3.8,12,2.17,58,10.49,51,9.22,101,18.26,124,22.42,104,18.81,41,7.41,25,4.52,16,2.89,01034
1,35,723,31,4.29,28,3.87,64,8.85,90,12.45,115,15.91,148,20.47,116,16.04,68,9.41,48,6.64,15,2.07,01035
1,36,672,33,4.91,24,3.57,57,8.48,74,11.01,122,18.15,138,20.54,112,16.67,50,7.44,44,6.55,18,2.68,01036
1,37,506,29,5.73,32,6.32,53,10.47,53,10.47,74,14.62,98,19.37,86,17.0,37,7.31,29,5.73,15,2.96,01037
1,38,470,25,5.32,19,4.04,46,9.79,51,10.85,79,16.81,88,18.72,78,16.6,43,9.15,33,7.02,8,1.7,01038
1,39,489,22,4.5,12,2.45,51,10.43,65,13.29,71,14.52,104,21.27,78,15.95,44,9.0,32,6.54,10,2.04,01039
1,40,598,52,8.7,30,5.02,85,14.21,56,9.36,86,14.38,102,17.06,80,13.38,62,10.37,26,4.35,19,3.18,01040
1,41,405,23,5.68,9,2.22,38,9.38,35,8.64,70,17.28,88,21.73,70,17.28,33,8.15,24,5.93,15,3.7,01041
1,42,184,6,3.26,5,2.72,20,10.87,22,11.96,35,19.02,30,16.3,34,18.48,17,9.24,10,5.43,5,2.72,01042
1,43,407,21,5.16,11,2.7,50,12.29,37,9.09,67,16.46,88,21.62,67,16.46,35,8.6,23,5.65,8,1.97,01043
1,44,541,21,3.88,18,3.33,50,9.24,58,10.72,91,16.82,121,22.37,117,21.63,31,5.73,21,3.88,13,2.4,01044
2,1,616,32,5.19,23,3.73,56,9.09,81,13.15,99,16.07,114,18.51,101,16.4,57,9.25,33,5.36,20,3.25,02001
2,2,417,21,5.04,15,3.6,39,9.35,45,10.79,76,18.23,90,21.58,63,15.11,43,10.31,20,4.8,5,1.2,02002
2,3,633,27,4.27,25,3.95,48,7.58,67,10.58,113,17.85,146,23.06,110,17.38,48,7.58,40,6.32,9,1.42,02003
2,4,574,26,4.53,13,2.26,68,11.85,61,10.63,97,16.9,126,21.95,103,17.94,42,7.32,27,4.7,11,1.92,02004
2,5,678,25,3.69,27,3.98,80,11.8,76,11.21,114,16.81,145,21.39,110,16.22,51,7.52,39,5.75,11,1.62,02005
2,6,594,34,5.72,22,3.7,58,9.76,66,11.11,88,14.81,139,23.4,89,14.98,47,7.91,42,7.07,9,1.52,02006
2,7,424,14,3.3,14,3.3,30,7.08,45,10.61,78,18.4,94,22.17,82,19.34,43,10.14,14,3.3,10,2.36,02007
2,8,625,34,5.44,32,5.12,57,9.12,72,11.52,97,15.52,129,20.64,102,16.32,59,9.44,31,4.96,12,1.92,02008
2,9,344,15,4.36,12,3.49,38,11.05,37,10.76,59,17.15,71,20.64,50,14.53,33,9.59,18,5.23,11,3.2,02009
2,10,378,22,5.82,23,6.08,21,5.56,34,8.99,70,18.52,87,23.02,70,18.52,37,9.79,11,2.91,3,0.79,02010
