ward,precinct,total,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
8,1,155,155,100.0,08001
8,2,159,159,100.0,08002
8,3,282,282,100.0,08003
8,4,272,272,100.0,08004
8,5,262,262,100.0,08005
8,6,241,241,100.0,08006
8,7,259,259,100.0,08007
8,8,252,252,100.0,08008
8,9,153,153,100.0,08009
8,10,324,324,100.0,08010
8,11,149,149,100.0,08011
8,12,189,189,100.0,08012
8,13,220,220,100.0,08013
8,14,146,146,100.0,08014
8,15,195,195,100.0,08015
8,16,69,69,100.0,08016
8,17,208,208,100.0,08017
8,18,153,153,100.0,08018
8,19,268,268,100.0,08019
8,20,263,263,100.0,08020
8,21,262,262,100.0,08021
8,22,210,210,100.0,08022
8,23,173,173,100.0,08023
8,24,141,141,100.0,08024
8,25,204,204,100.0,08025
8,26,158,158,100.0,08026
8,27,250,250,100.0,08027
8,28,216,216,100.0,08028
8,29,248,248,100.0,08029
8,30,246,246,100.0,08030
8,31,161,161,100.0,08031
8,32,204,204,100.0,08032
8,33,166,166,100.0,08033
8,34,232,232,100.0,08034
8,35,251,251,100.0,08035
8,36,229,229,100.0,08036
8,37,179,179,100.0,08037
8,38,154,154,100.0,08038
8,39,235,235,100.0,08039
8,40,189,189,100.0,08040
8,41,221,221,100.0,08041
8,42,258,258,100.0,08042
8,43,121,121,100.0,08043
8,44,145,145,100.0,08044
8,45,160,160,100.0,08045
8,46,159,159,100.0,08046
8,47,184,184,100.0,08047
8,48,184,184,100.0,08048
8,49,229,229,100.0,08049
8,50,232,232,100.0,08050
8,51,239,239,100.0,08051
8,52,330,330,100.0,08052
8,53,108,108,100.0,08053
8,54,154,154,100.0,08054
8,55,241,241,100.0,08055
8,56,247,247,100.0,08056
