ward,precinct,total,Tiesha L. Smith,Tiesha L. Smith Percent,Cristin Keely McDonald Duffy,Cristin Keely McDonald Duffy Percent,Kerrie Maloney Laytin,Kerrie Maloney Laytin Percent,precinct_id
1,1,264,79,29.92,86,32.58,99,37.5,01001
1,2,249,115,46.18,77,30.92,57,22.89,01002
1,3,271,85,31.37,89,32.84,97,35.79,01003
1,4,230,72,31.3,83,36.09,75,32.61,01004
1,5,235,60,25.53,89,37.87,86,36.6,01005
1,6,208,66,31.73,86,41.35,56,26.92,01006
1,7,198,49,24.75,76,38.38,73,36.87,01007
1,8,187,62,33.16,64,34.22,61,32.62,01008
1,9,186,63,33.87,58,31.18,65,34.95,01009
1,10,244,52,21.31,97,39.75,95,38.93,01010
1,11,246,70,28.46,96,39.02,80,32.52,01011
1,12,306,106,34.64,98,32.03,102,33.33,01012
1,13,128,40,31.25,37,28.91,51,39.84,01013
1,14,242,83,34.3,73,30.17,86,35.54,01014
1,15,195,59,30.26,71,36.41,65,33.33,01015
1,16,344,122,35.47,117,34.01,105,30.52,01016
1,17,253,87,34.39,80,31.62,86,33.99,01017
1,18,243,93,38.27,59,24.28,91,37.45,01018
1,19,262,72,27.48,89,33.97,101,38.55,01019
1,20,241,104,43.15,67,27.8,70,29.05,01020
1,21,291,86,29.55,102,35.05,103,35.4,01021
1,22,158,54,34.18,39,24.68,65,41.14,01022
1,23,413,124,30.02,132,31.96,157,38.01,01023
1,24,247,81,32.79,82,33.2,84,34.01,01024
1,25,239,94,39.33,70,29.29,75,31.38,01025
1,26,175,90,51.43,40,22.86,45,25.71,01026
1,27,283,69,24.38,105,37.1,109,38.52,01027
1,28,69,40,57.97,17,24.64,12,17.39,01028
1,29,300,90,30.0,96,32.0,114,38.0,01029
1,30,301,117,38.87,84,27.91,100,33.22,01030
1,31,170,56,32.94,62,36.47,52,30.59,01031
1,32,229,67,29.26,86,37.55,76,33.19,01032
1,33,267,70,26.22,107,40.07,90,33.71,01033
1,34,227,75,33.04,65,28.63,87,38.33,01034
1,35,281,54,19.22,112,39.86,115,40.93,01035
1,36,246,56,22.76,87,35.37,103,41.87,01036
1,37,201,42,20.9,88,43.78,71,35.32,01037
1,38,181,59,32.6,58,32.04,64,35.36,01038
1,39,163,49,30.06,63,38.65,51,31.29,01039
1,40,240,87,36.25,79,32.92,74,30.83,01040
1,41,161,56,34.78,53,32.92,52,32.3,01041
1,42,75,25,33.33,28,37.33,22,29.33,01042
1,43,153,47,30.72,51,33.33,55,35.95,01043
1,44,215,67,31.16,63,29.3,85,39.53,01044
2,1,236,67,28.39,76,32.2,93,39.41,02001
2,2,162,30,18.52,65,40.12,67,41.36,02002
2,3,249,60,24.1,84,33.73,105,42.17,02003
2,4,219,69,31.51,71,32.42,79,36.07,02004
2,5,272,69,25.37,98,36.03,105,38.6,02005
2,6,232,78,33.62,66,28.45,88,37.93,02006
2,7,152,43,28.29,52,34.21,57,37.5,02007
2,8,230,70,30.43,83,36.09,77,33.48,02008
2,9,145,45,31.03,53,36.55,47,32.41,02009
2,10,142,13,9.15,60,42.25,69,48.59,02010
2,11,202,37,18.32,71,35.15,94,46.53,02011
2,12,234,94,40.17,74,31.62,66,28.21,02012
2,13,224,33,14.73,89,39.73,102,45.54,02013
2,14,297,82,27.61,104,35.02,111,37.37,02014
2,15,214,52,24.3,76,35.51,86,40.19,02015
2,16,208,52,25.0,70,33.65,86,41.35,02016
2,17,311,64,20.58,115,36.98,132,42.44,02017
2,18,216,52,24.07,75,34.72,89,41.2,02018
2,19,112,23,20.54,38,33.93,51,45.54,02019
2,20,208,47,22.6,82,39.42,79,37.98,02020
2,21,266,61,22.93,97,36.47,108,40.6,02021
2,22,224,41,18.3,84,37.5,99,44.2,02022
2,23,148,18,12.16,71,47.97,59,39.86,02023
2,24,157,33,21.02,62,39.49,62,39.49,02024
2,25,245,76,31.02,93,37.96,76,31.02,02025
2,26,172,43,25.0,53,30.81,76,44.19,02026
2,27,161,54,33.54,67,41.61,40,24.84,02027
2,28,208,40,19.23,98,47.12,70,33.65,02028
2,29,212,49,23.11,82,38.68,81,38.21,02029
2,30,174,27,15.52,73,41.95,74,42.53,02030
2,31,264,41,15.53,106,40.15,117,44.32,02031
2,32,149,42,28.19,56,37.58,51,34.23,02032
2,33,321,48,14.95,138,42.99,135,42.06,02033
2,34,195,20,10.26,73,37.44,102,52.31,02034
2,35,222,62,27.93,77,34.68,83,37.39,02035
2,36,197,44,22.34,80,40.61,73,37.06,02036
2,37,231,50,21.65,90,38.96,91,39.39,02037
2,38,164,34,20.73,55,33.54,75,45.73,02038
2,39,116,30,25.86,42,36.21,44,37.93,02039
2,40,164,55,33.54,57,34.76,52,31.71,02040
2,41,180,48,26.67,62,34.44,70,38.89,02041
2,42,182,58,31.87,62,34.07,62,34.07,02042
2,43,208,54,25.96,74,35.58,80,38.46,02043
2,44,134,30,22.39,51,38.06,53,39.55,02044
2,45,223,75,33.63,76,34.08,72,32.29,02045
2,46,136,35,25.74,45,33.09,56,41.18,02046
3,1,330,197,59.7,41,12.42,92,27.88,03001
3,2,392,232,59.18,48,12.24,112,28.57,03002
3,3,157,57,36.31,43,27.39,57,36.31,03003
3,4,327,205,62.69,35,10.7,87,26.61,03004
3,5,163,102,62.58,27,16.56,34,20.86,03005
3,6,318,101,31.76,86,27.04,131,41.19,03006
3,7,200,109,54.5,39,19.5,52,26.0,03007
3,8,187,125,66.84,35,18.72,27,14.44,03008
3,9,329,217,65.96,40,12.16,72,21.88,03009
3,10,113,56,49.56,26,23.01,31,27.43,03010
3,11,268,184,68.66,32,11.94,52,19.4,03011
3,12,303,185,61.06,37,12.21,81,26.73,03012
3,13,314,72,22.93,120,38.22,122,38.85,03013
3,14,296,125,42.23,79,26.69,92,31.08,03014
3,15,211,136,64.45,30,14.22,45,21.33,03015
3,16,229,161,70.31,27,11.79,41,17.9,03016
3,17,365,176,48.22,79,21.64,110,30.14,03017
3,18,361,200,55.4,75,20.78,86,23.82,03018
3,19,261,68,26.05,91,34.87,102,39.08,03019
3,20,308,200,64.94,37,12.01,71,23.05,03020
3,21,292,108,36.99,68,23.29,116,39.73,03021
3,22,305,106,34.75,95,31.15,104,34.1,03022
3,23,192,114,59.38,34,17.71,44,22.92,03023
3,24,220,137,62.27,39,17.73,44,20.0,03024
3,25,400,86,21.5,126,31.5,188,47.0,03025
3,26,303,81,26.73,86,28.38,136,44.88,03026
3,27,302,94,31.13,110,36.42,98,32.45,03027
3,28,186,114,61.29,26,13.98,46,24.73,03028
3,29,264,167,63.26,58,21.97,39,14.77,03029
3,30,238,148,62.18,25,10.5,65,27.31,03030
3,31,330,208,63.03,41,12.42,81,24.55,03031
3,32,313,107,34.19,101,32.27,105,33.55,03032
3,33,313,88,28.12,105,33.55,120,38.34,03033
3,34,312,107,34.29,111,35.58,94,30.13,03034
3,35,125,82,65.6,14,11.2,29,23.2,03035
3,36,134,77,57.46,28,20.9,29,21.64,03036
3,37,251,172,68.53,31,12.35,48,19.12,03037
3,38,228,139,60.96,32,14.04,57,25.0,03038
3,39,339,89,26.25,95,28.02,155,45.72,03039
3,40,218,97,44.5,48,22.02,73,33.49,03040
3,41,224,114,50.89,39,17.41,71,31.7,03041
4,1,379,134,35.36,92,24.27,153,40.37,04001
4,2,321,105,32.71,106,33.02,110,34.27,04002
4,3,222,119,53.6,33,14.86,70,31.53,04003
4,4,382,240,62.83,48,12.57,94,24.61,04004
4,5,339,208,61.36,37,10.91,94,27.73,04005
4,6,374,219,58.56,43,11.5,112,29.95,04006
4,7,370,203,54.86,43,11.62,124,33.51,04007
4,8,329,190,57.75,33,10.03,106,32.22,04008
4,9,402,248,61.69,41,10.2,113,28.11,04009
4,10,386,221,57.25,49,12.69,116,30.05,04010
4,11,261,157,60.15,28,10.73,76,29.12,04011
4,12,344,204,59.3,43,12.5,97,28.2,04012
4,13,288,106,36.81,84,29.17,98,34.03,04013
4,14,265,158,59.62,38,14.34,69,26.04,04014
4,15,348,213,61.21,40,11.49,95,27.3,04015
4,16,394,121,30.71,116,29.44,157,39.85,04016
4,17,310,85,27.42,74,23.87,151,48.71,04017
4,18,304,171,56.25,51,16.78,82,26.97,04018
4,19,210,133,63.33,29,13.81,48,22.86,04019
4,20,261,68,26.05,85,32.57,108,41.38,04020
4,21,308,118,38.31,87,28.25,103,33.44,04021
4,22,282,113,40.07,66,23.4,103,36.52,04022
4,23,370,126,34.05,85,22.97,159,42.97,04023
4,24,278,116,41.73,66,23.74,96,34.53,04024
4,25,316,97,30.7,97,30.7,122,38.61,04025
4,26,248,138,55.65,36,14.52,74,29.84,04026
4,27,373,153,41.02,77,20.64,143,38.34,04027
4,28,268,181,67.54,30,11.19,57,21.27,04028
4,29,257,160,62.26,35,13.62,62,24.12,04029
4,30,354,209,59.04,44,12.43,101,28.53,04030
4,31,370,187,50.54,44,11.89,139,37.57,04031
4,32,318,186,58.49,39,12.26,93,29.25,04032
4,33,298,152,51.01,50,16.78,96,32.21,04033
4,34,263,151,57.41,36,13.69,76,28.9,04034
4,35,332,172,51.81,39,11.75,121,36.45,04035
4,36,349,204,58.45,44,12.61,101,28.94,04036
4,37,444,129,29.05,154,34.68,161,36.26,04037
4,38,332,191,57.53,31,9.34,110,33.13,04038
5,1,216,137,63.43,33,15.28,46,21.3,05001
5,2,193,133,68.91,22,11.4,38,19.69,05002
5,3,273,87,31.87,71,26.01,115,42.12,05003
5,4,335,169,50.45,57,17.01,109,32.54,05004
5,5,222,135,60.81,34,15.32,53,23.87,05005
5,6,226,134,59.29,36,15.93,56,24.78,05006
5,7,277,163,58.84,47,16.97,67,24.19,05007
5,8,296,56,18.92,114,38.51,126,42.57,05008
5,9,348,156,44.83,68,19.54,124,35.63,05009
5,10,206,135,65.53,25,12.14,46,22.33,05010
5,11,296,132,44.59,58,19.59,106,35.81,05011
5,12,168,117,69.64,19,11.31,32,19.05,05012
5,13,243,150,61.73,40,16.46,53,21.81,05013
5,14,253,164,64.82,25,9.88,64,25.3,05014
5,15,272,127,46.69,54,19.85,91,33.46,05015
5,16,243,154,63.37,37,15.23,52,21.4,05016
5,17,195,121,62.05,37,18.97,37,18.97,05017
5,18,275,102,37.09,67,24.36,106,38.55,05018
