ward,precinct,total,"Howard B. Brookins, Jr.","Howard B. Brookins, Jr. Percent",precinct_id
21,1,236,236,100.0,21001
21,2,143,143,100.0,21002
21,3,223,223,100.0,21003
21,4,177,177,100.0,21004
21,5,238,238,100.0,21005
21,6,185,185,100.0,21006
21,7,212,212,100.0,21007
21,8,207,207,100.0,21008
21,9,243,243,100.0,21009
21,10,191,191,100.0,21010
21,11,201,201,100.0,21011
21,12,179,179,100.0,21012
21,13,196,196,100.0,21013
21,14,232,232,100.0,21014
21,15,189,189,100.0,21015
21,16,168,168,100.0,21016
21,17,151,151,100.0,21017
21,18,237,237,100.0,21018
21,19,227,227,100.0,21019
21,20,172,172,100.0,21020
21,21,167,167,100.0,21021
21,22,178,178,100.0,21022
21,23,196,196,100.0,21023
21,24,238,238,100.0,21024
21,25,185,185,100.0,21025
21,26,159,159,100.0,21026
21,27,207,207,100.0,21027
21,28,249,249,100.0,21028
21,29,259,259,100.0,21029
21,30,153,153,100.0,21030
21,31,154,154,100.0,21031
21,32,192,192,100.0,21032
21,33,193,193,100.0,21033
21,34,175,175,100.0,21034
21,35,253,253,100.0,21035
21,36,209,209,100.0,21036
21,37,142,142,100.0,21037
21,38,180,180,100.0,21038
21,39,167,167,100.0,21039
21,40,188,188,100.0,21040
21,41,213,213,100.0,21041
21,42,240,240,100.0,21042
21,43,184,184,100.0,21043
21,44,236,236,100.0,21044
21,45,171,171,100.0,21045
21,46,227,227,100.0,21046
21,47,171,171,100.0,21047
21,48,192,192,100.0,21048
21,49,237,237,100.0,21049
21,50,144,144,100.0,21050
21,51,209,209,100.0,21051
21,52,195,195,100.0,21052
21,53,179,179,100.0,21053
21,54,183,183,100.0,21054
