ward,precinct,total,Mattie Hunter,Mattie Hunter Percent,Jennifer O. Maddox,Jennifer O. Maddox Percent,precinct_id
20,1,223,111,49.78,112,50.22,20001
20,2,47,30,63.83,17,36.17,20002
20,3,174,99,56.9,75,43.1,20003
20,4,87,58,66.67,29,33.33,20004
20,5,248,134,54.03,114,45.97,20005
20,6,77,51,66.23,26,33.77,20006
20,7,200,104,52.0,96,48.0,20007
20,8,180,110,61.11,70,38.89,20008
20,9,320,175,54.69,145,45.31,20009
20,10,139,73,52.52,66,47.48,20010
20,11,264,167,63.26,97,36.74,20011
20,12,148,77,52.03,71,47.97,20012
20,13,219,120,54.79,99,45.21,20013
20,14,119,71,59.66,48,40.34,20014
20,15,161,69,42.86,92,57.14,20015
20,16,275,143,52.0,132,48.0,20016
20,17,120,66,55.0,54,45.0,20017
20,18,132,65,49.24,67,50.76,20018
20,19,200,109,54.5,91,45.5,20019
20,20,126,61,48.41,65,51.59,20020
20,21,126,79,62.7,47,37.3,20021
20,22,270,164,60.74,106,39.26,20022
20,23,176,107,60.8,69,39.2,20023
20,24,232,128,55.17,104,44.83,20024
20,25,119,81,68.07,38,31.93,20025
20,26,207,108,52.17,99,47.83,20026
20,27,112,66,58.93,46,41.07,20027
20,28,112,59,52.68,53,47.32,20028
20,29,209,133,63.64,76,36.36,20029
20,30,90,57,63.33,33,36.67,20030
20,31,240,160,66.67,80,33.33,20031
20,32,145,82,56.55,63,43.45,20032
20,33,135,65,48.15,70,51.85,20033
20,34,279,120,43.01,159,56.99,20034
20,35,136,31,22.79,105,77.21,20035
20,36,52,34,65.38,18,34.62,20036
20,37,51,32,62.75,19,37.25,20037
20,38,53,30,56.6,23,43.4,20038
20,39,11,6,54.55,5,45.45,20039
