ward,precinct,total,Erin Haggerty Antonietti,Erin Haggerty Antonietti Percent,Thomas G. O'Brien,Thomas G. O'Brien Percent,precinct_id
19,47,398,301,75.63,97,24.37,19047
19,48,255,176,69.02,79,30.98,19048
19,49,314,233,74.2,81,25.8,19049
19,50,216,162,75.0,54,25.0,19050
19,51,298,221,74.16,77,25.84,19051
19,52,241,163,67.63,78,32.37,19052
19,53,227,167,73.57,60,26.43,19053
19,54,172,109,63.37,63,36.63,19054
19,55,171,117,68.42,54,31.58,19055
19,56,333,281,84.38,52,15.62,19056
19,57,278,235,84.53,43,15.47,19057
22,1,105,46,43.81,59,56.19,22001
22,2,217,126,58.06,91,41.94,22002
22,8,234,144,61.54,90,38.46,22008
22,23,206,131,63.59,75,36.41,22023
23,1,154,97,62.99,57,37.01,23001
23,2,153,101,66.01,52,33.99,23002
23,3,143,92,64.34,51,35.66,23003
23,4,193,118,61.14,75,38.86,23004
23,5,197,119,60.41,78,39.59,23005
23,6,88,50,56.82,38,43.18,23006
23,7,152,78,51.32,74,48.68,23007
23,8,199,128,64.32,71,35.68,23008
23,9,158,82,51.9,76,48.1,23009
23,10,194,117,60.31,77,39.69,23010
23,11,182,109,59.89,73,40.11,23011
23,12,181,123,67.96,58,32.04,23012
23,13,158,86,54.43,72,45.57,23013
23,14,163,106,65.03,57,34.97,23014
23,15,65,41,63.08,24,36.92,23015
23,16,176,110,62.5,66,37.5,23016
23,17,109,59,54.13,50,45.87,23017
23,18,138,80,57.97,58,42.03,23018
23,19,151,90,59.6,61,40.4,23019
23,20,102,63,61.76,39,38.24,23020
23,21,196,131,66.84,65,33.16,23021
23,22,156,93,59.62,63,40.38,23022
23,23,162,100,61.73,62,38.27,23023
23,24,119,69,57.98,50,42.02,23024
23,25,165,103,62.42,62,37.58,23025
23,26,159,94,59.12,65,40.88,23026
23,27,159,94,59.12,65,40.88,23027
23,28,170,106,62.35,64,37.65,23028
23,29,143,83,58.04,60,41.96,23029
23,30,218,118,54.13,100,45.87,23030
23,31,147,88,59.86,59,40.14,23031
23,32,162,99,61.11,63,38.89,23032
23,33,172,93,54.07,79,45.93,23033
23,34,181,98,54.14,83,45.86,23034
23,35,130,79,60.77,51,39.23,23035
23,36,142,95,66.9,47,33.1,23036
23,37,170,111,65.29,59,34.71,23037
23,38,148,83,56.08,65,43.92,23038
23,39,197,125,63.45,72,36.55,23039
34,17,258,128,49.61,130,50.39,34017
34,19,29,20,68.97,9,31.03,34019
34,49,126,95,75.4,31,24.6,34049
