ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,Samantha Simpson,Samantha Simpson Percent,precinct_id
6,10,131,96,73.28,35,26.72,06010
6,17,140,94,67.14,46,32.86,06017
6,19,48,36,75.0,12,25.0,06019
6,20,129,90,69.77,39,30.23,06020
6,22,40,26,65.0,14,35.0,06022
6,25,101,76,75.25,25,24.75,06025
6,26,36,31,86.11,5,13.89,06026
6,27,116,93,80.17,23,19.83,06027
17,2,193,162,83.94,31,16.06,17002
17,4,263,148,56.27,115,43.73,17004
17,5,138,110,79.71,28,20.29,17005
17,9,158,129,81.65,29,18.35,17009
17,10,266,212,79.7,54,20.3,17010
17,11,124,88,70.97,36,29.03,17011
17,15,212,156,73.58,56,26.42,17015
17,18,256,177,69.14,79,30.86,17018
17,20,274,192,70.07,82,29.93,17020
17,21,57,41,71.93,16,28.07,17021
17,22,167,134,80.24,33,19.76,17022
17,23,135,114,84.44,21,15.56,17023
17,24,231,186,80.52,45,19.48,17024
17,26,222,171,77.03,51,22.97,17026
17,27,204,172,84.31,32,15.69,17027
17,28,154,121,78.57,33,21.43,17028
17,29,151,112,74.17,39,25.83,17029
17,32,136,104,76.47,32,23.53,17032
17,34,107,87,81.31,20,18.69,17034
17,37,183,137,74.86,46,25.14,17037
17,38,217,141,64.98,76,35.02,17038
17,39,215,167,77.67,48,22.33,17039
17,40,246,190,77.24,56,22.76,17040
17,41,286,223,77.97,63,22.03,17041
18,4,278,199,71.58,79,28.42,18004
18,6,168,109,64.88,59,35.12,18006
18,7,194,133,68.56,61,31.44,18007
18,8,248,174,70.16,74,29.84,18008
18,9,97,73,75.26,24,24.74,18009
18,10,368,281,76.36,87,23.64,18010
18,12,138,90,65.22,48,34.78,18012
18,13,255,175,68.63,80,31.37,18013
18,14,266,198,74.44,68,25.56,18014
18,16,228,151,66.23,77,33.77,18016
18,18,219,154,70.32,65,29.68,18018
18,19,203,166,81.77,37,18.23,18019
18,20,180,127,70.56,53,29.44,18020
18,21,143,78,54.55,65,45.45,18021
18,22,316,230,72.78,86,27.22,18022
18,26,243,166,68.31,77,31.69,18026
18,29,13,10,76.92,3,23.08,18029
18,32,17,10,58.82,7,41.18,18032
18,33,90,66,73.33,24,26.67,18033
18,35,306,217,70.92,89,29.08,18035
18,36,218,168,77.06,50,22.94,18036
18,37,303,227,74.92,76,25.08,18037
18,38,231,178,77.06,53,22.94,18038
18,41,311,232,74.6,79,25.4,18041
21,2,37,25,67.57,12,32.43,21002
21,4,209,157,75.12,52,24.88,21004
21,13,19,13,68.42,6,31.58,21013
21,15,172,141,81.98,31,18.02,21015
21,17,32,23,71.88,9,28.13,21017
21,20,102,83,81.37,19,18.63,21020
21,26,181,147,81.22,34,18.78,21026
21,28,284,198,69.72,86,30.28,21028
21,30,175,131,74.86,44,25.14,21030
21,34,101,83,82.18,18,17.82,21034
21,43,163,129,79.14,34,20.86,21043
21,44,47,32,68.09,15,31.91,21044
21,47,197,161,81.73,36,18.27,21047
21,51,240,193,80.42,47,19.58,21051
21,52,192,155,80.73,37,19.27,21052
21,53,116,86,74.14,30,25.86,21053
21,54,196,157,80.1,39,19.9,21054
