ward,precinct,total,Anthony Joel Quezada,Anthony Joel Quezada Percent,precinct_id
35,1,235,235,100.0,35001
35,2,271,271,100.0,35002
35,3,203,203,100.0,35003
35,4,214,214,100.0,35004
35,5,190,190,100.0,35005
35,6,229,229,100.0,35006
35,7,251,251,100.0,35007
35,8,213,213,100.0,35008
35,9,179,179,100.0,35009
35,10,305,305,100.0,35010
35,11,257,257,100.0,35011
35,12,139,139,100.0,35012
35,13,125,125,100.0,35013
35,14,168,168,100.0,35014
35,15,277,277,100.0,35015
35,16,107,107,100.0,35016
35,17,232,232,100.0,35017
35,18,159,159,100.0,35018
35,19,138,138,100.0,35019
35,20,194,194,100.0,35020
35,21,226,226,100.0,35021
35,22,273,273,100.0,35022
35,23,228,228,100.0,35023
35,24,187,187,100.0,35024
35,25,214,214,100.0,35025
35,26,190,190,100.0,35026
35,27,208,208,100.0,35027
35,28,224,224,100.0,35028
35,29,178,178,100.0,35029
35,30,184,184,100.0,35030
35,31,200,200,100.0,35031
