ward,precinct,total,"Gerardo Tristan, Jr.","Gerardo Tristan, Jr. Percent",Steve Demitro,Steve Demitro Percent,precinct_id
3,28,10,7,70.0,3,30.0,03028
11,1,239,154,64.44,85,35.56,11001
11,2,15,8,53.33,7,46.67,11002
11,3,197,167,84.77,30,15.23,11003
11,4,173,118,68.21,55,31.79,11004
11,5,305,235,77.05,70,22.95,11005
11,7,157,113,71.97,44,28.03,11007
11,8,206,137,66.5,69,33.5,11008
11,9,198,124,62.63,74,37.37,11009
11,10,191,105,54.97,86,45.03,11010
11,11,191,127,66.49,64,33.51,11011
11,17,321,209,65.11,112,34.89,11017
11,19,275,208,75.64,67,24.36,11019
11,21,301,166,55.15,135,44.85,11021
11,22,270,167,61.85,103,38.15,11022
11,24,330,180,54.55,150,45.45,11024
11,25,265,164,61.89,101,38.11,11025
11,26,272,164,60.29,108,39.71,11026
11,29,265,127,47.92,138,52.08,11029
11,31,205,86,41.95,119,58.05,11031
11,33,246,177,71.95,69,28.05,11033
11,37,1,1,100.0,0,0.0,11037
11,38,102,86,84.31,16,15.69,11038
12,1,252,143,56.75,109,43.25,12001
12,2,171,119,69.59,52,30.41,12002
12,3,322,202,62.73,120,37.27,12003
12,4,273,161,58.97,112,41.03,12004
12,5,199,100,50.25,99,49.75,12005
12,6,233,163,69.96,70,30.04,12006
12,7,204,155,75.98,49,24.02,12007
12,8,243,152,62.55,91,37.45,12008
12,9,194,137,70.62,57,29.38,12009
12,10,271,214,78.97,57,21.03,12010
12,11,227,178,78.41,49,21.59,12011
12,12,202,139,68.81,63,31.19,12012
12,13,204,129,63.24,75,36.76,12013
12,14,183,143,78.14,40,21.86,12014
12,15,184,118,64.13,66,35.87,12015
12,16,158,117,74.05,41,25.95,12016
12,17,207,146,70.53,61,29.47,12017
12,18,137,103,75.18,34,24.82,12018
12,19,213,139,65.26,74,34.74,12019
12,20,213,145,68.08,68,31.92,12020
12,21,202,145,71.78,57,28.22,12021
12,22,207,153,73.91,54,26.09,12022
12,23,246,143,58.13,103,41.87,12023
14,5,262,217,82.82,45,17.18,14005
