ward,precinct,total,Justin Q. Slaughter,Justin Q. Slaughter Percent,precinct_id
9,2,73,73,100.0,09002
9,10,159,159,100.0,09010
9,17,62,62,100.0,09017
9,20,167,167,100.0,09020
9,21,186,186,100.0,09021
9,27,167,167,100.0,09027
9,30,138,138,100.0,09030
19,14,248,248,100.0,19014
19,20,267,267,100.0,19020
19,31,206,206,100.0,19031
19,40,263,263,100.0,19040
19,42,194,194,100.0,19042
19,43,342,342,100.0,19043
19,47,378,378,100.0,19047
19,48,263,263,100.0,19048
19,49,314,314,100.0,19049
21,2,112,112,100.0,21002
21,5,259,259,100.0,21005
21,6,189,189,100.0,21006
21,10,188,188,100.0,21010
21,11,187,187,100.0,21011
21,12,189,189,100.0,21012
21,17,132,132,100.0,21017
21,19,224,224,100.0,21019
21,20,83,83,100.0,21020
21,21,165,165,100.0,21021
21,22,127,127,100.0,21022
21,23,179,179,100.0,21023
21,24,222,222,100.0,21024
21,25,197,197,100.0,21025
21,27,209,209,100.0,21027
21,33,199,199,100.0,21033
21,34,86,86,100.0,21034
21,35,256,256,100.0,21035
21,36,163,163,100.0,21036
21,37,158,158,100.0,21037
21,38,181,181,100.0,21038
21,39,160,160,100.0,21039
21,40,193,193,100.0,21040
21,41,214,214,100.0,21041
21,42,159,159,100.0,21042
21,43,36,36,100.0,21043
21,44,174,174,100.0,21044
21,45,167,167,100.0,21045
21,46,235,235,100.0,21046
21,48,119,119,100.0,21048
21,49,233,233,100.0,21049
21,50,145,145,100.0,21050
21,52,23,23,100.0,21052
34,1,221,221,100.0,34001
34,2,83,83,100.0,34002
34,5,189,189,100.0,34005
34,7,246,246,100.0,34007
34,8,164,164,100.0,34008
34,10,222,222,100.0,34010
34,12,238,238,100.0,34012
34,13,210,210,100.0,34013
34,15,138,138,100.0,34015
34,17,268,268,100.0,34017
34,19,194,194,100.0,34019
34,20,153,153,100.0,34020
34,21,270,270,100.0,34021
34,25,321,321,100.0,34025
34,29,171,171,100.0,34029
34,31,25,25,100.0,34031
34,32,174,174,100.0,34032
34,34,259,259,100.0,34034
34,35,232,232,100.0,34035
34,40,214,214,100.0,34040
34,43,202,202,100.0,34043
34,44,219,219,100.0,34044
34,45,183,183,100.0,34045
34,46,160,160,100.0,34046
34,47,215,215,100.0,34047
34,48,246,246,100.0,34048
34,49,174,174,100.0,34049
34,51,110,110,100.0,34051
34,52,182,182,100.0,34052
