ward,precinct,total,Byron Sigcho-Lopez,Byron Sigcho-Lopez Percent,precinct_id
25,1,194,194,100.0,25001
25,2,290,290,100.0,25002
25,3,255,255,100.0,25003
25,4,148,148,100.0,25004
25,5,272,272,100.0,25005
25,6,74,74,100.0,25006
25,7,254,254,100.0,25007
25,8,289,289,100.0,25008
25,9,230,230,100.0,25009
25,10,215,215,100.0,25010
25,11,279,279,100.0,25011
25,12,257,257,100.0,25012
25,13,281,281,100.0,25013
25,14,147,147,100.0,25014
25,15,201,201,100.0,25015
25,16,237,237,100.0,25016
25,17,222,222,100.0,25017
25,18,135,135,100.0,25018
25,19,273,273,100.0,25019
25,20,103,103,100.0,25020
25,21,282,282,100.0,25021
25,22,241,241,100.0,25022
25,23,290,290,100.0,25023
25,24,266,266,100.0,25024
25,25,187,187,100.0,25025
25,26,256,256,100.0,25026
25,27,231,231,100.0,25027
25,28,279,279,100.0,25028
25,29,149,149,100.0,25029
25,30,239,239,100.0,25030
25,31,280,280,100.0,25031
25,32,202,202,100.0,25032
