ward,precinct,total,Amalia Dejesus (Bernie Sanders),Amalia Dejesus (Bernie Sanders) Percent,Deliah Odeh (Bernie Sanders),Deliah Odeh (Bernie Sanders) Percent,Maureen Sullivan (Bernie Sanders),Maureen Sullivan (Bernie Sanders) Percent,Daniel Guzman (Bernie Sanders),Daniel Guzman (Bernie Sanders) Percent,Jose Requena (Bernie Sanders),Jose Requena (Bernie Sanders) Percent,Kyle Killacky (Bernie Sanders),Kyle Killacky (Bernie Sanders) Percent,Neel Jhobalia (Andrew Yang),Neel Jhobalia (Andrew Yang) Percent,Brian Pioppo (Andrew Yang),Brian Pioppo (Andrew Yang) Percent,Kate Wu (Andrew Yang),Kate Wu (Andrew Yang) Percent,Kathleen ''Kathy'' Shaevel (Elizabeth,Kathleen ''Kathy'' Shaevel (Elizabeth Percent,Adam Flores (Elizabeth Warren),Adam Flores (Elizabeth Warren) Percent,Angela Robertson (Elizabeth Warren),Angela Robertson (Elizabeth Warren) Percent,Jose Luis Torrez (Elizabeth Warren),Jose Luis Torrez (Elizabeth Warren) Percent,Tammy Georgiou (Elizabeth Warren),Tammy Georgiou (Elizabeth Warren) Percent,Christian D. Perry (Elizabeth Warren),Christian D. Perry (Elizabeth Warren) Percent,precinct_id
11,1,1506,128,8.5,115,7.64,142,9.43,131,8.7,107,7.1,100,6.64,12,0.8,10,0.66,29,1.93,20,1.33,18,1.2,21,1.39,21,1.39,11,0.73,13,0.86,11001
11,4,996,93,9.34,91,9.14,102,10.24,90,9.04,80,8.03,84,8.43,19,1.91,19,1.91,22,2.21,10,1.0,12,1.2,11,1.1,12,1.2,6,0.6,6,0.6,11004
11,5,2006,234,11.67,216,10.77,235,11.71,228,11.37,206,10.27,195,9.72,13,0.65,13,0.65,19,0.95,20,1.0,17,0.85,18,0.9,27,1.35,16,0.8,11,0.55,11005
11,8,1213,117,9.65,107,8.82,117,9.65,130,10.72,105,8.66,95,7.83,13,1.07,13,1.07,19,1.57,12,0.99,13,1.07,14,1.15,20,1.65,16,1.32,11,0.91,11008
11,9,1248,123,9.86,120,9.62,129,10.34,126,10.1,111,8.89,108,8.65,7,0.56,6,0.48,17,1.36,13,1.04,10,0.8,13,1.04,15,1.2,12,0.96,13,1.04,11009
11,10,1196,94,7.86,85,7.11,97,8.11,94,7.86,82,6.86,76,6.35,18,1.51,20,1.67,29,2.42,12,1.0,14,1.17,15,1.25,13,1.09,15,1.25,12,1.0,11010
11,11,1285,108,8.4,107,8.33,121,9.42,123,9.57,109,8.48,97,7.55,13,1.01,17,1.32,21,1.63,7,0.54,13,1.01,8,0.62,7,0.54,4,0.31,2,0.16,11011
11,12,1594,72,4.52,66,4.14,115,7.21,77,4.83,60,3.76,66,4.14,10,0.63,13,0.82,10,0.63,14,0.88,14,0.88,17,1.07,15,0.94,11,0.69,6,0.38,11012
11,13,1303,69,5.3,66,5.07,96,7.37,69,5.3,60,4.6,59,4.53,14,1.07,14,1.07,15,1.15,12,0.92,10,0.77,12,0.92,7,0.54,8,0.61,2,0.15,11013
11,15,483,44,9.11,36,7.45,40,8.28,36,7.45,35,7.25,29,6.0,2,0.41,2,0.41,9,1.86,5,1.04,6,1.24,6,1.24,5,1.04,7,1.45,2,0.41,11015
11,16,704,53,7.53,49,6.96,68,9.66,57,8.1,49,6.96,39,5.54,8,1.14,6,0.85,18,2.56,7,0.99,4,0.57,9,1.28,8,1.14,3,0.43,3,0.43,11016
11,17,2027,205,10.11,192,9.47,210,10.36,205,10.11,186,9.18,167,8.24,11,0.54,10,0.49,22,1.09,17,0.84,15,0.74,20,0.99,21,1.04,14,0.69,11,0.54,11017
11,18,1063,63,5.93,58,5.46,82,7.71,66,6.21,57,5.36,55,5.17,20,1.88,13,1.22,22,2.07,7,0.66,15,1.41,10,0.94,15,1.41,9,0.85,9,0.85,11018
11,19,1853,213,11.49,201,10.85,216,11.66,209,11.28,195,10.52,186,10.04,9,0.49,6,0.32,9,0.49,19,1.03,11,0.59,17,0.92,16,0.86,14,0.76,11,0.59,11019
11,20,998,65,6.51,57,5.71,64,6.41,64,6.41,59,5.91,53,5.31,10,1.0,8,0.8,9,0.9,8,0.8,12,1.2,6,0.6,12,1.2,5,0.5,4,0.4,11020
11,21,1846,116,6.28,111,6.01,142,7.69,124,6.72,105,5.69,104,5.63,17,0.92,13,0.7,15,0.81,15,0.81,13,0.7,10,0.54,13,0.7,9,0.49,9,0.49,11021
11,22,1869,175,9.36,167,8.94,195,10.43,171,9.15,163,8.72,158,8.45,18,0.96,18,0.96,23,1.23,19,1.02,18,0.96,15,0.8,25,1.34,20,1.07,13,0.7,11022
11,23,928,66,7.11,59,6.36,76,8.19,67,7.22,59,6.36,54,5.82,13,1.4,16,1.72,18,1.94,8,0.86,9,0.97,6,0.65,8,0.86,5,0.54,8,0.86,11023
11,24,1881,99,5.26,98,5.21,135,7.18,100,5.32,88,4.68,77,4.09,10,0.53,8,0.43,9,0.48,14,0.74,16,0.85,15,0.8,12,0.64,11,0.58,10,0.53,11024
11,25,1765,135,7.65,121,6.86,142,8.05,130,7.37,122,6.91,111,6.29,18,1.02,16,0.91,23,1.3,24,1.36,18,1.02,19,1.08,16,0.91,19,1.08,13,0.74,11025
11,26,1585,131,8.26,124,7.82,174,10.98,128,8.08,121,7.63,111,7.0,8,0.5,7,0.44,13,0.82,11,0.69,13,0.82,14,0.88,11,0.69,10,0.63,8,0.5,11026
11,27,506,46,9.09,45,8.89,49,9.68,48,9.49,46,9.09,37,7.31,5,0.99,6,1.19,11,2.17,8,1.58,9,1.78,8,1.58,8,1.58,11,2.17,7,1.38,11027
11,28,477,34,7.13,27,5.66,41,8.6,30,6.29,25,5.24,26,5.45,2,0.42,2,0.42,1,0.21,12,2.52,4,0.84,5,1.05,7,1.47,5,1.05,2,0.42,11028
11,29,1494,85,5.69,76,5.09,98,6.56,84,5.62,69,4.62,67,4.48,13,0.87,12,0.8,21,1.41,11,0.74,8,0.54,8,0.54,11,0.74,9,0.6,6,0.4,11029
11,31,1225,84,6.86,85,6.94,107,8.73,92,7.51,79,6.45,81,6.61,9,0.73,13,1.06,12,0.98,6,0.49,12,0.98,10,0.82,9,0.73,6,0.49,5,0.41,11031
11,32,629,42,6.68,44,7.0,56,8.9,45,7.15,41,6.52,41,6.52,6,0.95,9,1.43,7,1.11,4,0.64,2,0.32,6,0.95,2,0.32,1,0.16,2,0.32,11032
11,37,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11037
12,1,1338,158,11.81,134,10.01,134,10.01,154,11.51,139,10.39,131,9.79,8,0.6,6,0.45,9,0.67,9,0.67,18,1.35,5,0.37,26,1.94,4,0.3,7,0.52,12001
12,3,1557,170,10.92,155,9.96,160,10.28,175,11.24,150,9.63,137,8.8,9,0.58,5,0.32,17,1.09,9,0.58,20,1.28,15,0.96,20,1.28,14,0.9,4,0.26,12003
12,4,1494,182,12.18,157,10.51,155,10.37,185,12.38,158,10.58,151,10.11,7,0.47,7,0.47,13,0.87,11,0.74,20,1.34,18,1.2,18,1.2,8,0.54,10,0.67,12004
12,5,437,41,9.38,35,8.01,38,8.7,37,8.47,34,7.78,36,8.24,10,2.29,8,1.83,8,1.83,3,0.69,9,2.06,5,1.14,9,2.06,2,0.46,1,0.23,12005
12,8,72,11,15.28,11,15.28,11,15.28,10,13.89,11,15.28,9,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,1.39,1,1.39,1,1.39,0,0.0,0,0.0,12008
12,9,1021,101,9.89,88,8.62,94,9.21,98,9.6,82,8.03,80,7.84,8,0.78,6,0.59,15,1.47,15,1.47,31,3.04,18,1.76,37,3.62,10,0.98,8,0.78,12009
12,19,1154,138,11.96,112,9.71,124,10.75,140,12.13,123,10.66,101,8.75,12,1.04,13,1.13,14,1.21,10,0.87,23,1.99,11,0.95,26,2.25,11,0.95,6,0.52,12019
12,23,1386,153,11.04,135,9.74,143,10.32,153,11.04,134,9.67,125,9.02,8,0.58,9,0.65,15,1.08,17,1.23,26,1.88,13,0.94,34,2.45,12,0.87,7,0.51,12023
13,1,968,75,7.75,62,6.4,73,7.54,65,6.71,60,6.2,60,6.2,8,0.83,11,1.14,11,1.14,9,0.93,9,0.93,9,0.93,11,1.14,9,0.93,5,0.52,13001
13,2,865,41,4.74,41,4.74,48,5.55,48,5.55,43,4.97,38,4.39,9,1.04,15,1.73,10,1.16,11,1.27,8,0.92,11,1.27,10,1.16,6,0.69,4,0.46,13002
13,3,932,100,10.73,92,9.87,91,9.76,107,11.48,94,10.09,83,8.91,5,0.54,7,0.75,6,0.64,4,0.43,11,1.18,4,0.43,13,1.39,2,0.21,3,0.32,13003
13,4,1016,78,7.68,71,6.99,80,7.87,81,7.97,73,7.19,63,6.2,8,0.79,8,0.79,9,0.89,11,1.08,11,1.08,10,0.98,10,0.98,5,0.49,6,0.59,13004
13,5,1140,126,11.05,105,9.21,107,9.39,132,11.58,111,9.74,92,8.07,6,0.53,5,0.44,9,0.79,4,0.35,8,0.7,2,0.18,16,1.4,3,0.26,2,0.18,13005
13,6,1180,77,6.53,63,5.34,65,5.51,76,6.44,73,6.19,61,5.17,12,1.02,10,0.85,14,1.19,8,0.68,13,1.1,7,0.59,13,1.1,2,0.17,5,0.42,13006
13,7,769,84,10.92,71,9.23,66,8.58,80,10.4,63,8.19,59,7.67,4,0.52,4,0.52,4,0.52,4,0.52,8,1.04,4,0.52,6,0.78,5,0.65,1,0.13,13007
13,8,762,69,9.06,56,7.35,52,6.82,69,9.06,56,7.35,55,7.22,3,0.39,3,0.39,3,0.39,6,0.79,8,1.05,3,0.39,10,1.31,4,0.52,4,0.52,13008
13,9,980,122,12.45,98,10.0,95,9.69,118,12.04,102,10.41,91,9.29,5,0.51,6,0.61,9,0.92,4,0.41,9,0.92,4,0.41,10,1.02,3,0.31,2,0.2,13009
13,10,922,60,6.51,55,5.97,70,7.59,63,6.83,63,6.83,60,6.51,6,0.65,8,0.87,9,0.98,10,1.08,11,1.19,4,0.43,11,1.19,8,0.87,9,0.98,13010
13,11,1237,106,8.57,88,7.11,91,7.36,101,8.16,85,6.87,77,6.22,10,0.81,9,0.73,15,1.21,10,0.81,12,0.97,11,0.89,16,1.29,7,0.57,5,0.4,13011
13,12,929,89,9.58,79,8.5,92,9.9,101,10.87,85,9.15,80,8.61,4,0.43,6,0.65,5,0.54,7,0.75,6,0.65,6,0.65,8,0.86,6,0.65,2,0.22,13012
13,13,1073,102,9.51,71,6.62,80,7.46,102,9.51,93,8.67,69,6.43,9,0.84,7,0.65,11,1.03,2,0.19,16,1.49,5,0.47,21,1.96,5,0.47,2,0.19,13013
13,14,920,94,10.22,84,9.13,88,9.57,106,11.52,88,9.57,74,8.04,6,0.65,5,0.54,11,1.2,7,0.76,11,1.2,8,0.87,12,1.3,6,0.65,7,0.76,13014
13,15,1482,176,11.88,149,10.05,143,9.65,180,12.15,154,10.39,132,8.91,10,0.67,8,0.54,7,0.47,7,0.47,22,1.48,6,0.4,22,1.48,8,0.54,3,0.2,13015
13,16,686,69,10.06,60,8.75,69,10.06,82,11.95,62,9.04,59,8.6,2,0.29,1,0.15,2,0.29,5,0.73,7,1.02,7,1.02,10,1.46,2,0.29,4,0.58,13016
13,17,847,71,8.38,68,8.03,73,8.62,79,9.33,70,8.26,64,7.56,11,1.3,11,1.3,17,2.01,10,1.18,11,1.3,10,1.18,9,1.06,6,0.71,6,0.71,13017
13,18,780,45,5.77,37,4.74,40,5.13,41,5.26,35,4.49,31,3.97,6,0.77,6,0.77,9,1.15,7,0.9,5,0.64,2,0.26,9,1.15,3,0.38,6,0.77,13018
13,20,698,51,7.31,41,5.87,51,7.31,45,6.45,45,6.45,46,6.59,6,0.86,5,0.72,11,1.58,6,0.86,7,1.0,5,0.72,3,0.43,4,0.57,3,0.43,13020
13,21,1090,57,5.23,48,4.4,67,6.15,61,5.6,48,4.4,57,5.23,10,0.92,10,0.92,13,1.19,12,1.1,13,1.19,10,0.92,9,0.83,12,1.1,7,0.64,13021
13,22,959,64,6.67,55,5.74,68,7.09,65,6.78,58,6.05,55,5.74,9,0.94,8,0.83,13,1.36,5,0.52,9,0.94,8,0.83,12,1.25,6,0.63,7,0.73,13022
13,23,736,75,10.19,62,8.42,67,9.1,76,10.33,64,8.7,59,8.02,5,0.68,7,0.95,4,0.54,3,0.41,10,1.36,2,0.27,13,1.77,2,0.27,1,0.14,13023
13,24,928,84,9.05,67,7.22,80,8.62,93,10.02,74,7.97,68,7.33,5,0.54,7,0.75,5,0.54,8,0.86,12,1.29,4,0.43,14,1.51,4,0.43,7,0.75,13024
13,25,1094,108,9.87,93,8.5,97,8.87,108,9.87,96,8.78,85,7.77,8,0.73,6,0.55,10,0.91,10,0.91,12,1.1,8,0.73,14,1.28,7,0.64,6,0.55,13025
