ward,precinct,total,Daniel O. Tiernan,Daniel O. Tiernan Percent,Perla Tirado,Perla Tirado Percent,precinct_id
3,28,10,8,80.0,2,20.0,03028
11,1,237,133,56.12,104,43.88,11001
11,2,15,10,66.67,5,33.33,11002
11,3,200,53,26.5,147,73.5,11003
11,4,169,76,44.97,93,55.03,11004
11,5,309,142,45.95,167,54.05,11005
11,7,163,82,50.31,81,49.69,11007
11,8,206,111,53.88,95,46.12,11008
11,9,197,109,55.33,88,44.67,11009
11,10,183,118,64.48,65,35.52,11010
11,11,196,87,44.39,109,55.61,11011
11,17,318,161,50.63,157,49.37,11017
11,19,285,117,41.05,168,58.95,11019
11,21,302,184,60.93,118,39.07,11021
11,22,271,143,52.77,128,47.23,11022
11,24,335,221,65.97,114,34.03,11024
11,25,266,134,50.38,132,49.62,11025
11,26,272,135,49.63,137,50.37,11026
11,29,267,165,61.8,102,38.2,11029
11,31,196,123,62.76,73,37.24,11031
11,33,246,133,54.07,113,45.93,11033
11,37,1,0,0.0,1,100.0,11037
11,38,104,41,39.42,63,60.58,11038
12,1,240,85,35.42,155,64.58,12001
12,2,161,42,26.09,119,73.91,12002
12,3,319,116,36.36,203,63.64,12003
12,4,257,87,33.85,170,66.15,12004
12,5,179,72,40.22,107,59.78,12005
12,6,232,85,36.64,147,63.36,12006
12,7,202,64,31.68,138,68.32,12007
12,8,235,80,34.04,155,65.96,12008
12,9,189,65,34.39,124,65.61,12009
12,10,272,53,19.49,219,80.51,12010
12,11,219,47,21.46,172,78.54,12011
12,12,197,60,30.46,137,69.54,12012
12,13,201,60,29.85,141,70.15,12013
12,14,183,45,24.59,138,75.41,12014
12,15,185,64,34.59,121,65.41,12015
12,16,154,35,22.73,119,77.27,12016
12,17,213,54,25.35,159,74.65,12017
12,18,143,39,27.27,104,72.73,12018
12,19,207,61,29.47,146,70.53,12019
12,20,205,69,33.66,136,66.34,12020
12,21,203,65,32.02,138,67.98,12021
12,22,200,56,28.0,144,72.0,12022
12,23,237,58,24.47,179,75.53,12023
14,5,264,86,32.58,178,67.42,14005
14,6,115,50,43.48,65,56.52,14006
14,10,134,34,25.37,100,74.63,14010
14,11,145,69,47.59,76,52.41,14011
14,14,208,62,29.81,146,70.19,14014
14,15,190,59,31.05,131,68.95,14015
14,16,148,54,36.49,94,63.51,14016
14,17,180,48,26.67,132,73.33,14017
14,19,154,43,27.92,111,72.08,14019
14,20,141,58,41.13,83,58.87,14020
14,21,147,36,24.49,111,75.51,14021
14,25,108,27,25.0,81,75.0,14025
14,26,146,41,28.08,105,71.92,14026
14,29,187,77,41.18,110,58.82,14029
14,30,116,41,35.34,75,64.66,14030
14,31,123,34,27.64,89,72.36,14031
15,1,171,32,18.71,139,81.29,15001
15,4,190,46,24.21,144,75.79,15004
15,5,143,34,23.78,109,76.22,15005
15,6,170,42,24.71,128,75.29,15006
15,8,178,47,26.4,131,73.6,15008
15,9,216,63,29.17,153,70.83,15009
15,10,242,74,30.58,168,69.42,15010
15,11,202,59,29.21,143,70.79,15011
15,12,211,52,24.64,159,75.36,15012
15,13,182,45,24.73,137,75.27,15013
15,14,163,32,19.63,131,80.37,15014
15,15,155,40,25.81,115,74.19,15015
15,16,213,81,38.03,132,61.97,15016
15,19,163,74,45.4,89,54.6,15019
16,1,177,45,25.42,132,74.58,16001
16,2,42,27,64.29,15,35.71,16002
16,4,123,76,61.79,47,38.21,16004
16,6,6,5,83.33,1,16.67,16006
16,7,128,65,50.78,63,49.22,16007
