ward,precinct,total,Marie Newman,Marie Newman Percent,Rush Darwish,Rush Darwish Percent,Daniel William Lipinski,Daniel William Lipinski Percent,Charles M. Hughes,Charles M. Hughes Percent,precinct_id
14,22,301,136,45.18,18,5.98,139,46.18,8,2.66,14022
14,23,183,82,44.81,5,2.73,93,50.82,3,1.64,14023
14,24,304,99,32.57,7,2.3,193,63.49,5,1.64,14024
14,25,0,0,0.0,0,0.0,0,0.0,0,0.0,14025
14,26,171,89,52.05,8,4.68,66,38.6,8,4.68,14026
14,29,193,95,49.22,5,2.59,89,46.11,4,2.07,14029
15,1,159,105,66.04,7,4.4,43,27.04,4,2.52,15001
15,5,33,17,51.52,2,6.06,10,30.3,4,12.12,15005
15,8,102,61,59.8,3,2.94,31,30.39,7,6.86,15008
15,13,171,110,64.33,11,6.43,38,22.22,12,7.02,15013
15,14,161,102,63.35,15,9.32,39,24.22,5,3.11,15014
15,15,106,56,52.83,6,5.66,38,35.85,6,5.66,15015
15,16,233,116,49.79,9,3.86,95,40.77,13,5.58,15016
15,19,187,111,59.36,7,3.74,59,31.55,10,5.35,15019
16,1,135,67,49.63,3,2.22,62,45.93,3,2.22,16001
16,7,7,3,42.86,1,14.29,3,42.86,0,0.0,16007
16,23,156,70,44.87,5,3.21,69,44.23,12,7.69,16023
16,32,176,93,52.84,7,3.98,61,34.66,15,8.52,16032
16,35,66,30,45.45,10,15.15,21,31.82,5,7.58,16035
18,15,225,129,57.33,21,9.33,60,26.67,15,6.67,18015
18,24,192,82,42.71,14,7.29,89,46.35,7,3.65,18024
18,25,195,100,51.28,10,5.13,77,39.49,8,4.1,18025
18,30,259,116,44.79,18,6.95,118,45.56,7,2.7,18030
18,40,246,121,49.19,12,4.88,99,40.24,14,5.69,18040
18,43,165,75,45.45,9,5.45,71,43.03,10,6.06,18043
18,46,241,107,44.4,28,11.62,97,40.25,9,3.73,18046
19,1,272,93,34.19,5,1.84,169,62.13,5,1.84,19001
19,2,65,43,66.15,5,7.69,17,26.15,0,0.0,19002
19,3,208,43,20.67,4,1.92,158,75.96,3,1.44,19003
19,4,305,83,27.21,8,2.62,209,68.52,5,1.64,19004
19,5,138,72,52.17,3,2.17,58,42.03,5,3.62,19005
19,6,282,97,34.4,12,4.26,169,59.93,4,1.42,19006
19,7,271,96,35.42,10,3.69,155,57.2,10,3.69,19007
19,8,280,77,27.5,13,4.64,182,65.0,8,2.86,19008
19,9,225,84,37.33,2,0.89,135,60.0,4,1.78,19009
19,10,351,230,65.53,9,2.56,98,27.92,14,3.99,19010
19,11,243,43,17.7,5,2.06,183,75.31,12,4.94,19011
19,12,225,52,23.11,3,1.33,167,74.22,3,1.33,19012
19,15,298,89,29.87,12,4.03,192,64.43,5,1.68,19015
19,16,293,81,27.65,4,1.37,202,68.94,6,2.05,19016
19,17,267,92,34.46,6,2.25,162,60.67,7,2.62,19017
19,18,347,207,59.65,8,2.31,124,35.73,8,2.31,19018
19,19,446,263,58.97,14,3.14,155,34.75,14,3.14,19019
19,21,237,76,32.07,5,2.11,149,62.87,7,2.95,19021
19,22,381,188,49.34,15,3.94,162,42.52,16,4.2,19022
19,23,335,122,36.42,11,3.28,195,58.21,7,2.09,19023
19,24,218,53,24.31,5,2.29,156,71.56,4,1.83,19024
19,25,247,119,48.18,5,2.02,119,48.18,4,1.62,19025
19,26,333,173,51.95,11,3.3,147,44.14,2,0.6,19026
19,29,247,73,29.55,15,6.07,149,60.32,10,4.05,19029
19,30,250,73,29.2,8,3.2,165,66.0,4,1.6,19030
19,32,265,108,40.75,7,2.64,141,53.21,9,3.4,19032
19,33,280,66,23.57,11,3.93,199,71.07,4,1.43,19033
19,34,316,160,50.63,2,0.63,140,44.3,14,4.43,19034
19,35,311,157,50.48,15,4.82,130,41.8,9,2.89,19035
19,41,238,52,21.85,2,0.84,181,76.05,3,1.26,19041
19,44,306,74,24.18,8,2.61,217,70.92,7,2.29,19044
19,45,298,116,38.93,3,1.01,173,58.05,6,2.01,19045
19,46,323,120,37.15,4,1.24,198,61.3,1,0.31,19046
19,50,252,97,38.49,6,2.38,133,52.78,16,6.35,19050
19,51,347,146,42.07,6,1.73,188,54.18,7,2.02,19051
19,52,292,90,30.82,7,2.4,186,63.7,9,3.08,19052
19,53,263,108,41.06,5,1.9,146,55.51,4,1.52,19053
19,54,215,59,27.44,7,3.26,146,67.91,3,1.4,19054
19,55,214,57,26.64,4,1.87,148,69.16,5,2.34,19055
19,56,360,229,63.61,10,2.78,112,31.11,9,2.5,19056
19,57,285,183,64.21,4,1.4,88,30.88,10,3.51,19057
20,4,51,23,45.1,3,5.88,14,27.45,11,21.57,20004
20,15,82,42,51.22,11,13.41,26,31.71,3,3.66,20015
20,20,42,26,61.9,2,4.76,11,26.19,3,7.14,20020
22,1,131,70,53.44,3,2.29,45,34.35,13,9.92,22001
22,2,261,127,48.66,10,3.83,122,46.74,2,0.77,22002
22,8,281,157,55.87,14,4.98,106,37.72,4,1.42,22008
22,12,171,85,49.71,8,4.68,68,39.77,10,5.85,22012
22,23,280,157,56.07,14,5.0,82,29.29,27,9.64,22023
23,1,204,65,31.86,0,0.0,138,67.65,1,0.49,23001
23,2,201,73,36.32,7,3.48,119,59.2,2,1.0,23002
23,3,200,66,33.0,1,0.5,132,66.0,1,0.5,23003
23,4,251,83,33.07,6,2.39,155,61.75,7,2.79,23004
23,5,226,125,55.31,18,7.96,78,34.51,5,2.21,23005
23,6,98,45,45.92,4,4.08,49,50.0,0,0.0,23006
23,7,185,101,54.59,6,3.24,67,36.22,11,5.95,23007
23,8,235,116,49.36,12,5.11,96,40.85,11,4.68,23008
23,9,84,43,51.19,4,4.76,35,41.67,2,2.38,23009
23,10,229,111,48.47,7,3.06,104,45.41,7,3.06,23010
23,11,215,124,57.67,6,2.79,79,36.74,6,2.79,23011
23,12,228,67,29.39,5,2.19,150,65.79,6,2.63,23012
23,14,210,65,30.95,5,2.38,140,66.67,0,0.0,23014
23,15,71,41,57.75,6,8.45,21,29.58,3,4.23,23015
23,16,225,80,35.56,0,0.0,141,62.67,4,1.78,23016
23,17,74,47,63.51,5,6.76,19,25.68,3,4.05,23017
23,18,181,67,37.02,3,1.66,109,60.22,2,1.1,23018
23,19,109,73,66.97,3,2.75,30,27.52,3,2.75,23019
23,20,111,66,59.46,8,7.21,33,29.73,4,3.6,23020
23,21,255,87,34.12,6,2.35,162,63.53,0,0.0,23021
23,22,215,102,47.44,2,0.93,107,49.77,4,1.86,23022
23,23,205,83,40.49,4,1.95,113,55.12,5,2.44,23023
23,25,176,96,54.55,7,3.98,66,37.5,7,3.98,23025
23,26,120,59,49.17,2,1.67,54,45.0,5,4.17,23026
23,27,212,61,28.77,7,3.3,142,66.98,2,0.94,23027
23,28,226,79,34.96,4,1.77,140,61.95,3,1.33,23028
23,29,195,64,32.82,5,2.56,120,61.54,6,3.08,23029
23,30,259,130,50.19,13,5.02,109,42.08,7,2.7,23030
23,31,144,91,63.19,4,2.78,43,29.86,6,4.17,23031
23,32,185,99,53.51,9,4.86,69,37.3,8,4.32,23032
23,33,200,109,54.5,9,4.5,79,39.5,3,1.5,23033
23,34,135,83,61.48,7,5.19,40,29.63,5,3.7,23034
23,35,163,61,37.42,2,1.23,96,58.9,4,2.45,23035
23,36,188,67,35.64,7,3.72,112,59.57,2,1.06,23036
23,37,223,69,30.94,3,1.35,145,65.02,6,2.69,23037
23,38,196,73,37.24,9,4.59,112,57.14,2,1.02,23038
23,39,54,31,57.41,0,0.0,23,42.59,0,0.0,23039
