ward,precinct,total,Lorraine Mary Murphy,Lorraine Mary Murphy Percent,James Patrick Crawley,James Patrick Crawley Percent,Araceli Reyes De La Cruz,Araceli Reyes De La Cruz Percent,precinct_id
3,11,256,107,41.8,45,17.58,104,40.63,03011
3,12,280,112,40.0,46,16.43,122,43.57,03012
3,13,307,122,39.74,43,14.01,142,46.25,03013
3,14,295,134,45.42,58,19.66,103,34.92,03014
3,15,206,92,44.66,41,19.9,73,35.44,03015
3,16,231,114,49.35,33,14.29,84,36.36,03016
3,17,361,142,39.34,63,17.45,156,43.21,03017
3,18,340,128,37.65,63,18.53,149,43.82,03018
3,19,259,116,44.79,51,19.69,92,35.52,03019
3,20,300,113,37.67,75,25.0,112,37.33,03020
3,21,288,128,44.44,55,19.1,105,36.46,03021
3,22,308,137,44.48,52,16.88,119,38.64,03022
3,23,174,69,39.66,44,25.29,61,35.06,03023
3,24,217,107,49.31,41,18.89,69,31.8,03024
3,25,387,182,47.03,64,16.54,141,36.43,03025
3,26,297,130,43.77,45,15.15,122,41.08,03026
3,27,297,128,43.1,42,14.14,127,42.76,03027
3,28,187,84,44.92,41,21.93,62,33.16,03028
3,29,257,121,47.08,66,25.68,70,27.24,03029
3,30,236,100,42.37,37,15.68,99,41.95,03030
3,31,316,111,35.13,68,21.52,137,43.35,03031
3,32,305,139,45.57,50,16.39,116,38.03,03032
3,33,301,141,46.84,49,16.28,111,36.88,03033
3,34,310,127,40.97,53,17.1,130,41.94,03034
3,35,118,41,34.75,20,16.95,57,48.31,03035
3,36,133,64,48.12,33,24.81,36,27.07,03036
3,37,234,99,42.31,48,20.51,87,37.18,03037
3,38,223,100,44.84,39,17.49,84,37.67,03038
3,39,327,142,43.43,43,13.15,142,43.43,03039
3,40,215,91,42.33,38,17.67,86,40.0,03040
3,41,212,72,33.96,43,20.28,97,45.75,03041
4,1,368,103,27.99,70,19.02,195,52.99,04001
4,2,312,149,47.76,38,12.18,125,40.06,04002
4,3,218,84,38.53,38,17.43,96,44.04,04003
