ward,precinct,total,Robin Kelly,Robin Kelly Percent,Marcus Lewis,Marcus Lewis Percent,precinct_id
5,1,229,181,79.04,48,20.96,05001
5,6,227,187,82.38,40,17.62,05006
5,10,51,39,76.47,12,23.53,05010
5,11,198,172,86.87,26,13.13,05011
5,14,271,238,87.82,33,12.18,05014
5,18,124,114,91.94,10,8.06,05018
5,23,508,451,88.78,57,11.22,05023
5,25,224,199,88.84,25,11.16,05025
5,26,261,219,83.91,42,16.09,05026
5,28,317,278,87.7,39,12.3,05028
5,29,296,247,83.45,49,16.55,05029
5,31,190,156,82.11,34,17.89,05031
5,32,331,286,86.4,45,13.6,05032
5,35,58,47,81.03,11,18.97,05035
5,36,104,80,76.92,24,23.08,05036
5,37,343,303,88.34,40,11.66,05037
5,38,232,185,79.74,47,20.26,05038
5,40,213,180,84.51,33,15.49,05040
5,41,188,170,90.43,18,9.57,05041
7,1,112,85,75.89,27,24.11,07001
7,2,195,159,81.54,36,18.46,07002
7,3,258,218,84.5,40,15.5,07003
7,4,239,205,85.77,34,14.23,07004
7,5,199,148,74.37,51,25.63,07005
7,6,290,242,83.45,48,16.55,07006
7,7,191,151,79.06,40,20.94,07007
7,8,135,109,80.74,26,19.26,07008
7,9,385,313,81.3,72,18.7,07009
7,10,254,210,82.68,44,17.32,07010
7,11,206,165,80.1,41,19.9,07011
7,12,191,140,73.3,51,26.7,07012
7,13,154,125,81.17,29,18.83,07013
7,14,221,172,77.83,49,22.17,07014
7,15,217,187,86.18,30,13.82,07015
7,16,156,109,69.87,47,30.13,07016
7,17,201,156,77.61,45,22.39,07017
7,18,149,123,82.55,26,17.45,07018
7,19,180,151,83.89,29,16.11,07019
7,20,142,112,78.87,30,21.13,07020
7,21,138,106,76.81,32,23.19,07021
7,22,175,142,81.14,33,18.86,07022
7,23,226,190,84.07,36,15.93,07023
7,24,160,130,81.25,30,18.75,07024
7,25,167,131,78.44,36,21.56,07025
7,26,183,156,85.25,27,14.75,07026
7,27,172,148,86.05,24,13.95,07027
7,28,133,104,78.2,29,21.8,07028
7,29,170,151,88.82,19,11.18,07029
7,30,140,112,80.0,28,20.0,07030
7,31,139,110,79.14,29,20.86,07031
7,32,336,283,84.23,53,15.77,07032
7,33,331,270,81.57,61,18.43,07033
7,34,292,244,83.56,48,16.44,07034
7,35,227,181,79.74,46,20.26,07035
7,36,288,236,81.94,52,18.06,07036
7,37,232,199,85.78,33,14.22,07037
7,38,175,139,79.43,36,20.57,07038
7,39,205,172,83.9,33,16.1,07039
7,40,211,176,83.41,35,16.59,07040
7,41,204,166,81.37,38,18.63,07041
7,42,195,153,78.46,42,21.54,07042
7,43,212,171,80.66,41,19.34,07043
