ward,precinct,total,Daniel Alexander Trevino,Daniel Alexander Trevino Percent,John Hourihane,John Hourihane Percent,Audrey Victoria Cosgrove,Audrey Victoria Cosgrove Percent,Mary Catherine Marubio,Mary Catherine Marubio Percent,Liam Kelly,Liam Kelly Percent,precinct_id
30,3,94,19,20.21,5,5.32,21,22.34,41,43.62,8,8.51,30003
30,15,248,38,15.32,35,14.11,58,23.39,103,41.53,14,5.65,30015
30,20,40,12,30.0,0,0.0,11,27.5,14,35.0,3,7.5,30020
30,32,184,34,18.48,9,4.89,48,26.09,78,42.39,15,8.15,30032
32,19,169,25,14.79,8,4.73,42,24.85,81,47.93,13,7.69,32019
32,21,225,25,11.11,14,6.22,50,22.22,126,56.0,10,4.44,32021
32,25,156,18,11.54,1,0.64,39,25.0,88,56.41,10,6.41,32025
33,2,357,64,17.93,19,5.32,68,19.05,191,53.5,15,4.2,33002
33,7,301,67,22.26,23,7.64,78,25.91,118,39.2,15,4.98,33007
33,18,347,50,14.41,20,5.76,65,18.73,193,55.62,19,5.48,33018
35,9,192,45,23.44,14,7.29,40,20.83,71,36.98,22,11.46,35009
35,22,283,52,18.37,25,8.83,54,19.08,117,41.34,35,12.37,35022
35,23,100,13,13.0,3,3.0,17,17.0,62,62.0,5,5.0,35023
35,29,189,44,23.28,16,8.47,39,20.63,68,35.98,22,11.64,35029
35,30,194,57,29.38,27,13.92,31,15.98,66,34.02,13,6.7,35030
35,31,205,46,22.44,12,5.85,43,20.98,81,39.51,23,11.22,35031
38,1,167,44,26.35,17,10.18,28,16.77,52,31.14,26,15.57,38001
38,31,232,45,19.4,25,10.78,31,13.36,74,31.9,57,24.57,38031
38,32,161,31,19.25,17,10.56,30,18.63,51,31.68,32,19.88,38032
38,41,219,44,20.09,27,12.33,41,18.72,68,31.05,39,17.81,38041
39,1,221,41,18.55,49,22.17,28,12.67,71,32.13,32,14.48,39001
39,2,152,27,17.76,39,25.66,19,12.5,47,30.92,20,13.16,39002
39,3,275,31,11.27,42,15.27,59,21.45,115,41.82,28,10.18,39003
39,4,226,52,23.01,50,22.12,23,10.18,72,31.86,29,12.83,39004
39,5,224,31,13.84,28,12.5,39,17.41,77,34.38,49,21.88,39005
39,6,211,59,27.96,24,11.37,31,14.69,71,33.65,26,12.32,39006
39,7,187,39,20.86,21,11.23,30,16.04,68,36.36,29,15.51,39007
39,8,198,41,20.71,23,11.62,50,25.25,51,25.76,33,16.67,39008
39,9,164,33,20.12,15,9.15,22,13.41,53,32.32,41,25.0,39009
39,10,119,23,19.33,10,8.4,27,22.69,41,34.45,18,15.13,39010
39,11,189,32,16.93,21,11.11,26,13.76,63,33.33,47,24.87,39011
39,12,266,53,19.92,13,4.89,62,23.31,116,43.61,22,8.27,39012
39,13,144,24,16.67,16,11.11,33,22.92,50,34.72,21,14.58,39013
39,14,214,52,24.3,27,12.62,34,15.89,68,31.78,33,15.42,39014
39,15,224,45,20.09,78,34.82,25,11.16,50,22.32,26,11.61,39015
39,16,128,24,18.75,16,12.5,25,19.53,39,30.47,24,18.75,39016
39,17,224,43,19.2,19,8.48,48,21.43,88,39.29,26,11.61,39017
39,18,197,37,18.78,20,10.15,39,19.8,81,41.12,20,10.15,39018
39,19,221,40,18.1,13,5.88,49,22.17,84,38.01,35,15.84,39019
39,20,232,53,22.84,36,15.52,39,16.81,63,27.16,41,17.67,39020
39,21,172,36,20.93,25,14.53,34,19.77,50,29.07,27,15.7,39021
39,22,139,22,15.83,12,8.63,38,27.34,53,38.13,14,10.07,39022
39,23,228,46,20.18,41,17.98,34,14.91,75,32.89,32,14.04,39023
39,24,213,36,16.9,30,14.08,35,16.43,78,36.62,34,15.96,39024
39,25,151,34,22.52,19,12.58,23,15.23,58,38.41,17,11.26,39025
39,26,174,32,18.39,50,28.74,23,13.22,49,28.16,20,11.49,39026
39,27,49,18,36.73,6,12.24,4,8.16,19,38.78,2,4.08,39027
39,28,312,55,17.63,19,6.09,77,24.68,130,41.67,31,9.94,39028
39,29,135,25,18.52,18,13.33,23,17.04,51,37.78,18,13.33,39029
39,30,237,33,13.92,25,10.55,44,18.57,114,48.1,21,8.86,39030
39,31,199,48,24.12,18,9.05,33,16.58,73,36.68,27,13.57,39031
39,32,64,12,18.75,10,15.63,14,21.88,17,26.56,11,17.19,39032
39,33,193,31,16.06,24,12.44,44,22.8,71,36.79,23,11.92,39033
39,34,234,44,18.8,20,8.55,56,23.93,92,39.32,22,9.4,39034
39,35,208,35,16.83,9,4.33,35,16.83,117,56.25,12,5.77,39035
39,36,50,10,20.0,3,6.0,10,20.0,25,50.0,2,4.0,39036
39,37,215,42,19.53,62,28.84,28,13.02,63,29.3,20,9.3,39037
39,38,139,24,17.27,22,15.83,19,13.67,56,40.29,18,12.95,39038
39,39,173,41,23.7,19,10.98,30,17.34,65,37.57,18,10.4,39039
39,40,223,28,12.56,66,29.6,26,11.66,60,26.91,43,19.28,39040
39,41,250,39,15.6,54,21.6,41,16.4,89,35.6,27,10.8,39041
39,42,266,41,15.41,106,39.85,19,7.14,64,24.06,36,13.53,39042
39,43,195,34,17.44,55,28.21,31,15.9,58,29.74,17,8.72,39043
39,44,178,29,16.29,62,34.83,21,11.8,51,28.65,15,8.43,39044
39,45,238,47,19.75,110,46.22,9,3.78,54,22.69,18,7.56,39045
