ward,precinct,total,Jonathan Clark Green,Jonathan Clark Green Percent,precinct_id
2,2,143,78,54.55,02002
2,9,129,73,56.59,02009
2,10,130,57,43.85,02010
2,11,183,93,50.82,02011
2,12,184,105,57.07,02012
2,13,203,97,47.78,02013
2,18,195,98,50.26,02018
2,19,97,51,52.58,02019
2,20,170,84,49.41,02020
2,22,208,98,47.12,02022
2,23,130,54,41.54,02023
2,24,148,66,44.59,02024
2,26,155,96,61.94,02026
2,27,145,79,54.48,02027
2,28,196,105,53.57,02028
2,29,198,112,56.57,02029
2,30,162,84,51.85,02030
2,31,244,127,52.05,02031
2,32,131,70,53.44,02032
2,33,314,171,54.46,02033
2,34,175,81,46.29,02034
2,35,200,122,61.0,02035
2,36,178,98,55.06,02036
2,37,210,99,47.14,02037
2,38,144,57,39.58,02038
2,39,108,67,62.04,02039
2,40,160,108,67.5,02040
2,41,173,79,45.66,02041
2,42,172,92,53.49,02042
2,43,189,98,51.85,02043
2,44,120,59,49.17,02044
2,45,206,106,51.46,02045
2,46,122,65,53.28,02046
3,3,144,101,70.14,03003
3,6,293,159,54.27,03006
3,13,279,148,53.05,03013
3,14,264,157,59.47,03014
3,17,331,200,60.42,03017
3,18,37,24,64.86,03018
3,19,237,135,56.96,03019
3,21,264,162,61.36,03021
3,22,290,146,50.34,03022
3,25,354,196,55.37,03025
3,26,276,151,54.71,03026
3,27,271,159,58.67,03027
3,32,279,152,54.48,03032
3,33,280,151,53.93,03033
3,34,287,181,63.07,03034
3,39,308,157,50.97,03039
3,40,201,126,62.69,03040
4,2,288,150,52.08,04002
4,6,83,67,80.72,04006
4,13,269,147,54.65,04013
4,16,356,200,56.18,04016
4,17,267,149,55.81,04017
4,20,237,131,55.27,04020
4,21,286,151,52.8,04021
4,25,277,145,52.35,04025
4,37,403,224,55.58,04037
11,30,96,57,59.38,11030
11,36,70,40,57.14,11036
11,37,46,29,63.04,11037
25,6,63,38,60.32,25006
25,14,103,66,64.08,25014
25,18,111,73,65.77,25018
25,21,249,146,58.63,25021
25,27,65,40,61.54,25027
27,6,183,132,72.13,27006
27,9,85,51,60.0,27009
27,11,33,17,51.52,27011
27,12,125,62,49.6,27012
27,20,114,97,85.09,27020
27,21,155,94,60.65,27021
27,28,146,99,67.81,27028
27,35,184,115,62.5,27035
27,37,167,116,69.46,27037
27,38,231,168,72.73,27038
27,42,123,77,62.6,27042
27,46,124,76,61.29,27046
27,47,137,103,75.18,27047
