ward,precinct,total,Raymond A. Lopez,Raymond A. Lopez Percent,Edgar Flores,Edgar Flores Percent,precinct_id
15,1,189,94,49.74,95,50.26,15001
15,2,117,92,78.63,25,21.37,15002
15,3,130,109,83.85,21,16.15,15003
15,4,201,120,59.7,81,40.3,15004
15,5,156,71,45.51,85,54.49,15005
15,6,194,110,56.7,84,43.3,15006
15,7,122,100,81.97,22,18.03,15007
15,8,195,103,52.82,92,47.18,15008
15,9,243,162,66.67,81,33.33,15009
15,10,268,172,64.18,96,35.82,15010
15,11,216,135,62.5,81,37.5,15011
15,12,229,157,68.56,72,31.44,15012
15,13,198,106,53.54,92,46.46,15013
15,14,172,80,46.51,92,53.49,15014
15,15,169,88,52.07,81,47.93,15015
15,16,229,179,78.17,50,21.83,15016
15,17,143,111,77.62,32,22.38,15017
15,18,101,82,81.19,19,18.81,15018
15,19,190,126,66.32,64,33.68,15019
15,20,129,102,79.07,27,20.93,15020
15,21,133,106,79.7,27,20.3,15021
15,22,129,106,82.17,23,17.83,15022
15,23,119,102,85.71,17,14.29,15023
15,24,104,82,78.85,22,21.15,15024
