ward,precinct,total,Maura McMahon Zeller,Maura McMahon Zeller Percent,Russell W. Hartigan,Russell W. Hartigan Percent,precinct_id
1,1,248,78,31.45,98,39.52,01001
1,2,237,82,34.6,62,26.16,01002
1,3,271,77,28.41,111,40.96,01003
1,4,221,80,36.2,90,40.72,01004
1,5,229,76,33.19,100,43.67,01005
1,6,199,69,34.67,69,34.67,01006
1,7,191,68,35.6,66,34.55,01007
1,8,178,50,28.09,69,38.76,01008
1,9,172,57,33.14,56,32.56,01009
1,10,242,76,31.4,104,42.98,01010
1,11,245,81,33.06,100,40.82,01011
1,12,295,102,34.58,84,28.47,01012
1,13,121,50,41.32,36,29.75,01013
1,14,228,77,33.77,72,31.58,01014
1,15,183,57,31.15,59,32.24,01015
1,16,327,106,32.42,123,37.61,01016
1,17,231,72,31.17,86,37.23,01017
1,18,224,80,35.71,67,29.91,01018
1,19,251,92,36.65,97,38.65,01019
1,20,225,81,36.0,70,31.11,01020
1,21,274,90,32.85,100,36.5,01021
1,22,144,53,36.81,41,28.47,01022
1,23,395,140,35.44,134,33.92,01023
1,24,237,97,40.93,55,23.21,01024
1,25,226,68,30.09,70,30.97,01025
1,26,167,58,34.73,46,27.54,01026
1,27,263,79,30.04,120,45.63,01027
1,28,66,23,34.85,15,22.73,01028
1,29,282,88,31.21,114,40.43,01029
1,30,283,90,31.8,86,30.39,01030
1,31,158,53,33.54,59,37.34,01031
1,32,222,79,35.59,77,34.68,01032
1,33,258,76,29.46,95,36.82,01033
1,34,212,68,32.08,81,38.21,01034
1,35,263,98,37.26,100,38.02,01035
1,36,238,82,34.45,100,42.02,01036
1,37,191,54,28.27,85,44.5,01037
1,38,167,65,38.92,45,26.95,01038
1,39,162,44,27.16,64,39.51,01039
1,40,231,86,37.23,73,31.6,01040
1,41,156,48,30.77,45,28.85,01041
1,42,68,27,39.71,16,23.53,01042
1,43,144,41,28.47,57,39.58,01043
1,44,205,77,37.56,68,33.17,01044
2,1,229,81,35.37,80,34.93,02001
2,2,152,35,23.03,66,43.42,02002
2,3,237,64,27.0,100,42.19,02003
2,4,212,70,33.02,80,37.74,02004
2,5,261,88,33.72,86,32.95,02005
2,6,229,81,35.37,71,31.0,02006
2,7,151,51,33.77,63,41.72,02007
2,8,223,78,34.98,79,35.43,02008
2,9,140,40,28.57,60,42.86,02009
2,10,146,32,21.92,81,55.48,02010
2,11,200,55,27.5,100,50.0,02011
2,12,225,52,23.11,81,36.0,02012
2,13,221,57,25.79,113,51.13,02013
2,14,285,102,35.79,93,32.63,02014
2,15,207,54,26.09,106,51.21,02015
2,16,211,61,28.91,83,39.34,02016
2,17,302,91,30.13,137,45.36,02017
2,18,211,68,32.23,96,45.5,02018
2,19,108,27,25.0,56,51.85,02019
2,20,203,50,24.63,93,45.81,02020
2,21,260,86,33.08,96,36.92,02021
2,22,229,58,25.33,119,51.97,02022
2,23,150,35,23.33,80,53.33,02023
2,24,153,37,24.18,82,53.59,02024
2,25,238,78,32.77,101,42.44,02025
2,26,161,41,25.47,74,45.96,02026
2,27,157,51,32.48,65,41.4,02027
2,28,202,62,30.69,91,45.05,02028
2,29,202,68,33.66,80,39.6,02029
2,30,169,48,28.4,89,52.66,02030
2,31,262,70,26.72,113,43.13,02031
2,32,140,41,29.29,60,42.86,02032
2,33,329,98,29.79,164,49.85,02033
2,34,193,39,20.21,106,54.92,02034
2,35,207,64,30.92,92,44.44,02035
2,36,192,59,30.73,70,36.46,02036
2,37,226,62,27.43,111,49.12,02037
2,38,156,44,28.21,79,50.64,02038
2,39,112,38,33.93,38,33.93,02039
2,40,161,52,32.3,51,31.68,02040
2,41,181,59,32.6,70,38.67,02041
2,42,170,63,37.06,68,40.0,02042
2,43,202,62,30.69,91,45.05,02043
2,44,129,36,27.91,55,42.64,02044
2,45,215,62,28.84,75,34.88,02045
2,46,135,28,20.74,65,48.15,02046
3,1,306,94,30.72,67,21.9,03001
3,2,376,98,26.06,95,25.27,03002
3,3,148,57,38.51,36,24.32,03003
3,4,321,99,30.84,51,15.89,03004
3,5,163,51,31.29,31,19.02,03005
3,6,310,113,36.45,96,30.97,03006
3,7,175,50,28.57,37,21.14,03007
3,8,175,47,26.86,40,22.86,03008
3,9,314,84,26.75,61,19.43,03009
3,10,109,28,25.69,23,21.1,03010
3,11,254,75,29.53,62,24.41,03011
3,12,273,76,27.84,53,19.41,03012
3,13,306,107,34.97,117,38.24,03013
3,14,292,92,31.51,87,29.79,03014
3,15,199,47,23.62,47,23.62,03015
3,16,222,64,28.83,50,22.52,03016
3,17,352,115,32.67,83,23.58,03017
3,18,335,102,30.45,87,25.97,03018
3,19,258,84,32.56,106,41.09,03019
3,20,293,82,27.99,81,27.65,03020
3,21,280,78,27.86,104,37.14,03021
3,22,298,101,33.89,94,31.54,03022
3,23,169,49,28.99,48,28.4,03023
3,24,218,66,30.28,51,23.39,03024
3,25,385,127,32.99,162,42.08,03025
3,26,293,82,27.99,107,36.52,03026
3,27,291,99,34.02,86,29.55,03027
3,28,178,46,25.84,41,23.03,03028
3,29,251,67,26.69,65,25.9,03029
3,30,231,62,26.84,35,15.15,03030
3,31,317,100,31.55,69,21.77,03031
3,32,295,96,32.54,103,34.92,03032
3,33,301,106,35.22,97,32.23,03033
3,34,304,106,34.87,88,28.95,03034
3,35,116,22,18.97,35,30.17,03035
3,36,132,43,32.58,28,21.21,03036
3,37,232,59,25.43,61,26.29,03037
3,38,216,63,29.17,46,21.3,03038
3,39,322,121,37.58,111,34.47,03039
3,40,216,72,33.33,60,27.78,03040
3,41,214,59,27.57,59,27.57,03041
4,1,362,139,38.4,123,33.98,04001
4,2,313,98,31.31,123,39.3,04002
4,3,214,76,35.51,43,20.09,04003
4,4,370,134,36.22,72,19.46,04004
4,5,321,127,39.56,66,20.56,04005
4,6,346,124,35.84,77,22.25,04006
4,7,350,151,43.14,56,16.0,04007
4,8,307,127,41.37,58,18.89,04008
4,9,371,143,38.54,76,20.49,04009
4,10,352,111,31.53,86,24.43,04010
4,11,240,95,39.58,50,20.83,04011
4,12,317,123,38.8,62,19.56,04012
4,13,287,102,35.54,101,35.19,04013
4,14,250,93,37.2,57,22.8,04014
4,15,329,103,31.31,77,23.4,04015
4,16,368,138,37.5,129,35.05,04016
4,17,305,127,41.64,73,23.93,04017
4,18,282,97,34.4,80,28.37,04018
4,19,190,62,32.63,44,23.16,04019
4,20,255,81,31.76,103,40.39,04020
4,21,298,115,38.59,89,29.87,04021
4,22,272,113,41.54,79,29.04,04022
4,23,352,128,36.36,103,29.26,04023
4,24,257,83,32.3,88,34.24,04024
4,25,303,115,37.95,99,32.67,04025
4,26,244,105,43.03,50,20.49,04026
4,27,358,114,31.84,126,35.2,04027
4,28,248,87,35.08,48,19.35,04028
4,29,242,97,40.08,44,18.18,04029
4,30,331,129,38.97,93,28.1,04030
4,31,346,138,39.88,85,24.57,04031
4,32,293,126,43.0,55,18.77,04032
4,33,284,108,38.03,82,28.87,04033
4,34,241,92,38.17,59,24.48,04034
4,35,315,123,39.05,54,17.14,04035
4,36,332,114,34.34,68,20.48,04036
4,37,437,144,32.95,164,37.53,04037
4,38,315,129,40.95,70,22.22,04038
5,1,205,66,32.2,46,22.44,05001
5,2,189,65,34.39,42,22.22,05002
5,3,264,109,41.29,76,28.79,05003
5,4,318,121,38.05,74,23.27,05004
5,5,206,62,30.1,65,31.55,05005
5,6,204,58,28.43,51,25.0,05006
5,7,266,83,31.2,67,25.19,05007
5,8,289,84,29.07,138,47.75,05008
5,9,332,105,31.63,104,31.33,05009
5,10,199,64,32.16,49,24.62,05010
5,11,289,95,32.87,80,27.68,05011
5,12,147,44,29.93,34,23.13,05012
5,13,223,77,34.53,53,23.77,05013
5,14,239,90,37.66,42,17.57,05014
5,15,250,95,38.0,75,30.0,05015
5,16,231,77,33.33,46,19.91,05016
5,17,179,65,36.31,39,21.79,05017
5,18,269,93,34.57,84,31.23,05018
5,19,271,95,35.06,104,38.38,05019
5,20,321,123,38.32,78,24.3,05020
5,21,267,76,28.46,104,38.95,05021
5,22,337,116,34.42,113,33.53,05022
5,23,441,128,29.02,181,41.04,05023
5,24,302,113,37.42,82,27.15,05024
5,25,240,97,40.42,53,22.08,05025
5,26,240,84,35.0,49,20.42,05026
5,27,239,70,29.29,102,42.68,05027
5,28,274,105,38.32,57,20.8,05028
5,29,256,76,29.69,67,26.17,05029
5,30,169,63,37.28,31,18.34,05030
5,31,173,63,36.42,42,24.28,05031
5,32,290,109,37.59,51,17.59,05032
5,33,268,92,34.33,54,20.15,05033
5,34,310,84,27.1,142,45.81,05034
5,35,316,101,31.96,122,38.61,05035
5,36,90,26,28.89,23,25.56,05036
5,37,291,106,36.43,80,27.49,05037
5,38,194,58,29.9,45,23.2,05038
5,39,222,69,31.08,95,42.79,05039
5,40,183,60,32.79,43,23.5,05040
5,41,149,62,41.61,44,29.53,05041
6,1,251,82,32.67,43,17.13,06001
6,2,272,89,32.72,60,22.06,06002
6,3,246,103,41.87,61,24.8,06003
6,4,147,48,32.65,38,25.85,06004
6,5,129,46,35.66,25,19.38,06005
6,6,248,78,31.45,66,26.61,06006
6,7,188,57,30.32,50,26.6,06007
6,8,240,90,37.5,51,21.25,06008
6,9,166,42,25.3,45,27.11,06009
6,10,122,41,33.61,24,19.67,06010
6,11,181,56,30.94,47,25.97,06011
6,12,139,43,30.94,29,20.86,06012
6,13,174,49,28.16,37,21.26,06013
6,14,199,81,40.7,39,19.6,06014
6,15,161,45,27.95,43,26.71,06015
6,16,270,91,33.7,56,20.74,06016
6,17,122,43,35.25,24,19.67,06017
6,18,170,66,38.82,38,22.35,06018
6,19,165,50,30.3,45,27.27,06019
6,20,111,34,30.63,28,25.23,06020
6,21,97,28,28.87,29,29.9,06021
6,22,123,43,34.96,27,21.95,06022
6,23,82,26,31.71,27,32.93,06023
6,24,106,32,30.19,34,32.08,06024
6,25,91,32,35.16,26,28.57,06025
6,26,123,45,36.59,23,18.7,06026
6,27,102,27,26.47,33,32.35,06027
6,28,87,32,36.78,26,29.89,06028
6,29,230,110,47.83,40,17.39,06029
6,30,166,52,31.33,34,20.48,06030
6,31,244,84,34.43,57,23.36,06031
6,32,192,67,34.9,47,24.48,06032
6,33,199,77,38.69,46,23.12,06033
6,34,227,82,36.12,50,22.03,06034
6,35,222,71,31.98,49,22.07,06035
6,36,262,92,35.11,56,21.37,06036
6,37,263,116,44.11,53,20.15,06037
6,38,241,81,33.61,45,18.67,06038
6,39,158,62,39.24,32,20.25,06039
6,40,184,68,36.96,46,25.0,06040
6,41,232,84,36.21,44,18.97,06041
6,42,189,62,32.8,42,22.22,06042
6,43,178,60,33.71,36,20.22,06043
6,44,217,67,30.88,55,25.35,06044
6,45,253,91,35.97,49,19.37,06045
6,46,150,45,30.0,44,29.33,06046
6,47,156,42,26.92,41,26.28,06047
6,48,192,67,34.9,44,22.92,06048
7,1,188,52,27.66,41,21.81,07001
7,2,170,45,26.47,44,25.88,07002
7,3,215,78,36.28,46,21.4,07003
7,4,192,62,32.29,38,19.79,07004
7,5,184,46,25.0,48,26.09,07005
7,6,260,89,34.23,54,20.77,07006
7,7,170,58,34.12,39,22.94,07007
7,8,113,35,30.97,29,25.66,07008
7,9,327,111,33.94,78,23.85,07009
7,10,232,64,27.59,57,24.57,07010
7,11,186,60,32.26,31,16.67,07011
7,12,163,53,32.52,36,22.09,07012
7,13,126,39,30.95,35,27.78,07013
7,14,179,58,32.4,41,22.91,07014
7,15,195,69,35.38,42,21.54,07015
7,16,141,47,33.33,43,30.5,07016
7,17,164,57,34.76,39,23.78,07017
7,18,140,41,29.29,36,25.71,07018
7,19,163,54,33.13,39,23.93,07019
7,20,136,40,29.41,36,26.47,07020
7,21,119,35,29.41,41,34.45,07021
7,22,158,46,29.11,36,22.78,07022
7,23,212,82,38.68,41,19.34,07023
7,24,142,42,29.58,20,14.08,07024
7,25,147,48,32.65,46,31.29,07025
7,26,168,73,43.45,30,17.86,07026
7,27,156,49,31.41,36,23.08,07027
7,28,122,53,43.44,26,21.31,07028
7,29,161,67,41.61,33,20.5,07029
7,30,121,45,37.19,21,17.36,07030
7,31,111,40,36.04,28,25.23,07031
7,32,301,125,41.53,60,19.93,07032
7,33,300,122,40.67,68,22.67,07033
7,34,259,86,33.2,58,22.39,07034
7,35,210,81,38.57,40,19.05,07035
7,36,259,91,35.14,59,22.78,07036
7,37,200,77,38.5,42,21.0,07037
7,38,165,57,34.55,38,23.03,07038
7,39,184,73,39.67,31,16.85,07039
7,40,188,76,40.43,35,18.62,07040
7,41,194,77,39.69,38,19.59,07041
7,42,172,56,32.56,38,22.09,07042
7,43,188,67,35.64,40,21.28,07043
7,44,165,57,34.55,42,25.45,07044
7,45,162,40,24.69,51,31.48,07045
7,46,87,24,27.59,19,21.84,07046
8,1,145,55,37.93,34,23.45,08001
8,2,160,60,37.5,39,24.38,08002
8,3,279,130,46.59,49,17.56,08003
8,4,258,113,43.8,48,18.6,08004
