ward,precinct,total,Tammy Wendt,Tammy Wendt Percent,precinct_id
19,1,221,147,66.52,19001
19,2,248,98,39.52,19002
19,3,174,136,78.16,19003
19,4,258,178,68.99,19004
19,6,116,70,60.34,19006
19,8,220,158,71.82,19008
19,9,188,124,65.96,19009
19,11,213,149,69.95,19011
19,12,202,154,76.24,19012
19,15,254,175,68.9,19015
19,16,242,171,70.66,19016
19,19,294,132,44.9,19019
19,21,174,111,63.79,19021
19,22,295,146,49.49,19022
19,24,184,135,73.37,19024
19,29,90,60,66.67,19029
19,30,208,146,70.19,19030
19,33,240,172,71.67,19033
19,39,85,59,69.41,19039
19,41,189,135,71.43,19041
19,44,256,185,72.27,19044
19,45,248,152,61.29,19045
19,47,404,201,49.75,19047
19,51,291,187,64.26,19051
19,53,231,132,57.14,19053
19,54,177,129,72.88,19054
19,55,187,140,74.87,19055
41,3,182,82,45.05,41003
41,5,225,122,54.22,41005
41,7,186,111,59.68,41007
41,8,208,131,62.98,41008
41,11,187,115,61.5,41011
41,13,202,121,59.9,41013
41,15,235,131,55.74,41015
41,16,105,58,55.24,41016
41,17,195,105,53.85,41017
41,18,179,103,57.54,41018
41,20,143,83,58.04,41020
41,21,199,112,56.28,41021
41,22,241,126,52.28,41022
41,23,178,99,55.62,41023
41,25,112,50,44.64,41025
41,26,211,118,55.92,41026
41,27,76,51,67.11,41027
41,28,149,71,47.65,41028
41,29,98,55,56.12,41029
41,30,169,107,63.31,41030
41,31,212,122,57.55,41031
41,33,173,97,56.07,41033
41,34,181,101,55.8,41034
41,35,222,135,60.81,41035
41,36,200,103,51.5,41036
41,37,226,138,61.06,41037
41,38,175,101,57.71,41038
41,41,167,116,69.46,41041
41,43,199,111,55.78,41043
41,45,199,116,58.29,41045
41,46,248,125,50.4,41046
45,45,121,70,57.85,45045
45,46,123,72,58.54,45046
45,47,124,74,59.68,45047
45,48,130,76,58.46,45048
