ward,precinct,total,Lucy Moog,Lucy Moog Percent,precinct_id
43,1,108,108,100.0,43001
43,2,231,231,100.0,43002
43,3,245,245,100.0,43003
43,4,212,212,100.0,43004
43,5,206,206,100.0,43005
43,6,167,167,100.0,43006
43,7,146,146,100.0,43007
43,8,162,162,100.0,43008
43,9,235,235,100.0,43009
43,10,285,285,100.0,43010
43,11,166,166,100.0,43011
43,12,127,127,100.0,43012
43,13,195,195,100.0,43013
43,14,250,250,100.0,43014
43,15,233,233,100.0,43015
43,16,259,259,100.0,43016
43,17,162,162,100.0,43017
43,18,239,239,100.0,43018
43,19,230,230,100.0,43019
43,20,268,268,100.0,43020
43,21,233,233,100.0,43021
43,22,165,165,100.0,43022
43,23,148,148,100.0,43023
43,24,144,144,100.0,43024
43,25,196,196,100.0,43025
43,26,172,172,100.0,43026
43,27,229,229,100.0,43027
43,28,196,196,100.0,43028
43,29,274,274,100.0,43029
43,30,280,280,100.0,43030
43,31,223,223,100.0,43031
43,32,246,246,100.0,43032
43,33,230,230,100.0,43033
43,34,139,139,100.0,43034
43,35,209,209,100.0,43035
43,36,126,126,100.0,43036
43,37,216,216,100.0,43037
43,38,164,164,100.0,43038
43,39,162,162,100.0,43039
43,40,185,185,100.0,43040
43,41,302,302,100.0,43041
43,42,205,205,100.0,43042
43,43,230,230,100.0,43043
43,44,219,219,100.0,43044
43,45,155,155,100.0,43045
43,46,125,125,100.0,43046
