ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,113,113,100.0,09001
9,2,100,100,100.0,09002
9,4,116,116,100.0,09004
9,5,197,197,100.0,09005
9,6,185,185,100.0,09006
9,9,45,45,100.0,09009
9,13,65,65,100.0,09013
9,14,255,255,100.0,09014
9,17,69,69,100.0,09017
9,19,181,181,100.0,09019
9,22,213,213,100.0,09022
9,29,119,119,100.0,09029
9,31,117,117,100.0,09031
9,32,200,200,100.0,09032
9,34,138,138,100.0,09034
9,35,196,196,100.0,09035
9,38,104,104,100.0,09038
9,39,228,228,100.0,09039
9,40,248,248,100.0,09040
9,43,91,91,100.0,09043
9,44,36,36,100.0,09044
34,2,93,93,100.0,34002
34,3,216,216,100.0,34003
34,4,143,143,100.0,34004
34,6,243,243,100.0,34006
34,9,129,129,100.0,34009
34,11,148,148,100.0,34011
34,14,156,156,100.0,34014
34,15,37,37,100.0,34015
34,16,165,165,100.0,34016
34,18,139,139,100.0,34018
34,20,116,116,100.0,34020
34,22,193,193,100.0,34022
34,23,178,178,100.0,34023
34,24,183,183,100.0,34024
34,26,249,249,100.0,34026
34,27,149,149,100.0,34027
34,28,102,102,100.0,34028
34,30,219,219,100.0,34030
34,31,128,128,100.0,34031
34,33,146,146,100.0,34033
34,36,191,191,100.0,34036
34,37,108,108,100.0,34037
34,38,80,80,100.0,34038
34,39,128,128,100.0,34039
34,41,117,117,100.0,34041
34,42,226,226,100.0,34042
34,50,162,162,100.0,34050
34,51,148,148,100.0,34051
34,53,122,122,100.0,34053
