ward,precinct,total,Leslie A. Hairston,Leslie A. Hairston Percent,precinct_id
5,1,194,194,100.0,05001
5,2,174,174,100.0,05002
5,3,258,258,100.0,05003
5,4,340,340,100.0,05004
5,5,212,212,100.0,05005
5,6,190,190,100.0,05006
5,7,286,286,100.0,05007
5,8,274,274,100.0,05008
5,9,335,335,100.0,05009
5,10,189,189,100.0,05010
5,11,281,281,100.0,05011
5,12,153,153,100.0,05012
5,13,220,220,100.0,05013
5,14,225,225,100.0,05014
5,15,247,247,100.0,05015
5,16,226,226,100.0,05016
5,17,179,179,100.0,05017
5,18,252,252,100.0,05018
5,19,254,254,100.0,05019
5,20,335,335,100.0,05020
5,21,263,263,100.0,05021
5,22,323,323,100.0,05022
5,23,407,407,100.0,05023
5,24,295,295,100.0,05024
5,25,240,240,100.0,05025
5,26,233,233,100.0,05026
5,27,250,250,100.0,05027
5,28,268,268,100.0,05028
5,29,244,244,100.0,05029
5,30,171,171,100.0,05030
5,31,168,168,100.0,05031
5,32,293,293,100.0,05032
5,33,262,262,100.0,05033
5,34,306,306,100.0,05034
5,35,315,315,100.0,05035
5,36,98,98,100.0,05036
5,37,288,288,100.0,05037
5,38,205,205,100.0,05038
5,39,200,200,100.0,05039
5,40,181,181,100.0,05040
5,41,157,157,100.0,05041
