ward,precinct,total,"Walter Burnett, Jr.","Walter Burnett, Jr. Percent",precinct_id
27,1,268,268,100.0,27001
27,2,170,170,100.0,27002
27,3,111,111,100.0,27003
27,4,99,99,100.0,27004
27,5,147,147,100.0,27005
27,6,197,197,100.0,27006
27,7,253,253,100.0,27007
27,8,149,149,100.0,27008
27,9,86,86,100.0,27009
27,10,214,214,100.0,27010
27,11,155,155,100.0,27011
27,12,117,117,100.0,27012
27,13,318,318,100.0,27013
27,14,85,85,100.0,27014
27,15,111,111,100.0,27015
27,16,152,152,100.0,27016
27,17,194,194,100.0,27017
27,18,143,143,100.0,27018
27,19,93,93,100.0,27019
27,20,122,122,100.0,27020
27,21,158,158,100.0,27021
27,22,114,114,100.0,27022
27,23,157,157,100.0,27023
27,24,105,105,100.0,27024
27,25,191,191,100.0,27025
27,26,136,136,100.0,27026
27,27,234,234,100.0,27027
27,28,148,148,100.0,27028
27,29,103,103,100.0,27029
27,30,107,107,100.0,27030
27,31,158,158,100.0,27031
27,32,194,194,100.0,27032
27,33,197,197,100.0,27033
27,34,145,145,100.0,27034
27,35,202,202,100.0,27035
27,36,159,159,100.0,27036
27,37,190,190,100.0,27037
27,38,259,259,100.0,27038
27,39,154,154,100.0,27039
27,40,213,213,100.0,27040
27,41,170,170,100.0,27041
27,42,135,135,100.0,27042
27,43,144,144,100.0,27043
27,44,133,133,100.0,27044
27,45,323,323,100.0,27045
27,46,124,124,100.0,27046
27,47,146,146,100.0,27047
27,48,297,297,100.0,27048
27,49,154,154,100.0,27049
27,50,190,190,100.0,27050
