ward,precinct,total,Arthur D. Sutton,Arthur D. Sutton Percent,Bonnie Carol McGrath,Bonnie Carol McGrath Percent,Jennifer Patricia Callahan,Jennifer Patricia Callahan Percent,Chris Stacey,Chris Stacey Percent,Joy E. Tolbert Nelson,Joy E. Tolbert Nelson Percent,Joseph Chico,Joseph Chico Percent,precinct_id
1,1,260,14,5.38,23,8.85,81,31.15,90,34.62,14,5.38,38,14.62,01001
1,2,246,24,9.76,29,11.79,62,25.2,52,21.14,24,9.76,55,22.36,01002
1,3,273,15,5.49,35,12.82,89,32.6,91,33.33,21,7.69,22,8.06,01003
1,4,228,24,10.53,21,9.21,56,24.56,84,36.84,16,7.02,27,11.84,01004
1,5,234,15,6.41,17,7.26,82,35.04,85,36.32,21,8.97,14,5.98,01005
1,6,207,22,10.63,23,11.11,65,31.4,52,25.12,16,7.73,29,14.01,01006
1,7,193,8,4.15,16,8.29,61,31.61,64,33.16,13,6.74,31,16.06,01007
1,8,187,12,6.42,27,14.44,61,32.62,50,26.74,16,8.56,21,11.23,01008
1,9,177,19,10.73,22,12.43,46,25.99,46,25.99,11,6.21,33,18.64,01009
1,10,238,18,7.56,26,10.92,70,29.41,94,39.5,12,5.04,18,7.56,01010
1,11,242,8,3.31,40,16.53,67,27.69,86,35.54,23,9.5,18,7.44,01011
1,12,303,19,6.27,46,15.18,96,31.68,86,28.38,28,9.24,28,9.24,01012
1,13,122,6,4.92,13,10.66,31,25.41,39,31.97,16,13.11,17,13.93,01013
1,14,242,18,7.44,28,11.57,55,22.73,76,31.4,32,13.22,33,13.64,01014
1,15,187,11,5.88,19,10.16,59,31.55,51,27.27,19,10.16,28,14.97,01015
1,16,329,19,5.78,32,9.73,85,25.84,114,34.65,28,8.51,51,15.5,01016
1,17,242,19,7.85,21,8.68,70,28.93,71,29.34,19,7.85,42,17.36,01017
1,18,234,17,7.26,32,13.68,62,26.5,65,27.78,22,9.4,36,15.38,01018
1,19,256,13,5.08,27,10.55,84,32.81,85,33.2,21,8.2,26,10.16,01019
1,20,232,10,4.31,27,11.64,67,28.88,68,29.31,21,9.05,39,16.81,01020
1,21,290,16,5.52,41,14.14,76,26.21,100,34.48,28,9.66,29,10.0,01021
1,22,148,13,8.78,15,10.14,44,29.73,32,21.62,12,8.11,32,21.62,01022
1,23,406,18,4.43,30,7.39,126,31.03,152,37.44,30,7.39,50,12.32,01023
1,24,249,22,8.84,32,12.85,69,27.71,61,24.5,21,8.43,44,17.67,01024
1,25,235,16,6.81,35,14.89,72,30.64,53,22.55,19,8.09,40,17.02,01025
1,26,172,11,6.4,16,9.3,52,30.23,42,24.42,15,8.72,36,20.93,01026
1,27,265,9,3.4,23,8.68,64,24.15,114,43.02,20,7.55,35,13.21,01027
1,28,67,11,16.42,9,13.43,15,22.39,8,11.94,12,17.91,12,17.91,01028
1,29,289,19,6.57,27,9.34,87,30.1,100,34.6,34,11.76,22,7.61,01029
1,30,294,20,6.8,30,10.2,77,26.19,80,27.21,22,7.48,65,22.11,01030
1,31,167,13,7.78,15,8.98,55,32.93,48,28.74,9,5.39,27,16.17,01031
1,32,228,10,4.39,25,10.96,71,31.14,71,31.14,22,9.65,29,12.72,01032
1,33,261,20,7.66,30,11.49,76,29.12,85,32.57,30,11.49,20,7.66,01033
1,34,219,5,2.28,24,10.96,64,29.22,79,36.07,23,10.5,24,10.96,01034
1,35,273,22,8.06,28,10.26,81,29.67,87,31.87,19,6.96,36,13.19,01035
1,36,243,19,7.82,27,11.11,70,28.81,94,38.68,19,7.82,14,5.76,01036
1,37,198,7,3.54,16,8.08,52,26.26,80,40.4,15,7.58,28,14.14,01037
1,38,174,6,3.45,26,14.94,48,27.59,51,29.31,20,11.49,23,13.22,01038
1,39,168,14,8.33,24,14.29,42,25.0,51,30.36,14,8.33,23,13.69,01039
1,40,242,23,9.5,30,12.4,65,26.86,63,26.03,13,5.37,48,19.83,01040
1,41,157,4,2.55,19,12.1,52,33.12,41,26.11,11,7.01,30,19.11,01041
1,42,74,3,4.05,13,17.57,19,25.68,22,29.73,3,4.05,14,18.92,01042
1,43,151,4,2.65,17,11.26,31,20.53,55,36.42,17,11.26,27,17.88,01043
1,44,213,11,5.16,13,6.1,79,37.09,68,31.92,24,11.27,18,8.45,01044
2,1,237,15,6.33,27,11.39,77,32.49,73,30.8,27,11.39,18,7.59,02001
2,2,160,8,5.0,24,15.0,38,23.75,68,42.5,10,6.25,12,7.5,02002
2,3,247,20,8.1,27,10.93,63,25.51,94,38.06,19,7.69,24,9.72,02003
2,4,216,15,6.94,32,14.81,61,28.24,73,33.8,19,8.8,16,7.41,02004
2,5,272,17,6.25,36,13.24,81,29.78,82,30.15,27,9.93,29,10.66,02005
2,6,231,16,6.93,23,9.96,75,32.47,61,26.41,25,10.82,31,13.42,02006
2,7,154,8,5.19,19,12.34,44,28.57,49,31.82,19,12.34,15,9.74,02007
2,8,231,16,6.93,15,6.49,74,32.03,74,32.03,22,9.52,30,12.99,02008
2,9,148,13,8.78,25,16.89,35,23.65,45,30.41,15,10.14,15,10.14,02009
2,10,145,13,8.97,27,18.62,27,18.62,59,40.69,12,8.28,7,4.83,02010
2,11,201,13,6.47,31,15.42,48,23.88,85,42.29,14,6.97,10,4.98,02011
2,12,228,35,15.35,30,13.16,51,22.37,77,33.77,20,8.77,15,6.58,02012
2,13,217,16,7.37,24,11.06,56,25.81,91,41.94,18,8.29,12,5.53,02013
2,14,297,19,6.4,43,14.48,94,31.65,84,28.28,26,8.75,31,10.44,02014
2,15,215,14,6.51,26,12.09,55,25.58,79,36.74,29,13.49,12,5.58,02015
2,16,209,17,8.13,22,10.53,69,33.01,75,35.89,9,4.31,17,8.13,02016
2,17,309,13,4.21,28,9.06,91,29.45,129,41.75,30,9.71,18,5.83,02017
2,18,211,10,4.74,33,15.64,63,29.86,70,33.18,21,9.95,14,6.64,02018
2,19,102,9,8.82,9,8.82,19,18.63,40,39.22,15,14.71,10,9.8,02019
2,20,209,17,8.13,43,20.57,42,20.1,75,35.89,18,8.61,14,6.7,02020
2,21,263,12,4.56,24,9.13,85,32.32,96,36.5,23,8.75,23,8.75,02021
2,22,229,13,5.68,26,11.35,67,29.26,96,41.92,15,6.55,12,5.24,02022
2,23,145,16,11.03,21,14.48,34,23.45,61,42.07,5,3.45,8,5.52,02023
2,24,158,6,3.8,15,9.49,42,26.58,73,46.2,13,8.23,9,5.7,02024
2,25,251,20,7.97,32,12.75,75,29.88,80,31.87,22,8.76,22,8.76,02025
2,26,173,19,10.98,25,14.45,47,27.17,52,30.06,15,8.67,15,8.67,02026
2,27,158,19,12.03,26,16.46,43,27.22,56,35.44,4,2.53,10,6.33,02027
2,28,204,11,5.39,26,12.75,55,26.96,85,41.67,14,6.86,13,6.37,02028
2,29,211,18,8.53,29,13.74,61,28.91,64,30.33,16,7.58,23,10.9,02029
2,30,170,12,7.06,19,11.18,50,29.41,73,42.94,8,4.71,8,4.71,02030
2,31,264,24,9.09,37,14.02,61,23.11,98,37.12,28,10.61,16,6.06,02031
2,32,145,17,11.72,14,9.66,46,31.72,52,35.86,8,5.52,8,5.52,02032
2,33,329,18,5.47,39,11.85,85,25.84,140,42.55,24,7.29,23,6.99,02033
2,34,192,13,6.77,27,14.06,42,21.88,88,45.83,12,6.25,10,5.21,02034
2,35,217,19,8.76,32,14.75,66,30.41,78,35.94,17,7.83,5,2.3,02035
2,36,193,8,4.15,27,13.99,56,29.02,67,34.72,27,13.99,8,4.15,02036
2,37,224,16,7.14,38,16.96,62,27.68,84,37.5,8,3.57,16,7.14,02037
2,38,159,10,6.29,20,12.58,46,28.93,64,40.25,6,3.77,13,8.18,02038
2,39,115,12,10.43,19,16.52,22,19.13,33,28.7,13,11.3,16,13.91,02039
2,40,163,19,11.66,28,17.18,35,21.47,48,29.45,22,13.5,11,6.75,02040
2,41,185,19,10.27,23,12.43,62,33.51,51,27.57,15,8.11,15,8.11,02041
2,42,176,15,8.52,24,13.64,43,24.43,63,35.8,13,7.39,18,10.23,02042
2,43,204,15,7.35,28,13.73,45,22.06,90,44.12,14,6.86,12,5.88,02043
2,44,130,11,8.46,19,14.62,32,24.62,48,36.92,8,6.15,12,9.23,02044
2,45,221,22,9.95,44,19.91,50,22.62,68,30.77,19,8.6,18,8.14,02045
2,46,138,6,4.35,20,14.49,42,30.43,52,37.68,9,6.52,9,6.52,02046
3,1,320,109,34.06,29,9.06,60,18.75,69,21.56,32,10.0,21,6.56,03001
3,2,387,117,30.23,40,10.34,60,15.5,79,20.41,64,16.54,27,6.98,03002
3,3,149,30,20.13,15,10.07,33,22.15,44,29.53,16,10.74,11,7.38,03003
3,4,328,114,34.76,22,6.71,39,11.89,83,25.3,46,14.02,24,7.32,03004
3,5,161,43,26.71,26,16.15,30,18.63,29,18.01,20,12.42,13,8.07,03005
3,6,319,30,9.4,30,9.4,79,24.76,122,38.24,36,11.29,22,6.9,03006
3,7,188,63,33.51,21,11.17,27,14.36,38,20.21,21,11.17,18,9.57,03007
3,8,183,52,28.42,27,14.75,44,24.04,26,14.21,23,12.57,11,6.01,03008
3,9,321,88,27.41,17,5.3,35,10.9,75,23.36,74,23.05,32,9.97,03009
3,10,112,37,33.04,11,9.82,19,16.96,25,22.32,12,10.71,8,7.14,03010
3,11,263,84,31.94,24,9.13,34,12.93,63,23.95,36,13.69,22,8.37,03011
