ward,precinct,total,Jacqueline Marie Griffin,Jacqueline Marie Griffin Percent,Daniel L. Collins,Daniel L. Collins Percent,Mary Therese Quinn,Mary Therese Quinn Percent,Celestia L. Mays,Celestia L. Mays Percent,precinct_id
1,1,260,52,20.0,32,12.31,46,17.69,130,50.0,01001
1,2,242,67,27.69,32,13.22,52,21.49,91,37.6,01002
1,3,270,68,25.19,18,6.67,41,15.19,143,52.96,01003
1,4,229,49,21.4,19,8.3,43,18.78,118,51.53,01004
1,5,231,49,21.21,19,8.23,37,16.02,126,54.55,01005
1,6,209,54,25.84,27,12.92,41,19.62,87,41.63,01006
1,7,191,31,16.23,20,10.47,38,19.9,102,53.4,01007
1,8,187,55,29.41,19,10.16,37,19.79,76,40.64,01008
1,9,180,49,27.22,31,17.22,26,14.44,74,41.11,01009
1,10,239,45,18.83,18,7.53,43,17.99,133,55.65,01010
1,11,243,35,14.4,21,8.64,46,18.93,141,58.02,01011
1,12,307,78,25.41,32,10.42,50,16.29,147,47.88,01012
1,13,122,24,19.67,15,12.3,20,16.39,63,51.64,01013
1,14,229,55,24.02,17,7.42,30,13.1,127,55.46,01014
1,15,191,53,27.75,16,8.38,38,19.9,84,43.98,01015
1,16,327,65,19.88,36,11.01,65,19.88,161,49.24,01016
1,17,238,47,19.75,18,7.56,44,18.49,129,54.2,01017
1,18,235,50,21.28,21,8.94,35,14.89,129,54.89,01018
1,19,257,50,19.46,23,8.95,40,15.56,144,56.03,01019
1,20,230,63,27.39,15,6.52,42,18.26,110,47.83,01020
1,21,280,68,24.29,21,7.5,68,24.29,123,43.93,01021
1,22,150,38,25.33,11,7.33,22,14.67,79,52.67,01022
1,23,407,84,20.64,35,8.6,64,15.72,224,55.04,01023
1,24,240,61,25.42,28,11.67,50,20.83,101,42.08,01024
1,25,226,48,21.24,26,11.5,45,19.91,107,47.35,01025
1,26,172,45,26.16,20,11.63,32,18.6,75,43.6,01026
1,27,272,45,16.54,19,6.99,54,19.85,154,56.62,01027
1,28,67,25,37.31,16,23.88,13,19.4,13,19.4,01028
1,29,282,53,18.79,25,8.87,58,20.57,146,51.77,01029
1,30,291,78,26.8,24,8.25,39,13.4,150,51.55,01030
1,31,165,48,29.09,12,7.27,30,18.18,75,45.45,01031
1,32,225,53,23.56,24,10.67,53,23.56,95,42.22,01032
1,33,258,62,24.03,25,9.69,51,19.77,120,46.51,01033
1,34,219,46,21.0,15,6.85,31,14.16,127,57.99,01034
1,35,277,51,18.41,30,10.83,63,22.74,133,48.01,01035
1,36,237,47,19.83,18,7.59,38,16.03,134,56.54,01036
1,37,193,39,20.21,20,10.36,37,19.17,97,50.26,01037
1,38,178,36,20.22,12,6.74,45,25.28,85,47.75,01038
1,39,162,41,25.31,13,8.02,32,19.75,76,46.91,01039
1,40,238,60,25.21,41,17.23,48,20.17,89,37.39,01040
1,41,154,36,23.38,13,8.44,32,20.78,73,47.4,01041
1,42,70,12,17.14,8,11.43,15,21.43,35,50.0,01042
1,43,147,39,26.53,16,10.88,26,17.69,66,44.9,01043
1,44,211,44,20.85,19,9.0,35,16.59,113,53.55,01044
2,1,232,54,23.28,19,8.19,40,17.24,119,51.29,02001
2,2,156,25,16.03,19,12.18,41,26.28,71,45.51,02002
2,3,244,50,20.49,18,7.38,41,16.8,135,55.33,02003
2,4,218,40,18.35,21,9.63,40,18.35,117,53.67,02004
2,5,266,69,25.94,26,9.77,40,15.04,131,49.25,02005
2,6,231,48,20.78,29,12.55,57,24.68,97,41.99,02006
2,7,151,36,23.84,18,11.92,21,13.91,76,50.33,02007
2,8,225,54,24.0,25,11.11,35,15.56,111,49.33,02008
2,9,140,36,25.71,23,16.43,33,23.57,48,34.29,02009
2,10,141,24,17.02,16,11.35,23,16.31,78,55.32,02010
2,11,196,41,20.92,24,12.24,39,19.9,92,46.94,02011
2,12,228,58,25.44,34,14.91,37,16.23,99,43.42,02012
2,13,220,44,20.0,25,11.36,48,21.82,103,46.82,02013
2,14,292,69,23.63,28,9.59,53,18.15,142,48.63,02014
