ward,precinct,total,Annazette R. Collins,Annazette R. Collins Percent,precinct_id
1,6,58,58,100.0,01006
1,8,50,50,100.0,01008
1,12,66,66,100.0,01012
1,31,44,44,100.0,01031
1,32,12,12,100.0,01032
1,35,22,22,100.0,01035
1,44,1,1,100.0,01044
2,5,80,80,100.0,02005
2,15,21,21,100.0,02015
2,19,5,5,100.0,02019
2,23,86,86,100.0,02023
2,24,69,69,100.0,02024
2,27,100,100,100.0,02027
2,45,94,94,100.0,02045
2,47,109,109,100.0,02047
2,48,89,89,100.0,02048
2,52,125,125,100.0,02052
2,53,42,42,100.0,02053
2,56,133,133,100.0,02056
2,57,106,106,100.0,02057
24,18,66,66,100.0,24018
24,29,126,126,100.0,24029
24,33,88,88,100.0,24033
24,55,62,62,100.0,24055
24,59,66,66,100.0,24059
26,7,5,5,100.0,26007
26,17,27,27,100.0,26017
26,28,5,5,100.0,26028
26,33,20,20,100.0,26033
26,46,53,53,100.0,26046
27,2,98,98,100.0,27002
27,3,91,91,100.0,27003
27,8,118,118,100.0,27008
27,10,153,153,100.0,27010
27,14,143,143,100.0,27014
27,15,76,76,100.0,27015
27,18,53,53,100.0,27018
27,19,83,83,100.0,27019
27,22,101,101,100.0,27022
27,23,20,20,100.0,27023
27,24,79,79,100.0,27024
27,25,71,71,100.0,27025
27,26,110,110,100.0,27026
27,27,53,53,100.0,27027
27,29,68,68,100.0,27029
27,30,58,58,100.0,27030
27,31,77,77,100.0,27031
27,33,67,67,100.0,27033
27,34,93,93,100.0,27034
27,36,88,88,100.0,27036
27,40,61,61,100.0,27040
27,41,52,52,100.0,27041
27,44,101,101,100.0,27044
27,45,89,89,100.0,27045
27,46,110,110,100.0,27046
27,47,68,68,100.0,27047
27,48,103,103,100.0,27048
27,49,111,111,100.0,27049
27,50,72,72,100.0,27050
27,52,78,78,100.0,27052
27,53,55,55,100.0,27053
27,54,36,36,100.0,27054
27,55,93,93,100.0,27055
27,56,5,5,100.0,27056
28,2,111,111,100.0,28002
28,3,75,75,100.0,28003
28,5,103,103,100.0,28005
28,6,95,95,100.0,28006
28,7,101,101,100.0,28007
28,9,84,84,100.0,28009
28,10,37,37,100.0,28010
28,11,104,104,100.0,28011
28,13,62,62,100.0,28013
28,18,138,138,100.0,28018
28,20,131,131,100.0,28020
28,22,101,101,100.0,28022
28,23,116,116,100.0,28023
28,24,65,65,100.0,28024
28,25,92,92,100.0,28025
28,26,122,122,100.0,28026
28,28,77,77,100.0,28028
28,30,77,77,100.0,28030
28,31,90,90,100.0,28031
28,32,94,94,100.0,28032
28,33,126,126,100.0,28033
28,36,88,88,100.0,28036
28,37,210,210,100.0,28037
28,43,159,159,100.0,28043
28,44,135,135,100.0,28044
28,50,66,66,100.0,28050
28,59,75,75,100.0,28059
32,2,86,86,100.0,32002
32,4,88,88,100.0,32004
32,5,53,53,100.0,32005
32,6,90,90,100.0,32006
32,26,61,61,100.0,32026
32,29,79,79,100.0,32029
32,31,100,100,100.0,32031
32,33,75,75,100.0,32033
32,34,73,73,100.0,32034
32,35,110,110,100.0,32035
32,36,84,84,100.0,32036
32,46,34,34,100.0,32046
32,50,1,1,100.0,32050
32,51,76,76,100.0,32051
32,52,35,35,100.0,32052
37,3,45,45,100.0,37003
37,4,121,121,100.0,37004
37,8,105,105,100.0,37008
37,12,69,69,100.0,37012
37,13,122,122,100.0,37013
37,28,153,153,100.0,37028
43,1,116,116,100.0,43001
43,3,79,79,100.0,43003
43,5,49,49,100.0,43005
43,9,52,52,100.0,43009
43,10,66,66,100.0,43010
43,11,28,28,100.0,43011
43,15,61,61,100.0,43015
43,47,80,80,100.0,43047
43,55,70,70,100.0,43055
