ward,precinct,total,Mark Dobrzycki,Mark Dobrzycki Percent,precinct_id
29,9,12,12,100.0,29009
36,5,83,83,100.0,36005
36,7,82,82,100.0,36007
36,8,104,104,100.0,36008
36,9,90,90,100.0,36009
36,10,76,76,100.0,36010
36,11,118,118,100.0,36011
36,12,70,70,100.0,36012
36,13,155,155,100.0,36013
36,14,121,121,100.0,36014
36,15,94,94,100.0,36015
36,17,95,95,100.0,36017
36,18,138,138,100.0,36018
36,19,116,116,100.0,36019
36,20,122,122,100.0,36020
36,21,164,164,100.0,36021
36,25,77,77,100.0,36025
36,27,66,66,100.0,36027
36,28,114,114,100.0,36028
36,29,93,93,100.0,36029
36,30,118,118,100.0,36030
36,31,118,118,100.0,36031
36,32,110,110,100.0,36032
36,34,88,88,100.0,36034
36,35,144,144,100.0,36035
36,37,71,71,100.0,36037
36,38,68,68,100.0,36038
36,39,97,97,100.0,36039
36,40,102,102,100.0,36040
36,42,80,80,100.0,36042
36,46,89,89,100.0,36046
36,47,88,88,100.0,36047
36,48,95,95,100.0,36048
36,49,132,132,100.0,36049
36,50,100,100,100.0,36050
36,52,89,89,100.0,36052
36,53,1,1,100.0,36053
38,3,74,74,100.0,38003
38,38,119,119,100.0,38038
41,1,124,124,100.0,41001
41,2,173,173,100.0,41002
41,3,127,127,100.0,41003
41,4,134,134,100.0,41004
41,5,118,118,100.0,41005
41,7,144,144,100.0,41007
41,8,121,121,100.0,41008
41,9,125,125,100.0,41009
41,11,128,128,100.0,41011
41,12,147,147,100.0,41012
41,15,110,110,100.0,41015
41,16,124,124,100.0,41016
41,17,120,120,100.0,41017
41,18,130,130,100.0,41018
41,20,168,168,100.0,41020
41,21,137,137,100.0,41021
41,22,119,119,100.0,41022
41,24,130,130,100.0,41024
41,30,149,149,100.0,41030
41,31,128,128,100.0,41031
41,33,78,78,100.0,41033
41,34,81,81,100.0,41034
41,35,145,145,100.0,41035
41,36,133,133,100.0,41036
41,37,116,116,100.0,41037
41,38,121,121,100.0,41038
41,40,143,143,100.0,41040
41,41,126,126,100.0,41041
41,42,144,144,100.0,41042
41,43,111,111,100.0,41043
41,45,120,120,100.0,41045
41,46,94,94,100.0,41046
41,49,141,141,100.0,41049
41,50,127,127,100.0,41050
41,51,90,90,100.0,41051
41,52,180,180,100.0,41052
41,55,78,78,100.0,41055
41,56,160,160,100.0,41056
