ward,precinct,total,Harry Osterman,Harry Osterman Percent,precinct_id
40,3,105,105,100.0,40003
40,4,132,132,100.0,40004
40,7,110,110,100.0,40007
40,11,87,87,100.0,40011
40,12,92,92,100.0,40012
40,13,119,119,100.0,40013
40,16,165,165,100.0,40016
40,26,140,140,100.0,40026
40,27,101,101,100.0,40027
40,28,103,103,100.0,40028
40,35,99,99,100.0,40035
40,37,91,91,100.0,40037
40,42,16,16,100.0,40042
40,43,1,1,100.0,40043
40,47,110,110,100.0,40047
48,1,125,125,100.0,48001
48,2,122,122,100.0,48002
48,3,152,152,100.0,48003
48,5,152,152,100.0,48005
48,6,156,156,100.0,48006
48,7,107,107,100.0,48007
48,8,102,102,100.0,48008
48,9,139,139,100.0,48009
48,10,70,70,100.0,48010
48,11,176,176,100.0,48011
48,12,93,93,100.0,48012
48,13,101,101,100.0,48013
48,14,148,148,100.0,48014
48,15,69,69,100.0,48015
48,16,79,79,100.0,48016
48,18,86,86,100.0,48018
48,19,135,135,100.0,48019
48,20,74,74,100.0,48020
48,22,207,207,100.0,48022
48,26,124,124,100.0,48026
48,27,84,84,100.0,48027
48,28,145,145,100.0,48028
48,29,119,119,100.0,48029
48,30,145,145,100.0,48030
48,31,101,101,100.0,48031
48,32,81,81,100.0,48032
48,33,156,156,100.0,48033
48,36,134,134,100.0,48036
48,37,74,74,100.0,48037
48,38,219,219,100.0,48038
48,39,96,96,100.0,48039
48,41,73,73,100.0,48041
48,42,108,108,100.0,48042
48,43,147,147,100.0,48043
48,44,98,98,100.0,48044
48,45,101,101,100.0,48045
48,46,90,90,100.0,48046
48,47,99,99,100.0,48047
48,48,124,124,100.0,48048
48,50,175,175,100.0,48050
48,51,236,236,100.0,48051
48,52,72,72,100.0,48052
48,53,98,98,100.0,48053
48,54,79,79,100.0,48054
49,2,186,186,100.0,49002
49,3,89,89,100.0,49003
49,4,69,69,100.0,49004
49,7,96,96,100.0,49007
49,8,114,114,100.0,49008
49,9,107,107,100.0,49009
49,10,85,85,100.0,49010
49,11,90,90,100.0,49011
49,12,109,109,100.0,49012
49,13,142,142,100.0,49013
49,15,58,58,100.0,49015
49,17,11,11,100.0,49017
49,18,75,75,100.0,49018
49,19,78,78,100.0,49019
49,21,48,48,100.0,49021
49,22,116,116,100.0,49022
49,23,91,91,100.0,49023
49,25,108,108,100.0,49025
49,26,111,111,100.0,49026
49,27,107,107,100.0,49027
49,29,101,101,100.0,49029
49,31,84,84,100.0,49031
49,32,75,75,100.0,49032
49,33,92,92,100.0,49033
49,36,132,132,100.0,49036
49,37,104,104,100.0,49037
49,39,78,78,100.0,49039
49,42,101,101,100.0,49042
