ward,precinct,total,Leonard ''Len'' Dominguez,Leonard ''Len'' Dominguez Percent,Joseph Mario Moreno,Joseph Mario Moreno Percent,Albert Martinez,Albert Martinez Percent,precinct_id
3,13,110,9,8.18,80,72.73,21,19.09,03013
3,51,46,4,8.7,38,82.61,4,8.7,03051
11,2,133,21,15.79,99,74.44,13,9.77,11002
11,3,125,10,8.0,106,84.8,9,7.2,11003
11,6,187,26,13.9,130,69.52,31,16.58,11006
11,10,1,0,,0,,1,,11010
11,17,120,15,12.5,87,72.5,18,15.0,11017
12,1,57,13,22.81,34,59.65,10,17.54,12001
12,2,84,9,10.71,66,78.57,9,10.71,12002
12,3,79,22,27.85,50,63.29,7,8.86,12003
12,4,80,10,12.5,60,75.0,10,12.5,12004
12,5,101,12,11.88,78,77.23,11,10.89,12005
12,6,76,12,15.79,52,68.42,12,15.79,12006
12,7,93,18,19.35,58,62.37,17,18.28,12007
12,8,76,20,26.32,47,61.84,9,11.84,12008
12,9,109,11,10.09,87,79.82,11,10.09,12009
12,10,102,15,14.71,72,70.59,15,14.71,12010
12,11,160,14,8.75,131,81.88,15,9.38,12011
12,12,78,11,14.1,56,71.79,11,14.1,12012
12,13,151,11,7.28,126,83.44,14,9.27,12013
12,14,71,6,8.45,44,61.97,21,29.58,12014
12,15,91,12,13.19,68,74.73,11,12.09,12015
12,16,80,9,11.25,61,76.25,10,12.5,12016
12,17,131,17,12.98,89,67.94,25,19.08,12017
12,18,62,14,22.58,35,56.45,13,20.97,12018
12,19,108,16,14.81,77,71.3,15,13.89,12019
12,20,95,7,7.37,76,80.0,12,12.63,12020
12,21,132,13,9.85,98,74.24,21,15.91,12021
12,22,77,15,19.48,58,75.32,4,5.19,12022
12,23,94,8,8.51,66,70.21,20,21.28,12023
12,24,138,25,18.12,100,72.46,13,9.42,12024
13,3,210,24,11.43,154,73.33,32,15.24,13003
13,5,24,1,4.17,21,87.5,2,8.33,13005
13,15,299,20,6.69,263,87.96,16,5.35,13015
13,16,65,11,16.92,48,73.85,6,9.23,13016
13,18,143,22,15.38,90,62.94,31,21.68,13018
13,20,176,17,9.66,81,46.02,78,44.32,13020
13,26,116,6,5.17,91,78.45,19,16.38,13026
13,28,135,18,13.33,101,74.81,16,11.85,13028
13,30,216,16,7.41,162,75.0,38,17.59,13030
13,31,221,25,11.31,163,73.76,33,14.93,13031
13,33,170,18,10.59,131,77.06,21,12.35,13033
13,34,50,6,12.0,40,80.0,4,8.0,13034
13,35,53,4,7.55,47,88.68,2,3.77,13035
13,40,28,0,,24,,4,,13040
13,46,30,1,3.33,26,86.67,3,10.0,13046
13,50,311,15,4.82,278,89.39,18,5.79,13050
14,1,102,3,2.94,34,33.33,65,63.73,14001
14,3,172,18,10.47,117,68.02,37,21.51,14003
14,4,121,4,3.31,103,85.12,14,11.57,14004
14,5,184,19,10.33,139,75.54,26,14.13,14005
14,6,124,8,6.45,88,70.97,28,22.58,14006
14,7,119,15,12.61,85,71.43,19,15.97,14007
14,8,94,8,8.51,74,78.72,12,12.77,14008
14,9,155,16,10.32,108,69.68,31,20.0,14009
14,10,134,19,14.18,96,71.64,19,14.18,14010
14,11,110,2,1.82,101,91.82,7,6.36,14011
14,12,120,8,6.67,105,87.5,7,5.83,14012
14,13,196,27,13.78,99,50.51,70,35.71,14013
14,14,101,7,6.93,88,87.13,6,5.94,14014
14,15,159,9,5.66,132,83.02,18,11.32,14015
14,16,124,17,13.71,91,73.39,16,12.9,14016
14,17,138,15,10.87,110,79.71,13,9.42,14017
14,18,117,8,6.84,85,72.65,24,20.51,14018
14,19,184,28,15.22,137,74.46,19,10.33,14019
14,20,114,19,16.67,88,77.19,7,6.14,14020
14,21,151,8,5.3,131,86.75,12,7.95,14021
14,22,161,18,11.18,128,79.5,15,9.32,14022
14,23,144,10,6.94,95,65.97,39,27.08,14023
14,24,77,6,7.79,62,80.52,9,11.69,14024
14,26,151,21,13.91,114,75.5,16,10.6,14026
14,27,163,14,8.59,129,79.14,20,12.27,14027
14,29,152,7,4.61,126,82.89,19,12.5,14029
14,30,105,10,9.52,82,78.1,13,12.38,14030
14,31,135,9,6.67,118,87.41,8,5.93,14031
14,32,115,8,6.96,94,81.74,13,11.3,14032
14,33,104,5,4.81,82,78.85,17,16.35,14033
14,34,137,17,12.41,107,78.1,13,9.49,14034
14,35,102,13,12.75,83,81.37,6,5.88,14035
15,1,79,10,12.66,56,70.89,13,16.46,15001
15,10,91,9,9.89,59,64.84,23,25.27,15010
15,14,137,17,12.41,91,66.42,29,21.17,15014
15,16,69,4,5.8,48,69.57,17,24.64,15016
15,25,71,15,21.13,47,66.2,9,12.68,15025
15,28,100,13,13.0,68,68.0,19,19.0,15028
15,32,87,16,18.39,57,65.52,14,16.09,15032
15,44,71,18,25.35,45,63.38,8,11.27,15044
15,49,59,9,15.25,43,72.88,7,11.86,15049
16,1,3,1,,2,,0,,16001
16,4,67,4,5.97,54,80.6,9,13.43,16004
16,13,56,5,8.93,43,76.79,8,14.29,16013
16,17,109,17,15.6,67,61.47,25,22.94,16017
16,21,80,9,11.25,61,76.25,10,12.5,16021
16,23,49,8,16.33,29,59.18,12,24.49,16023
16,32,105,6,5.71,76,72.38,23,21.9,16032
16,35,77,4,5.19,55,71.43,18,23.38,16035
16,39,80,17,21.25,46,57.5,17,21.25,16039
16,42,89,11,12.36,67,75.28,11,12.36,16042
16,44,34,4,11.76,23,67.65,7,20.59,16044
20,4,91,6,6.59,77,84.62,8,8.79,20004
20,8,50,4,8.0,43,86.0,3,6.0,20008
20,15,97,7,7.22,77,79.38,13,13.4,20015
20,21,54,2,3.7,43,79.63,9,16.67,20021
20,41,1,0,,1,,0,,20041
22,1,80,14,17.5,54,67.5,12,15.0,22001
22,2,75,22,29.33,39,52.0,14,18.67,22002
22,3,130,33,25.38,75,57.69,22,16.92,22003
22,4,113,28,24.78,63,55.75,22,19.47,22004
22,5,122,37,30.33,62,50.82,23,18.85,22005
22,6,114,50,43.86,49,42.98,15,13.16,22006
