ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,precinct_id
8,70,219,219,100.0,08070
17,2,113,113,100.0,17002
17,3,101,101,100.0,17003
17,4,207,207,100.0,17004
17,5,120,120,100.0,17005
17,7,167,167,100.0,17007
17,9,104,104,100.0,17009
17,10,144,144,100.0,17010
17,11,142,142,100.0,17011
17,12,178,178,100.0,17012
17,15,111,111,100.0,17015
17,18,166,166,100.0,17018
17,20,110,110,100.0,17020
17,21,204,204,100.0,17021
17,22,142,142,100.0,17022
17,23,106,106,100.0,17023
17,24,143,143,100.0,17024
17,25,84,84,100.0,17025
17,26,173,173,100.0,17026
17,27,175,175,100.0,17027
17,28,105,105,100.0,17028
17,29,150,150,100.0,17029
17,30,144,144,100.0,17030
17,31,128,128,100.0,17031
17,32,141,141,100.0,17032
17,33,116,116,100.0,17033
17,35,82,82,100.0,17035
17,37,107,107,100.0,17037
17,38,128,128,100.0,17038
17,40,101,101,100.0,17040
17,44,89,89,100.0,17044
17,47,74,74,100.0,17047
17,48,153,153,100.0,17048
17,50,119,119,100.0,17050
17,51,159,159,100.0,17051
17,52,169,169,100.0,17052
17,53,114,114,100.0,17053
17,54,178,178,100.0,17054
17,55,121,121,100.0,17055
17,56,134,134,100.0,17056
17,57,151,151,100.0,17057
17,61,113,113,100.0,17061
18,4,213,213,100.0,18004
18,7,94,94,100.0,18007
18,8,66,66,100.0,18008
18,9,201,201,100.0,18009
18,10,269,269,100.0,18010
18,12,222,222,100.0,18012
18,13,194,194,100.0,18013
18,14,227,227,100.0,18014
18,16,203,203,100.0,18016
18,18,216,216,100.0,18018
18,19,240,240,100.0,18019
18,20,197,197,100.0,18020
18,21,253,253,100.0,18021
18,22,189,189,100.0,18022
18,24,242,242,100.0,18024
18,25,80,80,100.0,18025
18,26,151,151,100.0,18026
18,31,135,135,100.0,18031
18,32,229,229,100.0,18032
18,33,37,37,100.0,18033
18,34,259,259,100.0,18034
18,35,201,201,100.0,18035
18,36,23,23,100.0,18036
18,37,132,132,100.0,18037
18,38,234,234,100.0,18038
18,40,218,218,100.0,18040
18,44,88,88,100.0,18044
18,45,193,193,100.0,18045
18,51,227,227,100.0,18051
18,52,185,185,100.0,18052
18,54,192,192,100.0,18054
18,58,2,2,100.0,18058
18,59,1,1,100.0,18059
18,60,198,198,100.0,18060
18,61,169,169,100.0,18061
20,1,129,129,100.0,20001
20,2,122,122,100.0,20002
20,3,117,117,100.0,20003
20,5,83,83,100.0,20005
20,6,130,130,100.0,20006
20,9,135,135,100.0,20009
20,10,114,114,100.0,20010
20,14,206,206,100.0,20014
20,16,176,176,100.0,20016
20,18,135,135,100.0,20018
20,22,152,152,100.0,20022
20,24,145,145,100.0,20024
20,26,170,170,100.0,20026
20,29,124,124,100.0,20029
20,32,121,121,100.0,20032
20,34,158,158,100.0,20034
20,36,112,112,100.0,20036
20,37,150,150,100.0,20037
20,38,28,28,100.0,20038
20,47,101,101,100.0,20047
21,29,94,94,100.0,21029
21,52,14,14,100.0,21052
21,74,65,65,100.0,21074
42,2,70,70,100.0,42002
42,5,79,79,100.0,42005
42,6,203,203,100.0,42006
42,11,79,79,100.0,42011
42,13,176,176,100.0,42013
42,25,76,76,100.0,42025
42,31,41,41,100.0,42031
42,35,82,82,100.0,42035
42,37,67,67,100.0,42037
42,38,59,59,100.0,42038
42,40,84,84,100.0,42040
42,41,84,84,100.0,42041
42,43,72,72,100.0,42043
42,44,91,91,100.0,42044
42,47,45,45,100.0,42047
42,50,67,67,100.0,42050
42,51,80,80,100.0,42051
42,52,49,49,100.0,42052
42,53,67,67,100.0,42053
42,54,61,61,100.0,42054
42,62,60,60,100.0,42062
42,63,72,72,100.0,42063
42,64,46,46,100.0,42064
42,65,64,64,100.0,42065
42,66,89,89,100.0,42066
