ward,precinct,total,William A. Marovitz,William A. Marovitz Percent,Patrick D. McDonough,Patrick D. McDonough Percent,precinct_id
40,3,96,54,56.25,42,43.75,40003
40,4,125,80,64.0,45,36.0,40004
40,7,102,59,57.84,43,42.16,40007
40,8,25,15,60.0,10,40.0,40008
40,9,69,46,66.67,23,33.33,40009
40,11,79,54,68.35,25,31.65,40011
40,12,81,59,72.84,22,27.16,40012
40,13,111,67,60.36,44,39.64,40013
40,16,161,117,72.67,44,27.33,40016
40,18,102,63,61.76,39,38.24,40018
40,22,32,16,50.0,16,50.0,40022
40,26,126,88,69.84,38,30.16,40026
40,27,97,53,54.64,44,45.36,40027
40,28,97,58,59.79,39,40.21,40028
40,33,81,49,60.49,32,39.51,40033
40,35,92,51,55.43,41,44.57,40035
40,37,81,53,65.43,28,34.57,40037
40,39,90,51,56.67,39,43.33,40039
40,41,87,54,62.07,33,37.93,40041
40,42,113,69,61.06,44,38.94,40042
40,43,95,51,53.68,44,46.32,40043
40,46,126,67,53.17,59,46.83,40046
40,47,98,60,61.22,38,38.78,40047
41,1,146,57,39.04,89,60.96,41001
41,2,200,79,39.5,121,60.5,41002
41,4,161,55,34.16,106,65.84,41004
41,5,129,45,34.88,84,65.12,41005
41,7,163,62,38.04,101,61.96,41007
41,8,137,54,39.42,83,60.58,41008
41,11,149,63,42.28,86,57.72,41011
41,13,83,34,40.96,49,59.04,41013
41,15,122,42,34.43,80,65.57,41015
41,17,148,66,44.59,82,55.41,41017
41,18,140,55,39.29,85,60.71,41018
41,20,179,73,40.78,106,59.22,41020
41,25,47,19,40.43,28,59.57,41025
41,26,65,30,46.15,35,53.85,41026
41,27,39,15,38.46,24,61.54,41027
41,28,111,56,50.45,55,49.55,41028
41,29,48,20,41.67,28,58.33,41029
41,31,153,54,35.29,99,64.71,41031
41,32,102,53,51.96,49,48.04,41032
41,33,85,30,35.29,55,64.71,41033
41,34,86,28,32.56,58,67.44,41034
41,36,143,63,44.06,80,55.94,41036
41,37,130,38,29.23,92,70.77,41037
41,40,162,59,36.42,103,63.58,41040
41,41,145,65,44.83,80,55.17,41041
41,42,167,57,34.13,110,65.87,41042
41,43,131,68,51.91,63,48.09,41043
41,45,126,52,41.27,74,58.73,41045
41,48,68,35,51.47,33,48.53,41048
41,49,176,58,32.95,118,67.05,41049
41,52,200,97,48.5,103,51.5,41052
41,55,92,37,40.22,55,59.78,41055
41,56,195,63,32.31,132,67.69,41056
44,3,147,124,84.35,23,15.65,44003
44,4,152,127,83.55,25,16.45,44004
44,7,145,88,60.69,57,39.31,44007
44,18,8,4,50.0,4,50.0,44018
44,35,100,73,73.0,27,27.0,44035
44,48,96,76,79.17,20,20.83,44048
44,49,208,158,75.96,50,24.04,44049
46,1,251,181,72.11,70,27.89,46001
46,2,110,62,56.36,48,43.64,46002
46,4,124,76,61.29,48,38.71,46004
46,6,97,49,50.52,48,49.48,46006
46,7,67,49,73.13,18,26.87,46007
46,8,98,55,56.12,43,43.88,46008
46,9,96,41,42.71,55,57.29,46009
46,10,65,29,44.62,36,55.38,46010
46,11,117,67,57.26,50,42.74,46011
46,12,81,56,69.14,25,30.86,46012
46,14,61,38,62.3,23,37.7,46014
46,15,117,80,68.38,37,31.62,46015
46,16,78,42,53.85,36,46.15,46016
46,19,101,67,66.34,34,33.66,46019
46,20,71,41,57.75,30,42.25,46020
46,21,19,13,68.42,6,31.58,46021
46,22,65,26,40.0,39,60.0,46022
46,23,90,56,62.22,34,37.78,46023
46,25,100,57,57.0,43,43.0,46025
46,26,93,52,55.91,41,44.09,46026
46,27,71,42,59.15,29,40.85,46027
46,28,95,59,62.11,36,37.89,46028
46,30,143,86,60.14,57,39.86,46030
46,32,96,44,45.83,52,54.17,46032
46,33,125,79,63.2,46,36.8,46033
46,34,114,67,58.77,47,41.23,46034
46,35,92,53,57.61,39,42.39,46035
46,38,111,84,75.68,27,24.32,46038
46,39,118,84,71.19,34,28.81,46039
46,40,88,52,59.09,36,40.91,46040
46,41,75,36,48.0,39,52.0,46041
46,42,78,48,61.54,30,38.46,46042
46,45,116,78,67.24,38,32.76,46045
46,46,107,58,54.21,49,45.79,46046
46,47,40,24,60.0,16,40.0,46047
48,1,109,73,66.97,36,33.03,48001
48,2,118,79,66.95,39,33.05,48002
48,3,131,68,51.91,63,48.09,48003
48,4,113,68,60.18,45,39.82,48004
48,5,146,89,60.96,57,39.04,48005
48,6,143,88,61.54,55,38.46,48006
48,7,85,46,54.12,39,45.88,48007
48,8,93,54,58.06,39,41.94,48008
48,9,127,77,60.63,50,39.37,48009
48,10,55,28,50.91,27,49.09,48010
48,11,145,91,62.76,54,37.24,48011
48,12,82,47,57.32,35,42.68,48012
48,13,99,69,69.7,30,30.3,48013
48,14,126,71,56.35,55,43.65,48014
48,15,48,27,56.25,21,43.75,48015
48,16,68,37,54.41,31,45.59,48016
48,17,111,64,57.66,47,42.34,48017
48,18,78,38,48.72,40,51.28,48018
48,19,111,73,65.77,38,34.23,48019
48,20,68,42,61.76,26,38.24,48020
48,21,43,23,53.49,20,46.51,48021
48,22,195,121,62.05,74,37.95,48022
48,23,118,67,56.78,51,43.22,48023
48,24,117,74,63.25,43,36.75,48024
48,25,118,68,57.63,50,42.37,48025
48,26,118,78,66.1,40,33.9,48026
48,27,76,44,57.89,32,42.11,48027
48,28,130,90,69.23,40,30.77,48028
48,29,119,98,82.35,21,17.65,48029
48,30,117,77,65.81,40,34.19,48030
48,31,95,44,46.32,51,53.68,48031
48,32,84,48,57.14,36,42.86,48032
48,33,150,107,71.33,43,28.67,48033
48,34,42,26,61.9,16,38.1,48034
48,35,96,64,66.67,32,33.33,48035
48,36,129,77,59.69,52,40.31,48036
48,37,65,32,49.23,33,50.77,48037
48,38,187,109,58.29,78,41.71,48038
48,39,96,61,63.54,35,36.46,48039
48,40,68,41,60.29,27,39.71,48040
48,41,63,31,49.21,32,50.79,48041
48,42,94,50,53.19,44,46.81,48042
48,43,122,70,57.38,52,42.62,48043
48,44,86,49,56.98,37,43.02,48044
48,45,93,57,61.29,36,38.71,48045
48,46,87,41,47.13,46,52.87,48046
48,47,86,46,53.49,40,46.51,48047
48,48,116,72,62.07,44,37.93,48048
48,49,45,29,64.44,16,35.56,48049
48,50,157,88,56.05,69,43.95,48050
48,51,189,113,59.79,76,40.21,48051
48,52,61,32,52.46,29,47.54,48052
48,53,91,44,48.35,47,51.65,48053
48,54,72,46,63.89,26,36.11,48054
48,55,45,23,51.11,22,48.89,48055
48,56,115,56,48.7,59,51.3,48056
49,1,109,65,59.63,44,40.37,49001
49,2,179,115,64.25,64,35.75,49002
49,3,83,48,57.83,35,42.17,49003
49,4,61,33,54.1,28,45.9,49004
49,5,134,81,60.45,53,39.55,49005
49,6,98,68,69.39,30,30.61,49006
49,7,91,61,67.03,30,32.97,49007
49,8,112,76,67.86,36,32.14,49008
49,9,102,67,65.69,35,34.31,49009
49,10,84,63,75.0,21,25.0,49010
49,11,91,51,56.04,40,43.96,49011
49,12,107,69,64.49,38,35.51,49012
49,13,121,64,52.89,57,47.11,49013
49,14,93,65,69.89,28,30.11,49014
49,15,60,33,55.0,27,45.0,49015
49,16,74,46,62.16,28,37.84,49016
49,17,12,4,33.33,8,66.67,49017
49,18,72,41,56.94,31,43.06,49018
49,19,77,45,58.44,32,41.56,49019
49,20,132,74,56.06,58,43.94,49020
49,21,42,21,50.0,21,50.0,49021
49,22,103,66,64.08,37,35.92,49022
49,23,87,46,52.87,41,47.13,49023
49,24,117,80,68.38,37,31.62,49024
49,25,103,68,66.02,35,33.98,49025
49,26,105,60,57.14,45,42.86,49026
49,27,97,51,52.58,46,47.42,49027
49,28,97,58,59.79,39,40.21,49028
49,29,89,60,67.42,29,32.58,49029
49,30,104,53,50.96,51,49.04,49030
49,31,79,54,68.35,25,31.65,49031
49,32,68,40,58.82,28,41.18,49032
49,33,89,58,65.17,31,34.83,49033
49,34,88,55,62.5,33,37.5,49034
49,35,143,87,60.84,56,39.16,49035
49,36,118,73,61.86,45,38.14,49036
49,37,86,52,60.47,34,39.53,49037
49,38,80,44,55.0,36,45.0,49038
49,39,76,54,71.05,22,28.95,49039
49,40,87,53,60.92,34,39.08,49040
49,41,100,62,62.0,38,38.0,49041
49,42,97,61,62.89,36,37.11,49042
50,1,166,117,70.48,49,29.52,50001
50,2,140,106,75.71,34,24.29,50002
50,3,99,76,76.77,23,23.23,50003
