ward,precinct,total,Casandra Lewis,Casandra Lewis Percent,Michael James Murphy,Michael James Murphy Percent,Deborah Mary Dooling,Deborah Mary Dooling Percent,Kathleen G. Kennedy,Kathleen G. Kennedy Percent,Christine Patricia Curran,Christine Patricia Curran Percent,precinct_id
2,20,184,110,59.78,37,20.11,15,8.15,20,10.87,2,1.09,02020
2,21,164,75,45.73,42,25.61,15,9.15,25,15.24,7,4.27,02021
2,22,218,75,34.4,47,21.56,43,19.72,44,20.18,9,4.13,02022
2,23,84,41,48.81,19,22.62,8,9.52,10,11.9,6,7.14,02023
2,24,65,33,50.77,20,30.77,4,6.15,4,6.15,4,6.15,02024
2,25,70,41,58.57,15,21.43,4,5.71,9,12.86,1,1.43,02025
2,26,159,55,34.59,56,35.22,15,9.43,24,15.09,9,5.66,02026
2,27,97,51,52.58,23,23.71,10,10.31,9,9.28,4,4.12,02027
2,28,33,5,15.15,10,30.3,8,24.24,8,24.24,2,6.06,02028
2,29,38,14,,14,,0,,8,,2,,02029
2,30,58,25,43.1,17,29.31,8,13.79,5,8.62,3,5.17,02030
2,31,168,103,61.31,31,18.45,14,8.33,12,7.14,8,4.76,02031
2,32,50,21,42.0,11,22.0,5,10.0,12,24.0,1,2.0,02032
2,33,68,28,41.18,23,33.82,3,4.41,9,13.24,5,7.35,02033
2,34,155,89,57.42,33,21.29,13,8.39,16,10.32,4,2.58,02034
2,35,30,8,26.67,6,20.0,6,20.0,6,20.0,4,13.33,02035
2,36,62,29,46.77,18,29.03,6,9.68,6,9.68,3,4.84,02036
2,37,129,46,35.66,28,21.71,24,18.6,25,19.38,6,4.65,02037
2,38,136,65,47.79,32,23.53,14,10.29,17,12.5,8,5.88,02038
2,39,86,38,44.19,22,25.58,5,5.81,7,8.14,14,16.28,02039
2,40,146,56,38.36,34,23.29,14,9.59,34,23.29,8,5.48,02040
2,41,58,31,53.45,13,22.41,4,6.9,7,12.07,3,5.17,02041
2,42,21,9,42.86,4,19.05,2,9.52,5,23.81,1,4.76,02042
2,43,189,63,33.33,54,28.57,35,18.52,30,15.87,7,3.7,02043
2,44,122,58,47.54,37,30.33,8,6.56,13,10.66,6,4.92,02044
2,45,95,50,52.63,16,16.84,9,9.47,17,17.89,3,3.16,02045
2,46,226,150,66.37,46,20.35,12,5.31,11,4.87,7,3.1,02046
2,47,119,53,44.54,27,22.69,8,6.72,21,17.65,10,8.4,02047
2,48,89,40,44.94,31,34.83,11,12.36,6,6.74,1,1.12,02048
2,49,95,25,26.32,15,15.79,20,21.05,30,31.58,5,5.26,02049
2,50,69,23,33.33,20,28.99,11,15.94,12,17.39,3,4.35,02050
2,51,60,26,43.33,21,35.0,6,10.0,4,6.67,3,5.0,02051
2,52,142,66,46.48,33,23.24,19,13.38,16,11.27,8,5.63,02052
2,53,40,17,42.5,12,30.0,2,5.0,4,10.0,5,12.5,02053
2,54,103,18,17.48,15,14.56,25,24.27,30,29.13,15,14.56,02054
2,55,31,10,32.26,8,25.81,5,16.13,3,9.68,5,16.13,02055
2,56,128,74,57.81,22,17.19,10,7.81,14,10.94,8,6.25,02056
2,57,111,40,36.04,44,39.64,7,6.31,17,15.32,3,2.7,02057
2,58,46,18,39.13,9,19.57,11,23.91,4,8.7,4,8.7,02058
2,59,153,34,22.22,33,21.57,46,30.07,30,19.61,10,6.54,02059
2,60,143,30,20.98,46,32.17,22,15.38,35,24.48,10,6.99,02060
2,61,79,24,30.38,21,26.58,14,17.72,15,18.99,5,6.33,02061
3,1,147,97,65.99,26,17.69,9,6.12,11,7.48,4,2.72,03001
3,2,211,125,59.24,38,18.01,13,6.16,25,11.85,10,4.74,03002
3,3,97,53,54.64,20,20.62,7,7.22,8,8.25,9,9.28,03003
3,4,99,66,66.67,15,15.15,4,4.04,10,10.1,4,4.04,03004
3,5,149,91,61.07,32,21.48,9,6.04,12,8.05,5,3.36,03005
3,6,57,32,56.14,14,24.56,4,7.02,6,10.53,1,1.75,03006
3,7,148,68,45.95,38,25.68,11,7.43,25,16.89,6,4.05,03007
3,8,63,28,44.44,12,19.05,9,14.29,9,14.29,5,7.94,03008
3,9,110,58,52.73,25,22.73,11,10.0,11,10.0,5,4.55,03009
3,10,61,35,57.38,14,22.95,6,9.84,2,3.28,4,6.56,03010
3,11,144,109,75.69,15,10.42,7,4.86,8,5.56,5,3.47,03011
3,12,147,95,64.63,28,19.05,6,4.08,13,8.84,5,3.4,03012
3,13,83,16,19.28,27,32.53,8,9.64,14,16.87,18,21.69,03013
3,14,90,55,61.11,20,22.22,4,4.44,6,6.67,5,5.56,03014
3,15,132,81,61.36,23,17.42,8,6.06,11,8.33,9,6.82,03015
3,16,139,108,77.7,16,11.51,2,1.44,10,7.19,3,2.16,03016
3,17,92,47,51.09,26,28.26,7,7.61,10,10.87,2,2.17,03017
3,18,99,63,63.64,11,11.11,5,5.05,11,11.11,9,9.09,03018
3,19,7,2,,3,,1,,1,,0,,03019
3,20,98,61,62.24,21,21.43,3,3.06,8,8.16,5,5.1,03020
3,21,55,31,,10,,8,,6,,0,,03021
3,22,82,51,62.2,13,15.85,4,4.88,6,7.32,8,9.76,03022
3,23,27,12,,11,,0,,3,,1,,03023
3,24,107,62,57.94,22,20.56,6,5.61,8,7.48,9,8.41,03024
3,25,108,64,59.26,24,22.22,4,3.7,8,7.41,8,7.41,03025
3,26,121,83,68.6,13,10.74,11,9.09,11,9.09,3,2.48,03026
3,27,129,78,60.47,22,17.05,12,9.3,12,9.3,5,3.88,03027
3,28,48,22,45.83,12,25.0,7,14.58,5,10.42,2,4.17,03028
3,29,96,40,41.67,32,33.33,8,8.33,9,9.38,7,7.29,03029
3,30,118,78,66.1,17,14.41,10,8.47,9,7.63,4,3.39,03030
3,31,193,120,62.18,36,18.65,15,7.77,13,6.74,9,4.66,03031
3,32,92,66,71.74,14,15.22,5,5.43,5,5.43,2,2.17,03032
3,33,155,92,59.35,29,18.71,15,9.68,15,9.68,4,2.58,03033
3,34,97,63,64.95,18,18.56,5,5.15,6,6.19,5,5.15,03034
3,35,107,80,74.77,12,11.21,2,1.87,8,7.48,5,4.67,03035
3,36,57,31,54.39,14,24.56,4,7.02,6,10.53,2,3.51,03036
3,37,48,23,47.92,10,20.83,6,12.5,7,14.58,2,4.17,03037
3,38,168,102,60.71,33,19.64,10,5.95,16,9.52,7,4.17,03038
3,39,209,136,65.07,38,18.18,15,7.18,14,6.7,6,2.87,03039
