ward,precinct,total,"Michael J. Howlett, Jr.","Michael J. Howlett, Jr. Percent",Margaret Ann (Meg) Carey,Margaret Ann (Meg) Carey Percent,precinct_id
19,54,154,58,37.66,96,62.34,19054
19,55,199,74,37.19,125,62.81,19055
19,56,286,133,46.5,153,53.5,19056
19,57,276,107,38.77,169,61.23,19057
19,58,226,61,26.99,165,73.01,19058
19,59,232,83,35.78,149,64.22,19059
19,60,194,88,45.36,106,54.64,19060
19,61,303,88,29.04,215,70.96,19061
19,62,231,61,26.41,170,73.59,19062
19,63,168,67,39.88,101,60.12,19063
19,64,286,117,40.91,169,59.09,19064
19,65,178,78,43.82,100,56.18,19065
19,66,282,140,49.65,142,50.35,19066
19,67,47,23,48.94,24,51.06,19067
20,1,117,75,64.1,42,35.9,20001
20,2,103,64,62.14,39,37.86,20002
20,3,100,64,64.0,36,36.0,20003
20,4,84,50,59.52,34,40.48,20004
20,5,75,49,65.33,26,34.67,20005
20,6,112,70,62.5,42,37.5,20006
20,7,56,29,51.79,27,48.21,20007
20,8,43,26,60.47,17,39.53,20008
20,9,109,74,67.89,35,32.11,20009
20,10,103,77,74.76,26,25.24,20010
20,11,77,34,44.16,43,55.84,20011
20,12,72,38,52.78,34,47.22,20012
20,13,112,59,52.68,53,47.32,20013
20,14,176,103,58.52,73,41.48,20014
20,15,77,46,59.74,31,40.26,20015
20,16,140,86,61.43,54,38.57,20016
20,17,86,43,50.0,43,50.0,20017
20,18,125,74,59.2,51,40.8,20018
20,19,81,53,65.43,28,34.57,20019
20,20,71,42,59.15,29,40.85,20020
20,21,42,16,38.1,26,61.9,20021
20,22,128,90,70.31,38,29.69,20022
20,23,129,68,52.71,61,47.29,20023
20,24,111,62,55.86,49,44.14,20024
20,25,81,51,62.96,30,37.04,20025
20,26,146,96,65.75,50,34.25,20026
20,27,66,41,62.12,25,37.88,20027
20,28,101,59,58.42,42,41.58,20028
20,29,110,74,67.27,36,32.73,20029
20,30,118,68,57.63,50,42.37,20030
20,31,114,66,57.89,48,42.11,20031
20,32,118,75,63.56,43,36.44,20032
20,33,115,63,54.78,52,45.22,20033
20,34,134,82,61.19,52,38.81,20034
20,35,69,38,55.07,31,44.93,20035
20,36,100,68,68.0,32,32.0,20036
20,37,115,64,55.65,51,44.35,20037
20,38,25,17,68.0,8,32.0,20038
20,39,94,56,59.57,38,40.43,20039
20,40,79,53,67.09,26,32.91,20040
20,41,38,18,47.37,20,52.63,20041
20,42,85,42,49.41,43,50.59,20042
20,43,32,18,56.25,14,43.75,20043
20,44,174,123,70.69,51,29.31,20044
20,45,83,54,65.06,29,34.94,20045
20,46,63,34,53.97,29,46.03,20046
20,47,79,39,49.37,40,50.63,20047
20,48,52,37,71.15,15,28.85,20048
20,49,90,51,56.67,39,43.33,20049
20,50,67,47,70.15,20,29.85,20050
21,1,266,194,72.93,72,27.07,21001
21,2,161,105,65.22,56,34.78,21002
21,3,164,109,66.46,55,33.54,21003
21,4,176,119,67.61,57,32.39,21004
21,5,151,103,68.21,48,31.79,21005
21,6,124,84,67.74,40,32.26,21006
21,7,162,111,68.52,51,31.48,21007
21,8,201,140,69.65,61,30.35,21008
21,9,191,131,68.59,60,31.41,21009
21,10,121,81,66.94,40,33.06,21010
21,11,202,134,66.34,68,33.66,21011
21,12,162,110,67.9,52,32.1,21012
21,13,94,52,55.32,42,44.68,21013
21,14,152,119,78.29,33,21.71,21014
21,15,136,102,75.0,34,25.0,21015
21,16,158,110,69.62,48,30.38,21016
21,17,159,108,67.92,51,32.08,21017
21,18,164,132,80.49,32,19.51,21018
21,19,124,87,70.16,37,29.84,21019
21,20,90,54,60.0,36,40.0,21020
21,21,188,140,74.47,48,25.53,21021
21,22,166,124,74.7,42,25.3,21022
21,23,132,84,63.64,48,36.36,21023
21,24,171,127,74.27,44,25.73,21024
21,25,151,105,69.54,46,30.46,21025
21,26,129,97,75.19,32,24.81,21026
21,27,207,139,67.15,68,32.85,21027
21,28,138,93,67.39,45,32.61,21028
21,29,90,65,72.22,25,27.78,21029
21,30,136,90,66.18,46,33.82,21030
21,31,207,151,72.95,56,27.05,21031
21,32,142,103,72.54,39,27.46,21032
21,33,157,107,68.15,50,31.85,21033
21,34,213,134,62.91,79,37.09,21034
21,35,101,69,68.32,32,31.68,21035
21,36,141,88,62.41,53,37.59,21036
