ward,precinct,total,"Michael J. Howlett, Jr.","Michael J. Howlett, Jr. Percent",Margaret Ann (Meg) Carey,Margaret Ann (Meg) Carey Percent,precinct_id
29,22,115,69,60.0,46,40.0,29022
29,23,174,137,78.74,37,21.26,29023
29,24,73,43,58.9,30,41.1,29024
29,25,173,148,85.55,25,14.45,29025
29,26,191,157,82.2,34,17.8,29026
29,27,109,83,76.15,26,23.85,29027
29,28,171,112,65.5,59,34.5,29028
29,29,196,158,80.61,38,19.39,29029
29,30,84,56,66.67,28,33.33,29030
29,31,120,81,67.5,39,32.5,29031
29,32,75,42,56.0,33,44.0,29032
29,33,197,165,83.76,32,16.24,29033
29,34,94,72,76.6,22,23.4,29034
29,35,116,72,62.07,44,37.93,29035
29,36,170,140,82.35,30,17.65,29036
29,37,157,114,72.61,43,27.39,29037
29,38,165,111,67.27,54,32.73,29038
29,39,79,47,59.49,32,40.51,29039
29,40,288,244,84.72,44,15.28,29040
29,41,189,153,80.95,36,19.05,29041
29,42,192,138,71.88,54,28.13,29042
29,43,266,234,87.97,32,12.03,29043
29,44,193,150,77.72,43,22.28,29044
29,45,139,101,72.66,38,27.34,29045
29,46,126,102,80.95,24,19.05,29046
29,47,217,169,77.88,48,22.12,29047
29,48,134,98,73.13,36,26.87,29048
29,49,203,159,78.33,44,21.67,29049
29,50,114,93,81.58,21,18.42,29050
29,51,146,108,73.97,38,26.03,29051
29,52,69,41,59.42,28,40.58,29052
30,1,113,70,61.95,43,38.05,30001
30,2,77,43,55.84,34,44.16,30002
30,3,107,50,46.73,57,53.27,30003
30,4,55,25,45.45,30,54.55,30004
30,5,39,16,41.03,23,58.97,30005
30,6,62,35,56.45,27,43.55,30006
30,7,67,43,64.18,24,35.82,30007
30,8,98,55,56.12,43,43.88,30008
30,9,129,68,52.71,61,47.29,30009
30,10,63,30,47.62,33,52.38,30010
30,11,52,31,59.62,21,40.38,30011
30,12,65,29,44.62,36,55.38,30012
30,13,62,33,53.23,29,46.77,30013
30,14,22,11,50.0,11,50.0,30014
30,15,121,70,57.85,51,42.15,30015
30,16,80,43,53.75,37,46.25,30016
30,17,63,27,42.86,36,57.14,30017
30,18,65,29,44.62,36,55.38,30018
30,19,41,18,43.9,23,56.1,30019
30,20,59,30,50.85,29,49.15,30020
30,21,76,40,52.63,36,47.37,30021
30,22,71,37,52.11,34,47.89,30022
30,23,65,38,58.46,27,41.54,30023
30,24,66,34,51.52,32,48.48,30024
30,25,54,27,50.0,27,50.0,30025
30,26,51,28,54.9,23,45.1,30026
30,27,96,56,58.33,40,41.67,30027
30,28,69,44,63.77,25,36.23,30028
30,29,32,20,62.5,12,37.5,30029
30,30,99,56,56.57,43,43.43,30030
30,31,55,33,60.0,22,40.0,30031
30,32,28,13,46.43,15,53.57,30032
30,33,68,32,47.06,36,52.94,30033
30,34,109,60,55.05,49,44.95,30034
30,35,86,47,54.65,39,45.35,30035
30,36,50,24,48.0,26,52.0,30036
30,37,65,31,47.69,34,52.31,30037
30,38,113,63,55.75,50,44.25,30038
30,39,83,48,57.83,35,42.17,30039
30,40,68,37,54.41,31,45.59,30040
30,41,63,37,58.73,26,41.27,30041
31,1,49,38,77.55,11,22.45,31001
31,2,55,29,52.73,26,47.27,31002
31,3,82,61,74.39,21,25.61,31003
31,4,58,40,68.97,18,31.03,31004
31,5,78,46,58.97,32,41.03,31005
31,6,72,38,52.78,34,47.22,31006
31,7,56,32,57.14,24,42.86,31007
31,8,64,37,57.81,27,42.19,31008
31,9,63,39,61.9,24,38.1,31009
31,10,30,21,70.0,9,30.0,31010
31,11,37,16,43.24,21,56.76,31011
31,12,80,36,45.0,44,55.0,31012
31,13,41,21,51.22,20,48.78,31013
31,14,40,25,62.5,15,37.5,31014
31,15,36,26,72.22,10,27.78,31015
31,16,38,19,50.0,19,50.0,31016
31,17,63,35,55.56,28,44.44,31017
31,18,43,21,48.84,22,51.16,31018
31,19,66,36,54.55,30,45.45,31019
31,20,53,30,56.6,23,43.4,31020
31,21,73,36,49.32,37,50.68,31021
31,22,43,20,46.51,23,53.49,31022
31,23,37,18,48.65,19,51.35,31023
31,24,58,28,48.28,30,51.72,31024
31,25,70,40,57.14,30,42.86,31025
31,26,45,30,66.67,15,33.33,31026
31,27,61,39,63.93,22,36.07,31027
31,28,53,27,50.94,26,49.06,31028
31,29,56,36,64.29,20,35.71,31029
31,30,79,53,67.09,26,32.91,31030
31,31,88,46,52.27,42,47.73,31031
31,32,80,41,51.25,39,48.75,31032
31,33,56,33,58.93,23,41.07,31033
31,34,46,25,54.35,21,45.65,31034
31,35,56,31,55.36,25,44.64,31035
31,36,95,59,62.11,36,37.89,31036
31,37,56,31,55.36,25,44.64,31037
31,38,49,23,46.94,26,53.06,31038
31,39,41,26,63.41,15,36.59,31039
31,40,51,31,60.78,20,39.22,31040
31,41,52,33,63.46,19,36.54,31041
31,42,80,45,56.25,35,43.75,31042
31,43,74,39,52.7,35,47.3,31043
31,44,53,35,66.04,18,33.96,31044
31,45,61,36,59.02,25,40.98,31045
31,46,61,37,60.66,24,39.34,31046
31,47,90,45,50.0,45,50.0,31047
31,48,64,38,59.38,26,40.63,31048
31,49,40,26,65.0,14,35.0,31049
31,50,60,34,56.67,26,43.33,31050
31,51,53,34,64.15,19,35.85,31051
32,1,84,46,54.76,38,45.24,32001
32,2,77,48,62.34,29,37.66,32002
32,3,69,47,68.12,22,31.88,32003
32,4,101,62,61.39,39,38.61,32004
32,5,61,37,60.66,24,39.34,32005
32,6,83,42,50.6,41,49.4,32006
32,7,32,9,28.13,23,71.88,32007
32,8,90,53,58.89,37,41.11,32008
32,9,131,71,54.2,60,45.8,32009
32,10,73,41,56.16,32,43.84,32010
32,11,58,36,62.07,22,37.93,32011
32,12,67,41,61.19,26,38.81,32012
32,13,27,12,44.44,15,55.56,32013
32,14,71,44,61.97,27,38.03,32014
32,15,56,34,60.71,22,39.29,32015
32,16,96,61,63.54,35,36.46,32016
32,17,67,32,47.76,35,52.24,32017
32,18,55,30,54.55,25,45.45,32018
32,19,87,48,55.17,39,44.83,32019
32,20,79,49,62.03,30,37.97,32020
32,21,72,33,45.83,39,54.17,32021
32,22,103,47,45.63,56,54.37,32022
32,23,91,52,57.14,39,42.86,32023
32,24,62,37,59.68,25,40.32,32024
32,25,78,39,50.0,39,50.0,32025
32,26,65,31,47.69,34,52.31,32026
32,27,65,40,61.54,25,38.46,32027
32,28,67,29,43.28,38,56.72,32028
32,29,92,47,51.09,45,48.91,32029
32,30,55,33,60.0,22,40.0,32030
32,31,98,56,57.14,42,42.86,32031
32,32,61,41,67.21,20,32.79,32032
32,33,78,38,48.72,40,51.28,32033
32,34,96,49,51.04,47,48.96,32034
32,35,115,62,53.91,53,46.09,32035
32,36,80,37,46.25,43,53.75,32036
32,37,62,41,66.13,21,33.87,32037
32,38,71,37,52.11,34,47.89,32038
32,39,79,42,53.16,37,46.84,32039
32,40,84,51,60.71,33,39.29,32040
32,41,93,53,56.99,40,43.01,32041
32,42,95,48,50.53,47,49.47,32042
32,43,84,46,54.76,38,45.24,32043
32,44,86,54,62.79,32,37.21,32044
32,45,73,36,49.32,37,50.68,32045
32,46,50,24,48.0,26,52.0,32046
32,47,85,53,62.35,32,37.65,32047
32,48,91,52,57.14,39,42.86,32048
32,49,46,25,54.35,21,45.65,32049
32,50,83,50,60.24,33,39.76,32050
32,51,77,45,58.44,32,41.56,32051
32,52,45,28,62.22,17,37.78,32052
33,1,124,65,52.42,59,47.58,33001
33,2,134,61,45.52,73,54.48,33002
33,3,136,68,50.0,68,50.0,33003
33,4,110,56,50.91,54,49.09,33004
33,5,96,42,43.75,54,56.25,33005
33,6,142,73,51.41,69,48.59,33006
33,7,206,113,54.85,93,45.15,33007
33,8,94,45,47.87,49,52.13,33008
33,9,140,71,50.71,69,49.29,33009
33,10,191,113,59.16,78,40.84,33010
33,11,127,57,44.88,70,55.12,33011
33,12,165,89,53.94,76,46.06,33012
33,13,183,81,44.26,102,55.74,33013
33,14,74,35,47.3,39,52.7,33014
33,15,125,56,44.8,69,55.2,33015
33,16,119,52,43.7,67,56.3,33016
33,17,164,77,46.95,87,53.05,33017
33,18,34,15,44.12,19,55.88,33018
33,19,151,76,50.33,75,49.67,33019
33,20,115,68,59.13,47,40.87,33020
33,21,170,84,49.41,86,50.59,33021
33,22,194,106,54.64,88,45.36,33022
33,23,125,56,44.8,69,55.2,33023
33,24,186,105,56.45,81,43.55,33024
33,25,149,62,41.61,87,58.39,33025
33,26,107,54,50.47,53,49.53,33026
33,27,82,48,58.54,34,41.46,33027
34,1,309,219,70.87,90,29.13,34001
34,2,212,153,72.17,59,27.83,34002
34,3,216,147,68.06,69,31.94,34003
34,4,173,136,78.61,37,21.39,34004
34,5,178,128,71.91,50,28.09,34005
34,6,112,78,69.64,34,30.36,34006
34,7,275,213,77.45,62,22.55,34007
34,8,193,138,71.5,55,28.5,34008
34,9,137,87,63.5,50,36.5,34009
34,10,194,131,67.53,63,32.47,34010
34,11,142,97,68.31,45,31.69,34011
34,12,196,133,67.86,63,32.14,34012
34,13,220,135,61.36,85,38.64,34013
34,14,165,120,72.73,45,27.27,34014
34,15,142,104,73.24,38,26.76,34015
34,16,115,64,55.65,51,44.35,34016
34,17,165,94,56.97,71,43.03,34017
34,18,171,123,71.93,48,28.07,34018
34,19,47,36,76.6,11,23.4,34019
34,20,221,150,67.87,71,32.13,34020
34,21,244,190,77.87,54,22.13,34021
34,22,240,185,77.08,55,22.92,34022
34,23,165,110,66.67,55,33.33,34023
34,24,180,116,64.44,64,35.56,34024
34,25,213,154,72.3,59,27.7,34025
34,26,129,100,77.52,29,22.48,34026
34,27,150,112,74.67,38,25.33,34027
34,28,122,93,76.23,29,23.77,34028
34,29,185,103,55.68,82,44.32,34029
34,30,231,152,65.8,79,34.2,34030
34,31,80,47,58.75,33,41.25,34031
34,32,252,208,82.54,44,17.46,34032
34,33,71,52,73.24,19,26.76,34033
34,34,245,173,70.61,72,29.39,34034
34,35,218,162,74.31,56,25.69,34035
34,36,208,141,67.79,67,32.21,34036
34,37,157,106,67.52,51,32.48,34037
34,38,138,102,73.91,36,26.09,34038
34,39,113,83,73.45,30,26.55,34039
34,40,202,142,70.3,60,29.7,34040
34,41,135,88,65.19,47,34.81,34041
34,42,213,132,61.97,81,38.03,34042
34,43,249,166,66.67,83,33.33,34043
34,44,250,186,74.4,64,25.6,34044
34,45,148,96,64.86,52,35.14,34045
34,46,166,110,66.27,56,33.73,34046
34,47,114,91,79.82,23,20.18,34047
34,48,253,181,71.54,72,28.46,34048
34,49,281,178,63.35,103,36.65,34049
34,50,171,102,59.65,69,40.35,34050
34,51,270,203,75.19,67,24.81,34051
34,52,124,89,71.77,35,28.23,34052
34,53,143,80,55.94,63,44.06,34053
34,54,158,114,72.15,44,27.85,34054
34,55,207,139,67.15,68,32.85,34055
34,56,80,60,75.0,20,25.0,34056
34,57,179,110,61.45,69,38.55,34057
34,58,194,131,67.53,63,32.47,34058
34,59,176,121,68.75,55,31.25,34059
34,60,180,117,65.0,63,35.0,34060
35,1,90,50,55.56,40,44.44,35001
35,2,75,35,46.67,40,53.33,35002
35,3,58,29,50.0,29,50.0,35003
35,4,117,72,61.54,45,38.46,35004
35,5,88,38,43.18,50,56.82,35005
35,6,110,59,53.64,51,46.36,35006
35,7,106,43,40.57,63,59.43,35007
35,8,72,31,43.06,41,56.94,35008
35,9,90,35,38.89,55,61.11,35009
35,10,96,47,48.96,49,51.04,35010
35,11,89,40,44.94,49,55.06,35011
35,12,112,52,46.43,60,53.57,35012
35,13,24,14,58.33,10,41.67,35013
35,14,144,70,48.61,74,51.39,35014
35,15,91,51,56.04,40,43.96,35015
35,16,106,44,41.51,62,58.49,35016
35,17,109,46,42.2,63,57.8,35017
35,18,111,56,50.45,55,49.55,35018
35,19,96,48,50.0,48,50.0,35019
35,20,92,51,55.43,41,44.57,35020
35,21,93,48,51.61,45,48.39,35021
35,22,33,16,48.48,17,51.52,35022
35,23,63,29,46.03,34,53.97,35023
35,24,59,32,54.24,27,45.76,35024
35,25,83,39,46.99,44,53.01,35025
35,26,122,64,52.46,58,47.54,35026
35,27,133,83,62.41,50,37.59,35027
35,28,92,44,47.83,48,52.17,35028
35,29,105,53,50.48,52,49.52,35029
35,30,127,55,43.31,72,56.69,35030
35,31,47,20,42.55,27,57.45,35031
35,32,83,46,55.42,37,44.58,35032
35,33,115,75,65.22,40,34.78,35033
35,34,93,43,46.24,50,53.76,35034
35,35,109,56,51.38,53,48.62,35035
35,36,55,32,58.18,23,41.82,35036
36,1,133,88,66.17,45,33.83,36001
36,2,111,76,68.47,35,31.53,36002
36,3,215,172,80.0,43,20.0,36003
36,4,57,32,56.14,25,43.86,36004
36,5,94,72,76.6,22,23.4,36005
36,6,119,71,59.66,48,40.34,36006
36,7,86,65,75.58,21,24.42,36007
36,8,122,85,69.67,37,30.33,36008
36,9,112,74,66.07,38,33.93,36009
36,10,78,49,62.82,29,37.18,36010
36,11,158,108,68.35,50,31.65,36011
36,12,84,51,60.71,33,39.29,36012
36,13,256,203,79.3,53,20.7,36013
36,14,163,122,74.85,41,25.15,36014
36,15,115,87,75.65,28,24.35,36015
36,16,230,151,65.65,79,34.35,36016
36,17,116,86,74.14,30,25.86,36017
36,18,159,107,67.3,52,32.7,36018
36,19,150,105,70.0,45,30.0,36019
36,20,144,105,72.92,39,27.08,36020
36,21,196,145,73.98,51,26.02,36021
36,22,167,95,56.89,72,43.11,36022
36,23,84,58,69.05,26,30.95,36023
36,24,142,102,71.83,40,28.17,36024
36,25,86,54,62.79,32,37.21,36025
36,26,127,86,67.72,41,32.28,36026
36,27,73,44,60.27,29,39.73,36027
36,28,131,91,69.47,40,30.53,36028
36,29,106,65,61.32,41,38.68,36029
36,30,140,95,67.86,45,32.14,36030
36,31,140,106,75.71,34,24.29,36031
36,32,116,76,65.52,40,34.48,36032
36,33,125,73,58.4,52,41.6,36033
36,34,98,60,61.22,38,38.78,36034
36,35,177,141,79.66,36,20.34,36035
36,36,103,67,65.05,36,34.95,36036
36,37,85,63,74.12,22,25.88,36037
36,38,79,54,68.35,25,31.65,36038
36,39,112,75,66.96,37,33.04,36039
36,40,116,82,70.69,34,29.31,36040
36,41,92,58,63.04,34,36.96,36041
36,42,95,65,68.42,30,31.58,36042
36,43,89,56,62.92,33,37.08,36043
36,44,163,99,60.74,64,39.26,36044
36,45,160,106,66.25,54,33.75,36045
36,46,99,68,68.69,31,31.31,36046
36,47,104,72,69.23,32,30.77,36047
36,48,110,72,65.45,38,34.55,36048
36,49,134,81,60.45,53,39.55,36049
36,50,128,91,71.09,37,28.91,36050
36,51,157,122,77.71,35,22.29,36051
36,52,104,65,62.5,39,37.5,36052
36,53,92,64,69.57,28,30.43,36053
36,54,176,123,69.89,53,30.11,36054
36,55,210,134,63.81,76,36.19,36055
37,1,74,43,58.11,31,41.89,37001
37,2,115,73,63.48,42,36.52,37002
37,3,67,31,46.27,36,53.73,37003
37,4,126,91,72.22,35,27.78,37004
37,5,177,145,81.92,32,18.08,37005
37,6,160,114,71.25,46,28.75,37006
37,7,161,128,79.5,33,20.5,37007
37,8,100,54,54.0,46,46.0,37008
37,9,143,91,63.64,52,36.36,37009
37,10,154,107,69.48,47,30.52,37010
37,11,35,21,60.0,14,40.0,37011
37,12,76,43,56.58,33,43.42,37012
37,13,125,88,70.4,37,29.6,37013
37,14,200,140,70.0,60,30.0,37014
37,15,159,95,59.75,64,40.25,37015
37,16,153,93,60.78,60,39.22,37016
37,17,124,85,68.55,39,31.45,37017
37,18,156,118,75.64,38,24.36,37018
37,19,95,54,56.84,41,43.16,37019
37,20,133,96,72.18,37,27.82,37020
37,21,156,98,62.82,58,37.18,37021
37,22,86,61,70.93,25,29.07,37022
37,23,106,70,66.04,36,33.96,37023
37,24,142,94,66.2,48,33.8,37024
37,25,171,115,67.25,56,32.75,37025
37,26,153,99,64.71,54,35.29,37026
37,27,176,118,67.05,58,32.95,37027
37,28,141,98,69.5,43,30.5,37028
37,29,153,119,77.78,34,22.22,37029
37,30,111,76,68.47,35,31.53,37030
37,31,175,121,69.14,54,30.86,37031
37,32,135,95,70.37,40,29.63,37032
37,33,124,77,62.1,47,37.9,37033
37,34,152,103,67.76,49,32.24,37034
37,35,157,130,82.8,27,17.2,37035
37,36,154,102,66.23,52,33.77,37036
37,37,154,106,68.83,48,31.17,37037
37,38,156,107,68.59,49,31.41,37038
37,39,127,68,53.54,59,46.46,37039
37,40,130,83,63.85,47,36.15,37040
37,41,168,116,69.05,52,30.95,37041
37,42,74,36,48.65,38,51.35,37042
37,43,129,88,68.22,41,31.78,37043
38,1,99,56,56.57,43,43.43,38001
38,2,79,54,68.35,25,31.65,38002
38,3,80,43,53.75,37,46.25,38003
38,4,53,32,60.38,21,39.62,38004
38,5,171,87,50.88,84,49.12,38005
38,6,94,56,59.57,38,40.43,38006
38,7,94,56,59.57,38,40.43,38007
38,8,75,49,65.33,26,34.67,38008
38,9,82,37,45.12,45,54.88,38009
38,10,125,73,58.4,52,41.6,38010
38,11,66,31,46.97,35,53.03,38011
38,12,124,81,65.32,43,34.68,38012
38,13,77,52,67.53,25,32.47,38013
38,14,85,51,60.0,34,40.0,38014
38,15,87,43,49.43,44,50.57,38015
38,16,114,62,54.39,52,45.61,38016
38,17,100,51,51.0,49,49.0,38017
38,18,119,70,58.82,49,41.18,38018
38,19,140,83,59.29,57,40.71,38019
38,20,124,72,58.06,52,41.94,38020
38,21,98,59,60.2,39,39.8,38021
38,22,101,55,54.46,46,45.54,38022
38,23,72,46,63.89,26,36.11,38023
38,24,64,35,54.69,29,45.31,38024
38,25,99,63,63.64,36,36.36,38025
38,26,70,38,54.29,32,45.71,38026
38,27,68,34,50.0,34,50.0,38027
38,28,81,46,56.79,35,43.21,38028
38,29,94,52,55.32,42,44.68,38029
38,30,86,46,53.49,40,46.51,38030
38,31,124,81,65.32,43,34.68,38031
38,32,111,67,60.36,44,39.64,38032
38,33,89,48,53.93,41,46.07,38033
38,34,70,44,62.86,26,37.14,38034
38,35,116,63,54.31,53,45.69,38035
38,36,96,54,56.25,42,43.75,38036
38,37,97,53,54.64,44,45.36,38037
38,38,132,75,56.82,57,43.18,38038
38,39,96,49,51.04,47,48.96,38039
38,40,93,50,53.76,43,46.24,38040
38,41,137,81,59.12,56,40.88,38041
38,42,130,80,61.54,50,38.46,38042
38,43,119,71,59.66,48,40.34,38043
38,44,99,57,57.58,42,42.42,38044
38,45,106,62,58.49,44,41.51,38045
38,46,90,55,61.11,35,38.89,38046
38,47,93,46,49.46,47,50.54,38047
38,48,111,56,50.45,55,49.55,38048
38,49,81,47,58.02,34,41.98,38049
38,50,117,68,58.12,49,41.88,38050
38,51,70,38,54.29,32,45.71,38051
38,52,109,63,57.8,46,42.2,38052
38,53,23,14,60.87,9,39.13,38053
39,1,121,63,52.07,58,47.93,39001
39,2,179,115,64.25,64,35.75,39002
39,3,133,94,70.68,39,29.32,39003
39,4,98,56,57.14,42,42.86,39004
39,5,69,40,57.97,29,42.03,39005
39,6,101,49,48.51,52,51.49,39006
39,7,76,52,68.42,24,31.58,39007
39,8,132,91,68.94,41,31.06,39008
39,9,125,86,68.8,39,31.2,39009
39,10,95,53,55.79,42,44.21,39010
39,11,168,101,60.12,67,39.88,39011
39,12,70,29,41.43,41,58.57,39012
39,13,49,24,48.98,25,51.02,39013
39,14,79,42,53.16,37,46.84,39014
39,15,104,75,72.12,29,27.88,39015
39,16,58,31,53.45,27,46.55,39016
39,17,78,48,61.54,30,38.46,39017
39,18,106,63,59.43,43,40.57,39018
39,19,79,48,60.76,31,39.24,39019
39,20,97,57,58.76,40,41.24,39020
39,21,80,48,60.0,32,40.0,39021
39,22,74,54,72.97,20,27.03,39022
39,23,72,36,50.0,36,50.0,39023
39,24,77,40,51.95,37,48.05,39024
39,25,106,56,52.83,50,47.17,39025
39,26,107,62,57.94,45,42.06,39026
39,27,126,75,59.52,51,40.48,39027
39,28,100,44,44.0,56,56.0,39028
39,29,111,66,59.46,45,40.54,39029
39,30,56,28,50.0,28,50.0,39030
39,31,54,31,57.41,23,42.59,39031
39,32,98,57,58.16,41,41.84,39032
39,33,118,66,55.93,52,44.07,39033
39,34,111,66,59.46,45,40.54,39034
39,35,123,75,60.98,48,39.02,39035
39,36,131,81,61.83,50,38.17,39036
39,37,154,99,64.29,55,35.71,39037
39,38,121,70,57.85,51,42.15,39038
39,39,53,22,41.51,31,58.49,39039
39,40,76,48,63.16,28,36.84,39040
39,41,43,29,67.44,14,32.56,39041
39,42,123,87,70.73,36,29.27,39042
39,43,87,47,54.02,40,45.98,39043
39,44,94,44,46.81,50,53.19,39044
39,45,59,30,50.85,29,49.15,39045
39,46,98,55,56.12,43,43.88,39046
39,47,60,45,75.0,15,25.0,39047
40,1,70,36,51.43,34,48.57,40001
40,2,77,48,62.34,29,37.66,40002
40,3,83,36,43.37,47,56.63,40003
40,4,114,72,63.16,42,36.84,40004
40,5,88,52,59.09,36,40.91,40005
40,6,73,34,46.58,39,53.42,40006
40,7,92,45,48.91,47,51.09,40007
40,8,24,13,54.17,11,45.83,40008
40,9,63,39,61.9,24,38.1,40009
40,10,129,73,56.59,56,43.41,40010
40,11,77,47,61.04,30,38.96,40011
40,12,83,54,65.06,29,34.94,40012
40,13,103,53,51.46,50,48.54,40013
40,14,62,35,56.45,27,43.55,40014
40,15,108,70,64.81,38,35.19,40015
40,16,136,94,69.12,42,30.88,40016
40,17,64,41,64.06,23,35.94,40017
40,18,93,59,63.44,34,36.56,40018
40,19,88,48,54.55,40,45.45,40019
40,20,85,52,61.18,33,38.82,40020
40,21,98,51,52.04,47,47.96,40021
40,22,33,18,54.55,15,45.45,40022
40,23,105,45,42.86,60,57.14,40023
40,24,61,37,60.66,24,39.34,40024
40,25,78,46,58.97,32,41.03,40025
40,26,127,70,55.12,57,44.88,40026
40,27,95,49,51.58,46,48.42,40027
40,28,99,60,60.61,39,39.39,40028
40,29,135,86,63.7,49,36.3,40029
40,30,156,118,75.64,38,24.36,40030
40,31,107,71,66.36,36,33.64,40031
40,32,52,28,53.85,24,46.15,40032
40,33,86,39,45.35,47,54.65,40033
40,34,79,45,56.96,34,43.04,40034
40,35,95,55,57.89,40,42.11,40035
40,36,110,68,61.82,42,38.18,40036
40,37,75,46,61.33,29,38.67,40037
40,38,54,31,57.41,23,42.59,40038
40,39,87,53,60.92,34,39.08,40039
40,40,66,40,60.61,26,39.39,40040
40,41,105,59,56.19,46,43.81,40041
40,42,98,62,63.27,36,36.73,40042
40,43,90,44,48.89,46,51.11,40043
40,44,58,32,55.17,26,44.83,40044
40,45,124,58,46.77,66,53.23,40045
40,46,118,62,52.54,56,47.46,40046
40,47,93,42,45.16,51,54.84,40047
40,48,76,44,57.89,32,42.11,40048
40,49,49,23,46.94,26,53.06,40049
41,1,138,77,55.8,61,44.2,41001
41,2,194,102,52.58,92,47.42,41002
41,3,143,69,48.25,74,51.75,41003
41,4,153,84,54.9,69,45.1,41004
41,5,127,77,60.63,50,39.37,41005
41,6,147,90,61.22,57,38.78,41006
41,7,152,86,56.58,66,43.42,41007
41,8,134,70,52.24,64,47.76,41008
41,9,126,72,57.14,54,42.86,41009
41,10,131,69,52.67,62,47.33,41010
41,11,136,72,52.94,64,47.06,41011
41,12,149,85,57.05,64,42.95,41012
41,13,76,43,56.58,33,43.42,41013
41,14,193,111,57.51,82,42.49,41014
41,15,112,67,59.82,45,40.18,41015
41,16,146,75,51.37,71,48.63,41016
41,17,137,84,61.31,53,38.69,41017
41,18,124,76,61.29,48,38.71,41018
41,19,190,116,61.05,74,38.95,41019
41,20,154,97,62.99,57,37.01,41020
41,21,141,78,55.32,63,44.68,41021
41,22,134,73,54.48,61,45.52,41022
41,23,123,73,59.35,50,40.65,41023
41,24,140,84,60.0,56,40.0,41024
41,25,42,25,59.52,17,40.48,41025
41,26,61,36,59.02,25,40.98,41026
41,27,33,17,51.52,16,48.48,41027
41,28,105,62,59.05,43,40.95,41028
41,29,45,21,46.67,24,53.33,41029
41,30,151,77,50.99,74,49.01,41030
41,31,144,79,54.86,65,45.14,41031
41,32,84,55,65.48,29,34.52,41032
41,33,88,54,61.36,34,38.64,41033
41,34,83,53,63.86,30,36.14,41034
41,35,165,106,64.24,59,35.76,41035
41,36,143,92,64.34,51,35.66,41036
41,37,115,71,61.74,44,38.26,41037
41,38,132,72,54.55,60,45.45,41038
41,39,124,69,55.65,55,44.35,41039
41,40,159,90,56.6,69,43.4,41040
41,41,143,83,58.04,60,41.96,41041
41,42,159,90,56.6,69,43.4,41042
41,43,128,83,64.84,45,35.16,41043
41,44,173,89,51.45,84,48.55,41044
41,45,124,56,45.16,68,54.84,41045
41,46,117,65,55.56,52,44.44,41046
41,47,130,78,60.0,52,40.0,41047
41,48,65,40,61.54,25,38.46,41048
41,49,174,98,56.32,76,43.68,41049
41,50,132,77,58.33,55,41.67,41050
41,51,94,57,60.64,37,39.36,41051
41,52,204,120,58.82,84,41.18,41052
41,53,152,89,58.55,63,41.45,41053
41,54,121,77,63.64,44,36.36,41054
41,55,89,53,59.55,36,40.45,41055
41,56,178,100,56.18,78,43.82,41056
41,57,125,83,66.4,42,33.6,41057
42,1,100,65,65.0,35,35.0,42001
42,2,66,31,46.97,35,53.03,42002
42,3,53,25,47.17,28,52.83,42003
42,4,92,50,54.35,42,45.65,42004
42,5,94,61,64.89,33,35.11,42005
42,6,227,137,60.35,90,39.65,42006
42,7,94,59,62.77,35,37.23,42007
42,8,121,79,65.29,42,34.71,42008
42,9,121,73,60.33,48,39.67,42009
42,10,45,28,62.22,17,37.78,42010
42,11,87,51,58.62,36,41.38,42011
42,12,57,34,59.65,23,40.35,42012
42,13,206,139,67.48,67,32.52,42013
42,14,68,34,50.0,34,50.0,42014
42,15,114,66,57.89,48,42.11,42015
42,16,55,37,67.27,18,32.73,42016
42,17,69,38,55.07,31,44.93,42017
42,18,79,45,56.96,34,43.04,42018
42,19,30,18,60.0,12,40.0,42019
42,20,53,31,58.49,22,41.51,42020
42,21,47,23,48.94,24,51.06,42021
42,22,70,38,54.29,32,45.71,42022
42,23,139,100,71.94,39,28.06,42023
42,24,110,71,64.55,39,35.45,42024
42,25,98,55,56.12,43,43.88,42025
42,26,140,92,65.71,48,34.29,42026
42,27,146,109,74.66,37,25.34,42027
42,28,116,70,60.34,46,39.66,42028
42,29,100,74,74.0,26,26.0,42029
42,30,59,34,57.63,25,42.37,42030
42,31,46,29,63.04,17,36.96,42031
42,32,109,63,57.8,46,42.2,42032
42,33,160,99,61.88,61,38.13,42033
42,34,101,70,69.31,31,30.69,42034
42,35,96,68,70.83,28,29.17,42035
42,36,73,41,56.16,32,43.84,42036
42,37,80,63,78.75,17,21.25,42037
42,38,85,63,74.12,22,25.88,42038
42,39,120,100,83.33,20,16.67,42039
42,40,111,79,71.17,32,28.83,42040
42,41,92,58,63.04,34,36.96,42041
42,42,50,35,70.0,15,30.0,42042
42,43,98,72,73.47,26,26.53,42043
42,44,94,54,57.45,40,42.55,42044
42,45,82,60,73.17,22,26.83,42045
42,46,60,32,53.33,28,46.67,42046
42,47,59,44,74.58,15,25.42,42047
42,48,48,33,68.75,15,31.25,42048
42,49,70,54,77.14,16,22.86,42049
42,50,80,43,53.75,37,46.25,42050
42,51,78,47,60.26,31,39.74,42051
42,52,53,30,56.6,23,43.4,42052
42,53,72,39,54.17,33,45.83,42053
42,54,72,57,79.17,15,20.83,42054
42,55,91,49,53.85,42,46.15,42055
42,56,88,60,68.18,28,31.82,42056
42,57,68,37,54.41,31,45.59,42057
42,58,42,25,59.52,17,40.48,42058
42,59,16,9,56.25,7,43.75,42059
42,60,57,35,61.4,22,38.6,42060
