ward,precinct,total,Larry Suffredin,Larry Suffredin Percent,precinct_id
49,1,114,114,100.0,49001
49,3,83,83,100.0,49003
49,5,128,128,100.0,49005
49,6,103,103,100.0,49006
49,8,108,108,100.0,49008
49,10,84,84,100.0,49010
49,11,87,87,100.0,49011
49,12,108,108,100.0,49012
49,13,126,126,100.0,49013
49,14,92,92,100.0,49014
49,15,56,56,100.0,49015
49,16,69,69,100.0,49016
49,18,69,69,100.0,49018
49,19,77,77,100.0,49019
49,20,129,129,100.0,49020
49,22,105,105,100.0,49022
49,23,84,84,100.0,49023
49,24,120,120,100.0,49024
49,25,107,107,100.0,49025
49,26,103,103,100.0,49026
49,27,96,96,100.0,49027
49,28,95,95,100.0,49028
49,29,94,94,100.0,49029
49,30,98,98,100.0,49030
49,31,82,82,100.0,49031
49,33,85,85,100.0,49033
49,34,84,84,100.0,49034
49,35,143,143,100.0,49035
49,36,128,128,100.0,49036
49,38,75,75,100.0,49038
49,39,78,78,100.0,49039
49,40,74,74,100.0,49040
49,41,99,99,100.0,49041
49,42,96,96,100.0,49042
50,1,161,161,100.0,50001
50,2,125,125,100.0,50002
50,3,86,86,100.0,50003
50,4,94,94,100.0,50004
50,5,95,95,100.0,50005
50,6,123,123,100.0,50006
50,7,145,145,100.0,50007
50,9,91,91,100.0,50009
50,10,62,62,100.0,50010
50,11,92,92,100.0,50011
50,12,91,91,100.0,50012
50,13,101,101,100.0,50013
50,14,75,75,100.0,50014
50,15,153,153,100.0,50015
50,16,89,89,100.0,50016
50,18,95,95,100.0,50018
50,19,91,91,100.0,50019
50,20,89,89,100.0,50020
50,21,123,123,100.0,50021
50,22,94,94,100.0,50022
50,27,59,59,100.0,50027
50,28,64,64,100.0,50028
50,30,97,97,100.0,50030
50,31,70,70,100.0,50031
50,33,69,69,100.0,50033
50,35,150,150,100.0,50035
50,36,105,105,100.0,50036
50,37,134,134,100.0,50037
50,38,124,124,100.0,50038
50,40,96,96,100.0,50040
50,41,129,129,100.0,50041
50,42,116,116,100.0,50042
