ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,James T. Smith,James T. Smith Percent,precinct_id
24,7,126,100,79.37,26,20.63,24007
24,16,97,86,88.66,11,11.34,24016
24,41,132,112,84.85,20,15.15,24041
24,46,152,128,84.21,24,15.79,24046
28,1,139,120,86.33,19,13.67,28001
28,4,170,144,84.71,26,15.29,28004
28,8,104,82,78.85,22,21.15,28008
28,12,98,77,78.57,21,21.43,28012
28,14,79,67,84.81,12,15.19,28014
28,15,120,101,84.17,19,15.83,28015
28,17,122,100,81.97,22,18.03,28017
28,19,136,105,77.21,31,22.79,28019
28,21,158,140,88.61,18,11.39,28021
28,27,154,132,85.71,22,14.29,28027
28,39,125,101,80.8,24,19.2,28039
28,40,169,139,82.25,30,17.75,28040
28,41,132,111,84.09,21,15.91,28041
28,42,104,93,89.42,11,10.58,28042
28,45,123,95,77.24,28,22.76,28045
28,46,145,126,86.9,19,13.1,28046
28,48,50,39,78.0,11,22.0,28048
28,49,62,50,80.65,12,19.35,28049
28,51,115,86,74.78,29,25.22,28051
28,55,99,90,90.91,9,9.09,28055
28,56,129,107,82.95,22,17.05,28056
28,57,146,115,78.77,31,21.23,28057
28,58,126,95,75.4,31,24.6,28058
28,60,79,65,82.28,14,17.72,28060
29,1,189,169,89.42,20,10.58,29001
29,3,238,200,84.03,38,15.97,29003
29,10,129,120,93.02,9,6.98,29010
29,12,215,186,86.51,29,13.49,29012
29,14,265,228,86.04,37,13.96,29014
29,15,204,186,91.18,18,8.82,29015
29,16,208,200,96.15,8,3.85,29016
29,17,155,146,94.19,9,5.81,29017
29,19,146,127,86.99,19,13.01,29019
29,20,162,140,86.42,22,13.58,29020
29,21,131,107,81.68,24,18.32,29021
29,22,129,102,79.07,27,20.93,29022
29,25,178,168,94.38,10,5.62,29025
29,26,204,185,90.69,19,9.31,29026
29,27,107,91,85.05,16,14.95,29027
29,28,215,178,82.79,37,17.21,29028
29,31,143,111,77.62,32,22.38,29031
29,34,111,95,85.59,16,14.41,29034
29,36,188,176,93.62,12,6.38,29036
29,38,190,160,84.21,30,15.79,29038
29,42,211,173,81.99,38,18.01,29042
29,48,143,121,84.62,22,15.38,29048
29,49,218,198,90.83,20,9.17,29049
37,2,86,70,81.4,16,18.6,37002
37,3,18,13,72.22,5,27.78,37003
37,10,183,157,85.79,26,14.21,37010
37,14,246,209,84.96,37,15.04,37014
37,15,178,156,87.64,22,12.36,37015
37,16,174,141,81.03,33,18.97,37016
37,20,163,138,84.66,25,15.34,37020
37,21,179,152,84.92,27,15.08,37021
37,22,95,85,89.47,10,10.53,37022
37,23,128,112,87.5,16,12.5,37023
37,24,159,137,86.16,22,13.84,37024
37,25,194,180,92.78,14,7.22,37025
37,26,176,150,85.23,26,14.77,37026
37,27,199,172,86.43,27,13.57,37027
37,30,132,103,78.03,29,21.97,37030
37,31,194,166,85.57,28,14.43,37031
37,33,150,122,81.33,28,18.67,37033
37,34,180,150,83.33,30,16.67,37034
37,36,173,155,89.6,18,10.4,37036
37,40,173,152,87.86,21,12.14,37040
37,41,201,183,91.04,18,8.96,37041
37,43,155,139,89.68,16,10.32,37043
