ward,precinct,total,Eileen Mary Brewer,Eileen Mary Brewer Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,James Michael Bailey,James Michael Bailey Percent,Barbara Ann Riley,Barbara Ann Riley Percent,precinct_id
34,27,151,12,7.95,36,23.84,23,15.23,17,11.26,34027
34,28,129,9,6.98,31,24.03,13,10.08,12,9.3,34028
34,29,192,22,11.46,75,39.06,20,10.42,20,10.42,34029
34,30,252,26,10.32,136,53.97,24,9.52,20,7.94,34030
34,31,83,12,14.46,23,27.71,15,18.07,14,16.87,34031
34,32,266,23,8.65,98,36.84,16,6.02,14,5.26,34032
34,33,78,6,7.69,29,37.18,5,6.41,5,6.41,34033
34,34,254,17,6.69,121,47.64,26,10.24,21,8.27,34034
34,35,224,18,8.04,72,32.14,19,8.48,27,12.05,34035
34,36,222,30,13.51,75,33.78,25,11.26,32,14.41,34036
34,37,167,11,6.59,46,27.54,14,8.38,23,13.77,34037
34,38,140,11,7.86,48,34.29,13,9.29,13,9.29,34038
34,39,123,7,5.69,35,28.46,17,13.82,9,7.32,34039
34,40,202,20,9.9,58,28.71,24,11.88,24,11.88,34040
34,41,138,6,4.35,49,35.51,20,14.49,14,10.14,34041
34,42,228,20,8.77,107,46.93,22,9.65,23,10.09,34042
34,43,258,25,9.69,127,49.22,29,11.24,22,8.53,34043
34,44,266,30,11.28,111,41.73,15,5.64,29,10.9,34044
34,45,159,15,9.43,59,37.11,20,12.58,11,6.92,34045
34,46,178,12,6.74,86,48.31,19,10.67,17,9.55,34046
34,47,115,7,6.09,39,33.91,12,10.43,13,11.3,34047
34,48,265,29,10.94,111,41.89,21,7.92,22,8.3,34048
34,49,286,43,15.03,124,43.36,31,10.84,29,10.14,34049
34,50,178,17,9.55,64,35.96,26,14.61,25,14.04,34050
34,51,273,18,6.59,85,31.14,34,12.45,26,9.52,34051
34,52,132,14,10.61,35,26.52,9,6.82,15,11.36,34052
34,53,148,19,12.84,53,35.81,21,14.19,13,8.78,34053
34,54,163,15,9.2,58,35.58,8,4.91,14,8.59,34054
34,55,223,21,9.42,112,50.22,24,10.76,16,7.17,34055
34,56,81,5,6.17,30,37.04,11,13.58,11,13.58,34056
34,57,177,16,9.04,80,45.2,15,8.47,26,14.69,34057
34,58,208,10,4.81,115,55.29,18,8.65,15,7.21,34058
34,59,178,11,6.18,64,35.96,12,6.74,24,13.48,34059
34,60,192,18,9.38,83,43.23,23,11.98,19,9.9,34060
35,1,93,11,11.83,25,26.88,13,13.98,18,19.35,35001
35,2,80,25,31.25,19,23.75,9,11.25,15,18.75,35002
35,3,60,10,16.67,15,25.0,3,5.0,12,20.0,35003
35,4,116,19,16.38,23,19.83,15,12.93,23,19.83,35004
35,5,95,17,17.89,18,18.95,14,14.74,23,24.21,35005
35,6,116,17,14.66,29,25.0,13,11.21,24,20.69,35006
35,7,113,25,22.12,34,30.09,7,6.19,33,29.2,35007
35,8,77,19,24.68,14,18.18,9,11.69,11,14.29,35008
35,9,95,22,23.16,22,23.16,11,11.58,19,20.0,35009
35,10,94,18,19.15,27,28.72,11,11.7,11,11.7,35010
35,11,86,18,20.93,20,23.26,9,10.47,21,24.42,35011
35,12,111,23,20.72,26,23.42,12,10.81,20,18.02,35012
35,13,25,2,8.0,6,24.0,5,20.0,2,8.0,35013
35,14,147,23,15.65,38,25.85,14,9.52,38,25.85,35014
35,15,95,16,16.84,19,20.0,11,11.58,25,26.32,35015
35,16,113,20,17.7,33,29.2,12,10.62,20,17.7,35016
35,17,108,15,13.89,34,31.48,17,15.74,22,20.37,35017
35,18,114,21,18.42,21,18.42,18,15.79,28,24.56,35018
35,19,99,24,24.24,28,28.28,8,8.08,21,21.21,35019
35,20,91,13,14.29,21,23.08,12,13.19,20,21.98,35020
35,21,97,18,18.56,19,19.59,15,15.46,23,23.71,35021
35,22,35,5,14.29,15,42.86,4,11.43,5,14.29,35022
35,23,68,9,13.24,24,35.29,8,11.76,9,13.24,35023
35,24,60,9,15.0,15,25.0,10,16.67,12,20.0,35024
35,25,83,18,21.69,21,25.3,10,12.05,9,10.84,35025
35,26,135,38,28.15,34,25.19,22,16.3,19,14.07,35026
35,27,135,16,11.85,33,24.44,15,11.11,26,19.26,35027
35,28,92,19,20.65,22,23.91,9,9.78,21,22.83,35028
35,29,108,25,23.15,31,28.7,11,10.19,14,12.96,35029
35,30,131,23,17.56,37,28.24,14,10.69,23,17.56,35030
35,31,48,9,18.75,12,25.0,6,12.5,11,22.92,35031
35,32,81,14,17.28,17,20.99,18,22.22,12,14.81,35032
35,33,108,14,12.96,17,15.74,23,21.3,17,15.74,35033
35,34,95,21,22.11,22,23.16,9,9.47,18,18.95,35034
35,35,113,10,8.85,29,25.66,15,13.27,26,23.01,35035
35,36,56,11,19.64,12,21.43,6,10.71,13,23.21,35036
36,1,128,23,17.97,14,10.94,6,4.69,19,14.84,36001
36,2,116,12,10.34,16,13.79,13,11.21,17,14.66,36002
36,3,224,14,6.25,20,8.93,21,9.38,20,8.93,36003
36,4,59,6,10.17,10,16.95,9,15.25,9,15.25,36004
36,5,89,7,7.87,4,4.49,11,12.36,14,15.73,36005
36,6,120,10,8.33,25,20.83,16,13.33,27,22.5,36006
36,7,81,7,8.64,10,12.35,17,20.99,8,9.88,36007
36,8,116,14,12.07,20,17.24,15,12.93,18,15.52,36008
36,9,111,12,10.81,19,17.12,9,8.11,25,22.52,36009
36,10,79,9,11.39,12,15.19,9,11.39,16,20.25,36010
36,11,147,13,8.84,18,12.24,22,14.97,26,17.69,36011
36,12,83,7,8.43,16,19.28,16,19.28,18,21.69,36012
36,13,256,11,4.3,32,12.5,23,8.98,16,6.25,36013
36,14,166,11,6.63,20,12.05,8,4.82,7,4.22,36014
36,15,118,14,11.86,11,9.32,14,11.86,11,9.32,36015
