ward,precinct,total,Eileen Mary Brewer,Eileen Mary Brewer Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,James Michael Bailey,James Michael Bailey Percent,Barbara Ann Riley,Barbara Ann Riley Percent,precinct_id
41,6,142,18,12.68,10,7.04,26,18.31,32,22.54,41006
41,7,148,27,18.24,22,14.86,41,27.7,27,18.24,41007
41,8,132,22,16.67,17,12.88,33,25.0,25,18.94,41008
41,9,125,20,16.0,26,20.8,30,24.0,22,17.6,41009
41,10,124,24,19.35,19,15.32,30,24.19,17,13.71,41010
41,11,137,20,14.6,25,18.25,34,24.82,20,14.6,41011
41,12,148,29,19.59,19,12.84,29,19.59,20,13.51,41012
41,13,77,9,11.69,12,15.58,12,15.58,18,23.38,41013
41,14,192,32,16.67,39,20.31,25,13.02,30,15.63,41014
41,15,113,13,11.5,16,14.16,30,26.55,20,17.7,41015
41,16,139,21,15.11,26,18.71,28,20.14,23,16.55,41016
41,17,138,21,15.22,32,23.19,41,29.71,14,10.14,41017
41,18,121,25,20.66,19,15.7,31,25.62,24,19.83,41018
41,19,175,25,14.29,27,15.43,23,13.14,37,21.14,41019
41,20,153,23,15.03,20,13.07,31,20.26,30,19.61,41020
41,21,141,20,14.18,22,15.6,31,21.99,23,16.31,41021
41,22,128,27,21.09,21,16.41,24,18.75,21,16.41,41022
41,23,118,16,13.56,23,19.49,19,16.1,24,20.34,41023
41,24,135,14,10.37,25,18.52,25,18.52,31,22.96,41024
41,25,44,2,4.55,7,15.91,12,27.27,12,27.27,41025
41,26,63,7,11.11,8,12.7,12,19.05,13,20.63,41026
41,27,31,2,6.45,4,12.9,7,22.58,9,29.03,41027
41,28,103,8,7.77,25,24.27,26,25.24,22,21.36,41028
41,29,44,9,20.45,11,25.0,9,20.45,7,15.91,41029
41,30,146,22,15.07,21,14.38,31,21.23,39,26.71,41030
41,31,141,28,19.86,25,17.73,39,27.66,22,15.6,41031
41,32,78,9,11.54,13,16.67,11,14.1,21,26.92,41032
41,33,90,13,14.44,13,14.44,29,32.22,19,21.11,41033
41,34,78,15,19.23,9,11.54,15,19.23,16,20.51,41034
41,35,163,28,17.18,23,14.11,39,23.93,31,19.02,41035
41,36,139,14,10.07,19,13.67,35,25.18,33,23.74,41036
41,37,111,19,17.12,15,13.51,23,20.72,21,18.92,41037
41,38,128,19,14.84,17,13.28,32,25.0,23,17.97,41038
41,39,119,17,14.29,21,17.65,19,15.97,27,22.69,41039
41,40,158,22,13.92,21,13.29,27,17.09,35,22.15,41040
41,41,137,25,18.25,24,17.52,32,23.36,21,15.33,41041
41,42,152,28,18.42,24,15.79,44,28.95,17,11.18,41042
41,43,122,20,16.39,17,13.93,20,16.39,24,19.67,41043
41,44,163,23,14.11,30,18.4,22,13.5,26,15.95,41044
41,45,122,28,22.95,18,14.75,22,18.03,22,18.03,41045
41,46,113,16,14.16,22,19.47,29,25.66,25,22.12,41046
41,47,130,24,18.46,15,11.54,23,17.69,18,13.85,41047
41,48,66,10,15.15,14,21.21,15,22.73,13,19.7,41048
41,49,162,20,12.35,30,18.52,40,24.69,33,20.37,41049
41,50,133,18,13.53,19,14.29,31,23.31,25,18.8,41050
41,51,93,12,12.9,20,21.51,19,20.43,20,21.51,41051
41,52,197,15,7.61,35,17.77,44,22.34,44,22.34,41052
41,53,156,19,12.18,18,11.54,37,23.72,29,18.59,41053
41,54,119,16,13.45,22,18.49,15,12.61,14,11.76,41054
41,55,87,10,11.49,15,17.24,18,20.69,13,14.94,41055
41,56,178,25,14.04,32,17.98,48,26.97,34,19.1,41056
41,57,122,21,17.21,17,13.93,22,18.03,15,12.3,41057
42,1,96,20,20.83,25,26.04,5,5.21,8,8.33,42001
42,2,67,16,23.88,15,22.39,8,11.94,15,22.39,42002
42,3,52,9,17.31,8,15.38,7,13.46,13,25.0,42003
42,4,94,18,19.15,22,23.4,9,9.57,13,13.83,42004
42,5,86,14,16.28,15,17.44,2,2.33,13,15.12,42005
42,6,221,34,15.38,55,24.89,28,12.67,44,19.91,42006
42,7,89,15,16.85,29,32.58,8,8.99,10,11.24,42007
42,8,125,23,18.4,38,30.4,5,4.0,14,11.2,42008
42,9,124,20,16.13,41,33.06,18,14.52,11,8.87,42009
42,10,47,11,23.4,14,29.79,4,8.51,2,4.26,42010
42,11,90,15,16.67,26,28.89,9,10.0,13,14.44,42011
42,12,56,12,21.43,12,21.43,5,8.93,10,17.86,42012
42,13,190,30,15.79,40,21.05,24,12.63,29,15.26,42013
42,14,65,14,21.54,13,20.0,11,16.92,10,15.38,42014
42,15,107,21,19.63,18,16.82,13,12.15,15,14.02,42015
42,16,51,11,21.57,8,15.69,4,7.84,3,5.88,42016
42,17,67,14,20.9,18,26.87,2,2.99,13,19.4,42017
42,18,87,23,26.44,23,26.44,7,8.05,11,12.64,42018
42,19,27,7,25.93,9,33.33,4,14.81,2,7.41,42019
42,20,51,9,17.65,16,31.37,9,17.65,2,3.92,42020
42,21,46,16,34.78,7,15.22,4,8.7,7,15.22,42021
42,22,77,13,16.88,22,28.57,8,10.39,14,18.18,42022
42,23,130,22,16.92,36,27.69,9,6.92,11,8.46,42023
42,24,97,22,22.68,20,20.62,10,10.31,13,13.4,42024
42,25,93,19,20.43,17,18.28,12,12.9,13,13.98,42025
42,26,136,25,18.38,37,27.21,17,12.5,15,11.03,42026
42,27,142,27,19.01,27,19.01,13,9.15,21,14.79,42027
42,28,104,17,16.35,28,26.92,8,7.69,16,15.38,42028
42,29,102,23,22.55,22,21.57,8,7.84,11,10.78,42029
42,30,61,8,13.11,14,22.95,6,9.84,12,19.67,42030
42,31,39,7,17.95,7,17.95,5,12.82,6,15.38,42031
42,32,115,20,17.39,35,30.43,5,4.35,23,20.0,42032
42,33,153,36,23.53,40,26.14,20,13.07,18,11.76,42033
42,34,97,16,16.49,24,24.74,10,10.31,18,18.56,42034
42,35,87,12,13.79,18,20.69,6,6.9,15,17.24,42035
42,36,68,13,19.12,21,30.88,4,5.88,10,14.71,42036
42,37,71,9,12.68,16,22.54,7,9.86,6,8.45,42037
42,38,81,11,13.58,13,16.05,10,12.35,12,14.81,42038
42,39,122,14,11.48,10,8.2,8,6.56,5,4.1,42039
42,40,101,17,16.83,24,23.76,12,11.88,12,11.88,42040
42,41,93,15,16.13,25,26.88,12,12.9,10,10.75,42041
42,42,46,6,13.04,11,23.91,2,4.35,10,21.74,42042
42,43,96,18,18.75,17,17.71,7,7.29,12,12.5,42043
42,44,92,15,16.3,28,30.43,14,15.22,9,9.78,42044
42,45,81,13,16.05,19,23.46,12,14.81,9,11.11,42045
42,46,59,13,22.03,9,15.25,12,20.34,5,8.47,42046
42,47,53,12,22.64,6,11.32,6,11.32,8,15.09,42047
42,48,47,8,17.02,14,29.79,2,4.26,6,12.77,42048
42,49,67,3,4.48,7,10.45,4,5.97,8,11.94,42049
42,50,76,15,19.74,15,19.74,8,10.53,12,15.79,42050
42,51,73,15,20.55,16,21.92,4,5.48,17,23.29,42051
42,52,54,12,22.22,10,18.52,9,16.67,8,14.81,42052
42,53,68,14,20.59,12,17.65,4,5.88,16,23.53,42053
42,54,73,6,8.22,19,26.03,10,13.7,14,19.18,42054
42,55,85,12,14.12,26,30.59,9,10.59,11,12.94,42055
42,56,86,10,11.63,23,26.74,7,8.14,19,22.09,42056
42,57,67,10,14.93,16,23.88,9,13.43,9,13.43,42057
42,58,43,9,20.93,15,34.88,5,11.63,4,9.3,42058
42,59,15,2,13.33,3,20.0,1,6.67,3,20.0,42059
42,60,58,13,22.41,11,18.97,11,18.97,10,17.24,42060
42,61,52,13,25.0,11,21.15,5,9.62,5,9.62,42061
42,62,62,14,22.58,13,20.97,8,12.9,6,9.68,42062
42,63,92,13,14.13,28,30.43,5,5.43,9,9.78,42063
42,64,41,7,17.07,8,19.51,2,4.88,3,7.32,42064
42,65,74,15,20.27,16,21.62,7,9.46,11,14.86,42065
42,66,96,16,16.67,21,21.88,7,7.29,18,18.75,42066
42,67,72,21,29.17,20,27.78,2,2.78,10,13.89,42067
42,68,80,19,23.75,19,23.75,8,10.0,9,11.25,42068
42,69,107,20,18.69,26,24.3,18,16.82,19,17.76,42069
43,1,123,15,12.2,36,29.27,14,11.38,13,10.57,43001
43,2,70,10,14.29,21,30.0,3,4.29,12,17.14,43002
43,3,102,18,17.65,25,24.51,9,8.82,14,13.73,43003
43,4,92,12,13.04,21,22.83,7,7.61,23,25.0,43004
43,5,61,9,14.75,17,27.87,5,8.2,5,8.2,43005
43,6,65,13,20.0,13,20.0,6,9.23,8,12.31,43006
43,7,108,21,19.44,28,25.93,8,7.41,14,12.96,43007
43,8,116,13,11.21,23,19.83,14,12.07,21,18.1,43008
43,9,56,9,16.07,13,23.21,5,8.93,10,17.86,43009
43,10,75,17,22.67,25,33.33,6,8.0,7,9.33,43010
43,11,36,8,22.22,11,30.56,4,11.11,4,11.11,43011
43,12,115,22,19.13,37,32.17,4,3.48,14,12.17,43012
43,13,31,5,16.13,8,25.81,3,9.68,3,9.68,43013
43,14,92,14,15.22,27,29.35,5,5.43,11,11.96,43014
43,15,63,14,22.22,19,30.16,4,6.35,11,17.46,43015
43,16,95,23,24.21,16,16.84,11,11.58,13,13.68,43016
43,17,81,16,19.75,23,28.4,4,4.94,9,11.11,43017
43,18,120,24,20.0,39,32.5,7,5.83,10,8.33,43018
43,19,44,15,34.09,8,18.18,3,6.82,9,20.45,43019
43,20,105,13,12.38,40,38.1,6,5.71,9,8.57,43020
43,21,83,14,16.87,42,50.6,1,1.2,3,3.61,43021
43,22,53,13,24.53,14,26.42,6,11.32,5,9.43,43022
43,23,70,9,12.86,21,30.0,3,4.29,9,12.86,43023
43,24,106,21,19.81,35,33.02,6,5.66,19,17.92,43024
43,25,109,22,20.18,25,22.94,12,11.01,16,14.68,43025
43,26,75,20,26.67,18,24.0,7,9.33,15,20.0,43026
43,27,81,15,18.52,18,22.22,9,11.11,12,14.81,43027
43,28,93,23,24.73,17,18.28,12,12.9,8,8.6,43028
43,29,69,12,17.39,20,28.99,5,7.25,10,14.49,43029
43,30,47,3,6.38,11,23.4,4,8.51,11,23.4,43030
43,31,105,24,22.86,28,26.67,2,1.9,18,17.14,43031
43,32,97,17,17.53,28,28.87,6,6.19,11,11.34,43032
43,33,29,8,27.59,7,24.14,2,6.9,6,20.69,43033
43,34,23,5,21.74,7,30.43,1,4.35,2,8.7,43034
43,35,96,19,19.79,22,22.92,10,10.42,8,8.33,43035
43,36,77,11,14.29,22,28.57,6,7.79,12,15.58,43036
43,37,57,6,10.53,18,31.58,3,5.26,9,15.79,43037
43,38,63,8,12.7,25,39.68,4,6.35,9,14.29,43038
43,39,53,8,15.09,15,28.3,5,9.43,5,9.43,43039
43,40,29,4,13.79,8,27.59,5,17.24,3,10.34,43040
43,41,44,6,13.64,15,34.09,1,2.27,10,22.73,43041
43,42,106,21,19.81,31,29.25,9,8.49,11,10.38,43042
43,43,46,5,10.87,12,26.09,6,13.04,5,10.87,43043
43,44,63,12,19.05,18,28.57,2,3.17,10,15.87,43044
43,45,32,7,21.88,8,25.0,3,9.38,7,21.88,43045
43,46,110,18,16.36,32,29.09,9,8.18,13,11.82,43046
43,47,90,17,18.89,24,26.67,6,6.67,8,8.89,43047
43,48,73,11,15.07,19,26.03,11,15.07,11,15.07,43048
43,49,83,15,18.07,27,32.53,5,6.02,6,7.23,43049
43,50,59,11,18.64,17,28.81,6,10.17,6,10.17,43050
43,51,102,17,16.67,29,28.43,13,12.75,22,21.57,43051
43,52,49,10,20.41,17,34.69,7,14.29,6,12.24,43052
43,53,97,12,12.37,23,23.71,13,13.4,12,12.37,43053
43,54,58,12,20.69,19,32.76,7,12.07,8,13.79,43054
43,55,92,19,20.65,23,25.0,6,6.52,17,18.48,43055
43,56,41,8,19.51,14,34.15,1,2.44,7,17.07,43056
43,57,50,11,22.0,11,22.0,3,6.0,9,18.0,43057
43,58,57,8,14.04,21,36.84,7,12.28,4,7.02,43058
43,59,100,15,15.0,28,28.0,7,7.0,10,10.0,43059
44,1,91,15,16.48,27,29.67,6,6.59,11,12.09,44001
44,2,66,16,24.24,14,21.21,4,6.06,5,7.58,44002
44,3,117,15,12.82,27,23.08,10,8.55,18,15.38,44003
44,4,133,21,15.79,31,23.31,11,8.27,13,9.77,44004
44,5,89,20,22.47,20,22.47,8,8.99,12,13.48,44005
44,6,72,14,19.44,18,25.0,5,6.94,14,19.44,44006
44,7,122,19,15.57,30,24.59,7,5.74,14,11.48,44007
44,8,44,9,20.45,8,18.18,7,15.91,7,15.91,44008
44,9,60,12,20.0,15,25.0,5,8.33,6,10.0,44009
44,10,42,3,7.14,14,33.33,8,19.05,4,9.52,44010
44,11,85,19,22.35,22,25.88,5,5.88,18,21.18,44011
44,12,57,11,19.3,10,17.54,5,8.77,8,14.04,44012
44,13,58,9,15.52,12,20.69,8,13.79,6,10.34,44013
44,14,73,12,16.44,16,21.92,10,13.7,13,17.81,44014
44,15,127,23,18.11,21,16.54,9,7.09,8,6.3,44015
44,16,78,14,17.95,14,17.95,8,10.26,15,19.23,44016
44,17,104,24,23.08,30,28.85,7,6.73,15,14.42,44017
44,18,70,8,11.43,21,30.0,6,8.57,9,12.86,44018
44,19,45,12,26.67,5,11.11,5,11.11,6,13.33,44019
44,20,54,6,11.11,15,27.78,5,9.26,11,20.37,44020
44,21,92,18,19.57,24,26.09,13,14.13,12,13.04,44021
44,22,119,21,17.65,28,23.53,11,9.24,13,10.92,44022
44,23,62,14,22.58,17,27.42,6,9.68,7,11.29,44023
44,24,51,8,15.69,17,33.33,2,3.92,5,9.8,44024
44,25,77,18,23.38,21,27.27,6,7.79,9,11.69,44025
44,26,52,14,26.92,14,26.92,3,5.77,6,11.54,44026
44,27,86,8,9.3,27,31.4,9,10.47,7,8.14,44027
44,28,61,12,19.67,13,21.31,9,14.75,10,16.39,44028
44,29,85,16,18.82,22,25.88,5,5.88,11,12.94,44029
44,30,73,20,27.4,14,19.18,8,10.96,15,20.55,44030
44,31,74,13,17.57,25,33.78,4,5.41,8,10.81,44031
44,32,61,12,19.67,10,16.39,2,3.28,11,18.03,44032
44,33,92,20,21.74,20,21.74,9,9.78,8,8.7,44033
44,34,62,9,14.52,21,33.87,7,11.29,7,11.29,44034
44,35,79,15,18.99,14,17.72,8,10.13,9,11.39,44035
44,36,53,10,18.87,18,33.96,4,7.55,8,15.09,44036
44,37,128,35,27.34,28,21.88,9,7.03,15,11.72,44037
44,38,63,9,14.29,18,28.57,6,9.52,7,11.11,44038
44,39,71,11,15.49,15,21.13,7,9.86,13,18.31,44039
44,40,81,15,18.52,20,24.69,6,7.41,11,13.58,44040
44,41,62,10,16.13,17,27.42,9,14.52,8,12.9,44041
44,42,114,14,12.28,27,23.68,10,8.77,13,11.4,44042
44,43,92,27,29.35,10,10.87,13,14.13,18,19.57,44043
44,44,110,16,14.55,23,20.91,7,6.36,25,22.73,44044
44,45,102,22,21.57,23,22.55,7,6.86,20,19.61,44045
44,46,76,20,26.32,17,22.37,6,7.89,6,7.89,44046
44,47,95,17,17.89,29,30.53,8,8.42,12,12.63,44047
44,48,82,19,23.17,15,18.29,4,4.88,7,8.54,44048
44,49,184,34,18.48,39,21.2,13,7.07,20,10.87,44049
44,50,80,21,26.25,10,12.5,13,16.25,12,15.0,44050
44,51,65,12,18.46,20,30.77,9,13.85,9,13.85,44051
45,1,78,17,21.79,18,23.08,11,14.1,10,12.82,45001
45,2,153,16,10.46,14,9.15,23,15.03,31,20.26,45002
45,3,221,23,10.41,19,8.6,33,14.93,29,13.12,45003
45,4,176,21,11.93,21,11.93,36,20.45,28,15.91,45004
45,5,145,25,17.24,23,15.86,23,15.86,18,12.41,45005
45,6,154,14,9.09,20,12.99,19,12.34,32,20.78,45006
45,7,90,26,28.89,11,12.22,14,15.56,9,10.0,45007
45,8,106,12,11.32,17,16.04,19,17.92,16,15.09,45008
45,9,159,22,13.84,28,17.61,24,15.09,25,15.72,45009
45,10,140,21,15.0,23,16.43,22,15.71,25,17.86,45010
45,11,114,22,19.3,11,9.65,24,21.05,20,17.54,45011
45,12,138,19,13.77,22,15.94,18,13.04,27,19.57,45012
45,13,208,21,10.1,24,11.54,31,14.9,19,9.13,45013
45,14,146,13,8.9,33,22.6,25,17.12,37,25.34,45014
45,15,156,22,14.1,15,9.62,22,14.1,27,17.31,45015
45,16,129,19,14.73,17,13.18,19,14.73,20,15.5,45016
45,17,123,11,8.94,25,20.33,17,13.82,17,13.82,45017
45,18,150,19,12.67,23,15.33,21,14.0,19,12.67,45018
45,19,162,25,15.43,14,8.64,19,11.73,26,16.05,45019
45,20,127,20,15.75,22,17.32,22,17.32,19,14.96,45020
45,21,130,20,15.38,16,12.31,23,17.69,16,12.31,45021
45,22,114,15,13.16,23,20.18,18,15.79,13,11.4,45022
45,23,118,11,9.32,24,20.34,20,16.95,21,17.8,45023
45,24,145,29,20.0,15,10.34,24,16.55,37,25.52,45024
45,25,146,19,13.01,18,12.33,21,14.38,21,14.38,45025
45,26,178,22,12.36,25,14.04,22,12.36,19,10.67,45026
45,27,110,16,14.55,11,10.0,19,17.27,20,18.18,45027
45,28,124,18,14.52,20,16.13,10,8.06,12,9.68,45028
45,29,136,18,13.24,21,15.44,16,11.76,29,21.32,45029
45,30,142,20,14.08,18,12.68,22,15.49,20,14.08,45030
45,31,115,15,13.04,26,22.61,27,23.48,15,13.04,45031
45,32,69,11,15.94,7,10.14,14,20.29,17,24.64,45032
45,33,122,13,10.66,21,17.21,24,19.67,21,17.21,45033
45,34,98,24,24.49,14,14.29,9,9.18,12,12.24,45034
45,35,128,16,12.5,20,15.63,23,17.97,16,12.5,45035
45,36,102,15,14.71,17,16.67,19,18.63,17,16.67,45036
45,37,111,22,19.82,21,18.92,19,17.12,20,18.02,45037
45,38,126,25,19.84,18,14.29,15,11.9,17,13.49,45038
45,39,154,23,14.94,18,11.69,16,10.39,19,12.34,45039
45,40,193,22,11.4,32,16.58,24,12.44,21,10.88,45040
45,41,72,14,19.44,12,16.67,10,13.89,14,19.44,45041
45,42,142,19,13.38,17,11.97,21,14.79,22,15.49,45042
45,43,111,16,14.41,17,15.32,13,11.71,19,17.12,45043
45,44,168,17,10.12,27,16.07,31,18.45,19,11.31,45044
45,45,88,15,17.05,16,18.18,14,15.91,15,17.05,45045
45,46,150,25,16.67,29,19.33,20,13.33,23,15.33,45046
45,47,119,12,10.08,18,15.13,10,8.4,24,20.17,45047
45,48,124,18,14.52,23,18.55,13,10.48,11,8.87,45048
45,49,141,10,7.09,24,17.02,33,23.4,29,20.57,45049
45,50,113,11,9.73,19,16.81,25,22.12,21,18.58,45050
45,51,124,17,13.71,13,10.48,28,22.58,23,18.55,45051
45,52,127,13,10.24,17,13.39,34,26.77,15,11.81,45052
45,53,94,6,6.38,10,10.64,14,14.89,16,17.02,45053
46,1,226,44,19.47,80,35.4,25,11.06,29,12.83,46001
46,2,118,26,22.03,42,35.59,8,6.78,16,13.56,46002
46,3,144,20,13.89,52,36.11,14,9.72,26,18.06,46003
46,4,115,20,17.39,35,30.43,13,11.3,15,13.04,46004
46,5,46,8,17.39,11,23.91,6,13.04,9,19.57,46005
46,6,100,16,16.0,23,23.0,14,14.0,22,22.0,46006
46,7,66,18,27.27,22,33.33,7,10.61,8,12.12,46007
46,8,103,13,12.62,27,26.21,15,14.56,12,11.65,46008
46,9,83,18,21.69,15,18.07,9,10.84,18,21.69,46009
46,10,64,14,21.88,15,23.44,6,9.38,14,21.88,46010
46,11,121,16,13.22,38,31.4,14,11.57,19,15.7,46011
46,12,79,18,22.78,31,39.24,6,7.59,12,15.19,46012
46,13,89,15,16.85,24,26.97,9,10.11,14,15.73,46013
46,14,65,15,23.08,22,33.85,8,12.31,11,16.92,46014
46,15,109,21,19.27,39,35.78,13,11.93,11,10.09,46015
46,16,78,10,12.82,35,44.87,5,6.41,11,14.1,46016
46,17,147,30,20.41,53,36.05,7,4.76,22,14.97,46017
46,18,150,21,14.0,55,36.67,12,8.0,22,14.67,46018
46,19,96,24,25.0,43,44.79,3,3.13,11,11.46,46019
46,20,80,17,21.25,27,33.75,2,2.5,9,11.25,46020
46,21,22,3,13.64,9,40.91,2,9.09,3,13.64,46021
46,22,65,9,13.85,17,26.15,6,9.23,12,18.46,46022
46,23,77,10,12.99,26,33.77,9,11.69,13,16.88,46023
46,24,54,16,29.63,18,33.33,1,1.85,5,9.26,46024
46,25,92,21,22.83,19,20.65,13,14.13,15,16.3,46025
46,26,92,13,14.13,23,25.0,18,19.57,11,11.96,46026
46,27,68,15,22.06,23,33.82,7,10.29,8,11.76,46027
46,28,97,18,18.56,38,39.18,7,7.22,11,11.34,46028
46,29,118,27,22.88,46,38.98,11,9.32,16,13.56,46029
46,30,136,18,13.24,55,40.44,11,8.09,29,21.32,46030
46,31,109,20,18.35,40,36.7,6,5.5,11,10.09,46031
46,32,75,10,13.33,24,32.0,11,14.67,11,14.67,46032
46,33,122,15,12.3,53,43.44,10,8.2,10,8.2,46033
46,34,110,18,16.36,39,35.45,7,6.36,18,16.36,46034
46,35,83,12,14.46,26,31.33,12,14.46,12,14.46,46035
46,36,124,26,20.97,41,33.06,7,5.65,22,17.74,46036
46,37,46,10,21.74,14,30.43,7,15.22,5,10.87,46037
46,38,111,8,7.21,52,46.85,10,9.01,14,12.61,46038
46,39,113,16,14.16,42,37.17,7,6.19,13,11.5,46039
46,40,79,5,6.33,23,29.11,13,16.46,14,17.72,46040
46,41,96,8,8.33,29,30.21,7,7.29,16,16.67,46041
46,42,77,17,22.08,14,18.18,16,20.78,10,12.99,46042
46,43,146,18,12.33,58,39.73,13,8.9,13,8.9,46043
46,44,89,13,14.61,30,33.71,11,12.36,14,15.73,46044
46,45,114,15,13.16,42,36.84,10,8.77,17,14.91,46045
46,46,96,16,16.67,30,31.25,9,9.38,19,19.79,46046
46,47,42,6,14.29,8,19.05,9,21.43,12,28.57,46047
47,1,136,20,14.71,24,17.65,7,5.15,32,23.53,47001
47,2,124,35,28.23,17,13.71,13,10.48,16,12.9,47002
47,3,96,16,16.67,17,17.71,7,7.29,18,18.75,47003
47,4,166,27,16.27,38,22.89,14,8.43,19,11.45,47004
47,5,116,19,16.38,19,16.38,6,5.17,12,10.34,47005
47,6,169,33,19.53,30,17.75,15,8.88,19,11.24,47006
47,7,124,21,16.94,31,25.0,12,9.68,14,11.29,47007
47,8,191,27,14.14,44,23.04,14,7.33,19,9.95,47008
47,9,117,13,11.11,20,17.09,11,9.4,15,12.82,47009
47,10,80,12,15.0,29,36.25,9,11.25,11,13.75,47010
47,11,231,19,8.23,37,16.02,16,6.93,24,10.39,47011
47,12,114,16,14.04,33,28.95,15,13.16,21,18.42,47012
47,13,212,38,17.92,53,25.0,22,10.38,17,8.02,47013
47,14,98,14,14.29,27,27.55,10,10.2,16,16.33,47014
47,15,123,6,4.88,38,30.89,5,4.07,18,14.63,47015
47,16,151,24,15.89,48,31.79,13,8.61,16,10.6,47016
47,17,138,16,11.59,33,23.91,19,13.77,18,13.04,47017
47,18,139,34,24.46,34,24.46,5,3.6,16,11.51,47018
47,19,221,20,9.05,39,17.65,8,3.62,26,11.76,47019
47,20,154,23,14.94,41,26.62,10,6.49,12,7.79,47020
47,21,153,25,16.34,32,20.92,10,6.54,16,10.46,47021
47,22,162,24,14.81,29,17.9,22,13.58,16,9.88,47022
47,23,54,2,3.7,19,35.19,2,3.7,8,14.81,47023
47,24,105,23,21.9,35,33.33,5,4.76,10,9.52,47024
47,25,143,23,16.08,31,21.68,10,6.99,25,17.48,47025
47,26,148,29,19.59,41,27.7,10,6.76,21,14.19,47026
47,27,101,10,9.9,27,26.73,9,8.91,10,9.9,47027
47,28,203,24,11.82,41,20.2,15,7.39,23,11.33,47028
47,29,129,25,19.38,26,20.16,13,10.08,11,8.53,47029
47,30,148,27,18.24,29,19.59,13,8.78,16,10.81,47030
47,31,132,12,9.09,49,37.12,7,5.3,21,15.91,47031
47,32,138,28,20.29,36,26.09,15,10.87,13,9.42,47032
47,33,141,25,17.73,23,16.31,10,7.09,25,17.73,47033
47,34,145,24,16.55,36,24.83,5,3.45,22,15.17,47034
47,35,176,35,19.89,28,15.91,17,9.66,25,14.2,47035
47,36,173,30,17.34,45,26.01,15,8.67,20,11.56,47036
47,37,171,37,21.64,40,23.39,11,6.43,27,15.79,47037
47,38,141,29,20.57,38,26.95,8,5.67,17,12.06,47038
47,39,135,17,12.59,36,26.67,10,7.41,17,12.59,47039
47,40,89,17,19.1,24,26.97,8,8.99,16,17.98,47040
47,41,251,39,15.54,50,19.92,15,5.98,22,8.76,47041
47,42,106,20,18.87,31,29.25,13,12.26,10,9.43,47042
47,43,92,14,15.22,12,13.04,14,15.22,9,9.78,47043
47,44,106,23,21.7,21,19.81,13,12.26,16,15.09,47044
47,45,134,33,24.63,36,26.87,6,4.48,14,10.45,47045
47,46,91,17,18.68,18,19.78,16,17.58,12,13.19,47046
47,47,121,16,13.22,20,16.53,22,18.18,16,13.22,47047
47,48,35,6,17.14,7,20.0,6,17.14,2,5.71,47048
47,49,71,10,14.08,18,25.35,7,9.86,11,15.49,47049
47,50,90,10,11.11,25,27.78,11,12.22,13,14.44,47050
47,51,87,13,14.94,21,24.14,8,9.2,12,13.79,47051
47,52,38,3,7.89,4,10.53,4,10.53,5,13.16,47052
48,1,103,19,18.45,39,37.86,9,8.74,22,21.36,48001
48,2,120,17,14.17,47,39.17,12,10.0,21,17.5,48002
48,3,136,24,17.65,42,30.88,15,11.03,27,19.85,48003
48,4,117,25,21.37,36,30.77,6,5.13,21,17.95,48004
48,5,142,21,14.79,43,30.28,11,7.75,21,14.79,48005
48,6,151,28,18.54,34,22.52,21,13.91,31,20.53,48006
48,7,98,15,15.31,51,52.04,9,9.18,11,11.22,48007
48,8,82,16,19.51,21,25.61,6,7.32,11,13.41,48008
48,9,126,25,19.84,36,28.57,16,12.7,18,14.29,48009
48,10,64,11,17.19,23,35.94,3,4.69,12,18.75,48010
48,11,158,38,24.05,61,38.61,10,6.33,18,11.39,48011
48,12,86,9,10.47,31,36.05,9,10.47,18,20.93,48012
48,13,90,16,17.78,24,26.67,10,11.11,17,18.89,48013
48,14,134,18,13.43,17,12.69,8,5.97,24,17.91,48014
48,15,45,9,20.0,9,20.0,6,13.33,7,15.56,48015
48,16,80,15,18.75,21,26.25,5,6.25,13,16.25,48016
48,17,108,18,16.67,43,39.81,11,10.19,16,14.81,48017
48,18,70,12,17.14,15,21.43,12,17.14,15,21.43,48018
48,19,110,15,13.64,43,39.09,4,3.64,17,15.45,48019
48,20,70,10,14.29,35,50.0,1,1.43,4,5.71,48020
48,21,43,4,9.3,15,34.88,5,11.63,8,18.6,48021
48,22,187,21,11.23,58,31.02,15,8.02,37,19.79,48022
48,23,114,16,14.04,31,27.19,7,6.14,21,18.42,48023
48,24,104,11,10.58,39,37.5,16,15.38,16,15.38,48024
48,25,110,13,11.82,45,40.91,10,9.09,16,14.55,48025
48,26,115,20,17.39,52,45.22,13,11.3,8,6.96,48026
48,27,71,16,22.54,20,28.17,11,15.49,7,9.86,48027
48,28,125,17,13.6,40,32.0,10,8.0,22,17.6,48028
48,29,103,20,19.42,27,26.21,9,8.74,16,15.53,48029
48,30,110,21,19.09,40,36.36,4,3.64,17,15.45,48030
48,31,92,11,11.96,28,30.43,12,13.04,17,18.48,48031
48,32,74,7,9.46,31,41.89,9,12.16,9,12.16,48032
48,33,136,26,19.12,38,27.94,14,10.29,26,19.12,48033
48,34,37,4,10.81,8,21.62,3,8.11,6,16.22,48034
48,35,83,12,14.46,38,45.78,3,3.61,8,9.64,48035
48,36,111,13,11.71,27,24.32,11,9.91,28,25.23,48036
48,37,63,9,14.29,21,33.33,6,9.52,11,17.46,48037
