ward,precinct,total,Edward D. Maloney,Edward D. Maloney Percent,precinct_id
18,19,201,201,100.0,18019
18,24,204,204,100.0,18024
18,25,59,59,100.0,18025
18,26,127,127,100.0,18026
18,30,99,99,100.0,18030
18,32,203,203,100.0,18032
18,34,236,236,100.0,18034
18,45,164,164,100.0,18045
18,46,177,177,100.0,18046
18,51,191,191,100.0,18051
18,52,166,166,100.0,18052
18,53,119,119,100.0,18053
19,1,266,266,100.0,19001
19,2,202,202,100.0,19002
19,3,204,204,100.0,19003
19,4,196,196,100.0,19004
19,5,237,237,100.0,19005
19,6,186,186,100.0,19006
19,7,240,240,100.0,19007
19,8,169,169,100.0,19008
19,9,158,158,100.0,19009
19,10,271,271,100.0,19010
19,11,248,248,100.0,19011
19,12,219,219,100.0,19012
19,14,150,150,100.0,19014
19,15,142,142,100.0,19015
19,16,296,296,100.0,19016
19,17,251,251,100.0,19017
19,18,288,288,100.0,19018
19,19,228,228,100.0,19019
19,21,171,171,100.0,19021
19,22,249,249,100.0,19022
19,23,265,265,100.0,19023
19,24,196,196,100.0,19024
19,25,258,258,100.0,19025
19,26,263,263,100.0,19026
19,29,183,183,100.0,19029
19,30,192,192,100.0,19030
19,32,305,305,100.0,19032
19,33,224,224,100.0,19033
19,34,256,256,100.0,19034
19,35,247,247,100.0,19035
19,36,133,133,100.0,19036
19,37,223,223,100.0,19037
19,38,88,88,100.0,19038
19,39,116,116,100.0,19039
19,41,157,157,100.0,19041
19,44,170,170,100.0,19044
19,45,273,273,100.0,19045
19,46,335,335,100.0,19046
19,47,154,154,100.0,19047
19,51,198,198,100.0,19051
19,52,137,137,100.0,19052
19,53,239,239,100.0,19053
19,54,157,157,100.0,19054
19,55,202,202,100.0,19055
19,56,265,265,100.0,19056
19,57,273,273,100.0,19057
19,58,235,235,100.0,19058
19,59,250,250,100.0,19059
19,61,320,320,100.0,19061
19,62,242,242,100.0,19062
19,65,180,180,100.0,19065
21,15,133,133,100.0,21015
21,29,83,83,100.0,21029
21,35,92,92,100.0,21035
21,36,126,126,100.0,21036
21,57,127,127,100.0,21057
21,70,149,149,100.0,21070
21,71,104,104,100.0,21071
21,73,174,174,100.0,21073
