ward,precinct,total,Marlow H. Colvin,Marlow H. Colvin Percent,Emerson Douyon,Emerson Douyon Percent,Derrick T. Prince,Derrick T. Prince Percent,precinct_id
5,4,130,91,70.0,10,7.69,29,22.31,05004
7,1,218,158,72.48,19,8.72,41,18.81,07001
7,2,219,163,74.43,24,10.96,32,14.61,07002
7,4,119,85,71.43,18,15.13,16,13.45,07004
7,5,118,84,71.19,11,9.32,23,19.49,07005
7,6,121,91,75.21,13,10.74,17,14.05,07006
7,7,81,61,75.31,7,8.64,13,16.05,07007
7,12,120,87,72.5,22,18.33,11,9.17,07012
7,13,107,77,71.96,7,6.54,23,21.5,07013
7,19,225,163,72.44,19,8.44,43,19.11,07019
7,21,150,106,70.67,11,7.33,33,22.0,07021
7,24,157,122,77.71,12,7.64,23,14.65,07024
7,25,191,158,82.72,5,2.62,28,14.66,07025
7,26,192,136,70.83,22,11.46,34,17.71,07026
7,27,230,182,79.13,18,7.83,30,13.04,07027
7,29,110,80,72.73,9,8.18,21,19.09,07029
7,30,204,118,57.84,51,25.0,35,17.16,07030
7,31,183,109,59.56,53,28.96,21,11.48,07031
7,33,148,75,50.68,48,32.43,25,16.89,07033
7,34,134,112,83.58,8,5.97,14,10.45,07034
7,38,121,92,76.03,2,1.65,27,22.31,07038
7,41,132,89,67.42,23,17.42,20,15.15,07041
7,42,234,168,71.79,29,12.39,37,15.81,07042
7,46,1,1,,0,,0,,07046
7,47,140,115,82.14,3,2.14,22,15.71,07047
7,49,99,79,79.8,3,3.03,17,17.17,07049
7,50,104,83,79.81,4,3.85,17,16.35,07050
7,51,159,138,86.79,9,5.66,12,7.55,07051
7,52,117,100,85.47,2,1.71,15,12.82,07052
7,53,134,108,80.6,5,3.73,21,15.67,07053
7,55,150,74,49.33,46,30.67,30,20.0,07055
7,57,136,102,75.0,4,2.94,30,22.06,07057
7,58,219,156,71.23,29,13.24,34,15.53,07058
7,59,71,50,70.42,10,14.08,11,15.49,07059
7,60,102,80,78.43,4,3.92,18,17.65,07060
7,61,157,105,66.88,31,19.75,21,13.38,07061
7,62,152,115,75.66,16,10.53,21,13.82,07062
8,1,232,191,82.33,10,4.31,31,13.36,08001
8,2,104,86,82.69,4,3.85,14,13.46,08002
8,3,264,220,83.33,17,6.44,27,10.23,08003
8,4,193,166,86.01,18,9.33,9,4.66,08004
8,5,257,199,77.43,9,3.5,49,19.07,08005
8,6,222,199,89.64,8,3.6,15,6.76,08006
8,7,143,127,88.81,3,2.1,13,9.09,08007
8,8,255,218,85.49,6,2.35,31,12.16,08008
8,9,280,231,82.5,12,4.29,37,13.21,08009
8,10,281,229,81.49,20,7.12,32,11.39,08010
8,11,173,146,84.39,10,5.78,17,9.83,08011
8,12,171,118,69.01,22,12.87,31,18.13,08012
8,13,150,131,87.33,4,2.67,15,10.0,08013
8,14,132,117,88.64,2,1.52,13,9.85,08014
8,15,148,123,83.11,8,5.41,17,11.49,08015
8,16,228,195,85.53,11,4.82,22,9.65,08016
8,17,166,137,82.53,18,10.84,11,6.63,08017
8,19,248,218,87.9,3,1.21,27,10.89,08019
8,20,150,123,82.0,7,4.67,20,13.33,08020
8,21,154,127,82.47,6,3.9,21,13.64,08021
8,22,160,126,78.75,3,1.88,31,19.38,08022
8,23,171,112,65.5,24,14.04,35,20.47,08023
8,24,220,174,79.09,10,4.55,36,16.36,08024
8,25,194,165,85.05,12,6.19,17,8.76,08025
8,26,116,92,79.31,7,6.03,17,14.66,08026
8,27,222,140,63.06,9,4.05,73,32.88,08027
8,28,188,153,81.38,16,8.51,19,10.11,08028
8,29,221,197,89.14,4,1.81,20,9.05,08029
8,30,163,141,86.5,3,1.84,19,11.66,08030
8,31,130,106,81.54,5,3.85,19,14.62,08031
8,33,185,156,84.32,6,3.24,23,12.43,08033
8,35,230,199,86.52,4,1.74,27,11.74,08035
8,36,176,143,81.25,7,3.98,26,14.77,08036
8,37,10,8,80.0,1,10.0,1,10.0,08037
8,38,168,138,82.14,7,4.17,23,13.69,08038
8,40,199,173,86.93,7,3.52,19,9.55,08040
8,41,150,133,88.67,8,5.33,9,6.0,08041
8,42,197,170,86.29,9,4.57,18,9.14,08042
8,44,152,122,80.26,5,3.29,25,16.45,08044
