ward,precinct,total,Eduardo ''Eddie'' Garza,Eduardo ''Eddie'' Garza Percent,Martin A. Sandoval,Martin A. Sandoval Percent,precinct_id
13,3,213,111,52.11,102,47.89,13003
13,18,147,79,53.74,68,46.26,13018
13,20,179,82,45.81,97,54.19,13020
13,31,218,73,33.49,145,66.51,13031
14,1,108,32,29.63,76,70.37,14001
14,2,137,68,49.64,69,50.36,14002
14,3,180,81,45.0,99,55.0,14003
14,4,126,43,34.13,83,65.87,14004
14,5,190,86,45.26,104,54.74,14005
14,6,133,56,42.11,77,57.89,14006
14,9,165,80,48.48,85,51.52,14009
14,11,111,51,45.95,60,54.05,14011
14,13,203,66,32.51,137,67.49,14013
14,15,158,46,29.11,112,70.89,14015
14,24,82,18,21.95,64,78.05,14024
14,25,145,59,40.69,86,59.31,14025
14,27,172,91,52.91,81,47.09,14027
14,28,152,63,41.45,89,58.55,14028
14,32,118,46,38.98,72,61.02,14032
14,34,128,30,23.44,98,76.56,14034
15,1,69,36,52.17,33,47.83,15001
15,10,91,59,64.84,32,35.16,15010
15,16,71,31,43.66,40,56.34,15016
16,17,116,70,60.34,46,39.66,16017
16,32,75,28,37.33,47,62.67,16032
16,39,83,54,65.06,29,34.94,16039
22,2,84,60,71.43,24,28.57,22002
22,3,130,62,47.69,68,52.31,22003
22,4,117,64,54.7,53,45.3,22004
22,5,127,85,66.93,42,33.07,22005
22,6,122,89,72.95,33,27.05,22006
22,10,103,60,58.25,43,41.75,22010
22,12,105,60,57.14,45,42.86,22012
22,13,137,76,55.47,61,44.53,22013
22,14,85,46,54.12,39,45.88,22014
22,16,141,106,75.18,35,24.82,22016
22,17,99,52,52.53,47,47.47,22017
22,18,126,63,50.0,63,50.0,22018
22,20,137,94,68.61,43,31.39,22020
22,23,121,73,60.33,48,39.67,22023
22,24,99,62,62.63,37,37.37,22024
22,25,94,66,70.21,28,29.79,22025
22,26,95,57,60.0,38,40.0,22026
22,27,127,75,59.06,52,40.94,22027
22,28,66,36,54.55,30,45.45,22028
23,5,172,87,50.58,85,49.42,23005
23,6,215,75,34.88,140,65.12,23006
23,7,27,8,29.63,19,70.37,23007
23,9,190,114,60.0,76,40.0,23009
23,10,237,76,32.07,161,67.93,23010
23,14,71,37,52.11,34,47.89,23014
23,24,119,80,67.23,39,32.77,23024
23,25,135,78,57.78,57,42.22,23025
23,29,170,117,68.82,53,31.18,23029
23,31,173,109,63.01,64,36.99,23031
23,32,232,92,39.66,140,60.34,23032
23,33,222,73,32.88,149,67.12,23033
23,37,8,0,,8,,23037
23,41,160,110,68.75,50,31.25,23041
23,50,132,79,59.85,53,40.15,23050
23,51,191,86,45.03,105,54.97,23051
23,53,135,50,37.04,85,62.96,23053
