ward,precinct,total,Marguerite Anne Quinn,Marguerite Anne Quinn Percent,Martha A. Mills,Martha A. Mills Percent,Patrick W. ''Pat'' O'Brien,Patrick W. ''Pat'' O'Brien Percent,Thomas ''TJ'' Loftus,Thomas ''TJ'' Loftus Percent,Susan Mary Matyus,Susan Mary Matyus Percent,John Martin Stalmack,John Martin Stalmack Percent,Phyllis F. Ringer-Taylor,Phyllis F. Ringer-Taylor Percent,precinct_id
1,1,70,12,17.14,16,22.86,22,31.43,5,7.14,5,7.14,5,7.14,5,7.14,01001
1,2,46,9,19.57,9,19.57,8,17.39,6,13.04,7,15.22,4,8.7,3,6.52,01002
1,3,40,9,,13,,8,,3,,0,,2,,5,,01003
1,4,68,14,20.59,22,32.35,9,13.24,5,7.35,5,7.35,9,13.24,4,5.88,01004
1,5,64,11,17.19,18,28.13,14,21.88,10,15.63,4,6.25,4,6.25,3,4.69,01005
1,6,63,12,19.05,10,15.87,14,22.22,7,11.11,9,14.29,8,12.7,3,4.76,01006
1,7,72,15,20.83,14,19.44,18,25.0,6,8.33,4,5.56,11,15.28,4,5.56,01007
1,8,60,19,31.67,13,21.67,13,21.67,3,5.0,6,10.0,3,5.0,3,5.0,01008
1,9,98,21,21.43,21,21.43,18,18.37,17,17.35,12,12.24,5,5.1,4,4.08,01009
1,10,67,17,25.37,24,35.82,5,7.46,6,8.96,6,8.96,4,5.97,5,7.46,01010
1,11,38,5,13.16,7,18.42,15,39.47,2,5.26,6,15.79,2,5.26,1,2.63,01011
1,12,68,14,20.59,12,17.65,14,20.59,12,17.65,3,4.41,5,7.35,8,11.76,01012
1,13,97,17,17.53,17,17.53,24,24.74,17,17.53,8,8.25,7,7.22,7,7.22,01013
1,14,86,13,15.12,19,22.09,24,27.91,5,5.81,11,12.79,7,8.14,7,8.14,01014
1,15,71,20,28.17,8,11.27,18,25.35,11,15.49,6,8.45,4,5.63,4,5.63,01015
1,16,36,6,,11,,6,,4,,0,,3,,6,,01016
1,17,48,10,20.83,17,35.42,11,22.92,4,8.33,3,6.25,1,2.08,2,4.17,01017
1,18,53,14,26.42,9,16.98,13,24.53,8,15.09,4,7.55,3,5.66,2,3.77,01018
1,19,82,22,26.83,11,13.41,16,19.51,10,12.2,6,7.32,14,17.07,3,3.66,01019
1,20,68,15,22.06,15,22.06,17,25.0,6,8.82,5,7.35,7,10.29,3,4.41,01020
1,21,62,15,24.19,12,19.35,16,25.81,1,1.61,9,14.52,7,11.29,2,3.23,01021
1,22,77,24,31.17,16,20.78,16,20.78,6,7.79,8,10.39,4,5.19,3,3.9,01022
1,23,47,12,25.53,10,21.28,7,14.89,2,4.26,8,17.02,4,8.51,4,8.51,01023
1,24,129,28,21.71,30,23.26,31,24.03,10,7.75,12,9.3,9,6.98,9,6.98,01024
1,25,57,17,29.82,12,21.05,11,19.3,4,7.02,5,8.77,3,5.26,5,8.77,01025
1,26,43,9,20.93,8,18.6,6,13.95,8,18.6,4,9.3,4,9.3,4,9.3,01026
1,27,47,13,27.66,14,29.79,10,21.28,1,2.13,3,6.38,3,6.38,3,6.38,01027
1,28,90,16,17.78,33,36.67,19,21.11,9,10.0,5,5.56,3,3.33,5,5.56,01028
1,29,67,16,23.88,11,16.42,20,29.85,6,8.96,8,11.94,3,4.48,3,4.48,01029
1,30,164,32,19.51,38,23.17,35,21.34,26,15.85,17,10.37,7,4.27,9,5.49,01030
1,31,53,8,15.09,19,35.85,9,16.98,9,16.98,1,1.89,4,7.55,3,5.66,01031
1,32,70,21,30.0,6,8.57,21,30.0,6,8.57,5,7.14,5,7.14,6,8.57,01032
1,33,68,9,13.24,17,25.0,14,20.59,4,5.88,9,13.24,8,11.76,7,10.29,01033
1,34,42,10,23.81,11,26.19,10,23.81,3,7.14,1,2.38,2,4.76,5,11.9,01034
1,35,29,3,10.34,9,31.03,7,24.14,4,13.79,3,10.34,1,3.45,2,6.9,01035
1,36,55,13,23.64,12,21.82,9,16.36,8,14.55,5,9.09,6,10.91,2,3.64,01036
1,37,46,7,15.22,11,23.91,14,30.43,5,10.87,1,2.17,5,10.87,3,6.52,01037
1,38,44,9,20.45,12,27.27,14,31.82,4,9.09,3,6.82,1,2.27,1,2.27,01038
1,39,78,19,24.36,11,14.1,31,39.74,9,11.54,1,1.28,4,5.13,3,3.85,01039
1,40,51,13,25.49,10,19.61,13,25.49,2,3.92,5,9.8,5,9.8,3,5.88,01040
1,41,89,21,23.6,19,21.35,22,24.72,3,3.37,11,12.36,4,4.49,9,10.11,01041
1,42,44,9,20.45,10,22.73,11,25.0,4,9.09,3,6.82,4,9.09,3,6.82,01042
1,43,53,17,32.08,8,15.09,11,20.75,6,11.32,8,15.09,1,1.89,2,3.77,01043
1,44,44,8,,9,,13,,1,,4,,9,,0,,01044
1,45,57,13,,14,,18,,4,,5,,0,,3,,01045
1,46,59,12,20.34,13,22.03,9,15.25,10,16.95,6,10.17,7,11.86,2,3.39,01046
1,47,36,7,19.44,11,30.56,5,13.89,3,8.33,2,5.56,3,8.33,5,13.89,01047
1,48,60,17,28.33,16,26.67,11,18.33,4,6.67,2,3.33,4,6.67,6,10.0,01048
1,49,25,3,,5,,8,,7,,1,,0,,1,,01049
1,50,50,10,20.0,11,22.0,10,20.0,9,18.0,5,10.0,3,6.0,2,4.0,01050
2,1,115,14,12.17,44,38.26,18,15.65,5,4.35,8,6.96,11,9.57,15,13.04,02001
2,2,4,0,,1,,1,,0,,1,,0,,1,,02002
2,3,90,21,23.33,11,12.22,23,25.56,4,4.44,8,8.89,5,5.56,18,20.0,02003
2,4,96,22,22.92,9,9.38,15,15.63,5,5.21,3,3.13,5,5.21,37,38.54,02004
2,5,78,10,12.82,11,14.1,17,21.79,5,6.41,1,1.28,11,14.1,23,29.49,02005
2,6,64,10,15.63,29,45.31,8,12.5,3,4.69,5,7.81,3,4.69,6,9.38,02006
2,7,176,27,15.34,23,13.07,38,21.59,9,5.11,4,2.27,35,19.89,40,22.73,02007
2,8,143,21,14.69,49,34.27,18,12.59,8,5.59,4,2.8,9,6.29,34,23.78,02008
2,9,97,16,16.49,7,7.22,17,17.53,6,6.19,6,6.19,6,6.19,39,40.21,02009
2,10,25,7,,0,,7,,2,,1,,0,,8,,02010
2,11,63,10,15.87,22,34.92,12,19.05,5,7.94,4,6.35,8,12.7,2,3.17,02011
2,12,80,10,12.5,35,43.75,14,17.5,4,5.0,8,10.0,5,6.25,4,5.0,02012
2,13,104,18,17.31,32,30.77,15,14.42,3,2.88,4,3.85,13,12.5,19,18.27,02013
2,14,196,49,25.0,27,13.78,28,14.29,8,4.08,3,1.53,16,8.16,65,33.16,02014
2,15,22,4,,3,,7,,1,,0,,4,,3,,02015
2,16,80,21,26.25,14,17.5,18,22.5,7,8.75,5,6.25,4,5.0,11,13.75,02016
2,17,102,15,14.71,11,10.78,23,22.55,6,5.88,3,2.94,28,27.45,16,15.69,02017
2,18,109,19,17.43,19,17.43,20,18.35,5,4.59,11,10.09,9,8.26,26,23.85,02018
2,19,5,4,,0,,1,,0,,0,,0,,0,,02019
2,20,172,44,25.58,21,12.21,28,16.28,10,5.81,3,1.74,18,10.47,48,27.91,02020
2,21,158,35,22.15,25,15.82,33,20.89,5,3.16,2,1.27,21,13.29,37,23.42,02021
2,22,218,44,20.18,56,25.69,33,15.14,17,7.8,9,4.13,16,7.34,43,19.72,02022
2,23,81,21,25.93,12,14.81,14,17.28,4,4.94,3,3.7,6,7.41,21,25.93,02023
2,24,66,15,22.73,9,13.64,8,12.12,2,3.03,1,1.52,12,18.18,19,28.79,02024
2,25,62,13,20.97,6,9.68,16,25.81,3,4.84,2,3.23,5,8.06,17,27.42,02025
2,26,150,36,24.0,23,15.33,31,20.67,9,6.0,5,3.33,24,16.0,22,14.67,02026
2,27,99,18,18.18,7,7.07,24,24.24,8,8.08,6,6.06,6,6.06,30,30.3,02027
