ward,precinct,total,Joseph M. Lyons,Joseph M. Lyons Percent,precinct_id
36,6,98,98,100.0,36006
36,13,25,25,100.0,36013
36,26,128,128,100.0,36026
36,41,23,23,100.0,36041
36,43,86,86,100.0,36043
38,1,107,107,100.0,38001
38,2,85,85,100.0,38002
38,4,51,51,100.0,38004
38,5,33,33,100.0,38005
38,6,93,93,100.0,38006
38,8,74,74,100.0,38008
38,9,85,85,100.0,38009
38,11,68,68,100.0,38011
38,12,123,123,100.0,38012
38,13,79,79,100.0,38013
38,14,97,97,100.0,38014
38,15,90,90,100.0,38015
38,17,97,97,100.0,38017
38,18,127,127,100.0,38018
38,19,134,134,100.0,38019
38,21,95,95,100.0,38021
38,22,106,106,100.0,38022
38,23,64,64,100.0,38023
38,25,106,106,100.0,38025
38,26,66,66,100.0,38026
38,27,70,70,100.0,38027
38,28,82,82,100.0,38028
38,29,91,91,100.0,38029
38,30,92,92,100.0,38030
38,31,123,123,100.0,38031
38,32,116,116,100.0,38032
38,33,89,89,100.0,38033
38,35,112,112,100.0,38035
38,36,99,99,100.0,38036
38,37,97,97,100.0,38037
38,39,93,93,100.0,38039
38,40,91,91,100.0,38040
38,41,148,148,100.0,38041
38,42,133,133,100.0,38042
38,43,113,113,100.0,38043
38,44,105,105,100.0,38044
38,45,109,109,100.0,38045
38,46,90,90,100.0,38046
38,47,88,88,100.0,38047
38,48,112,112,100.0,38048
38,49,78,78,100.0,38049
38,50,110,110,100.0,38050
38,51,72,72,100.0,38051
38,52,117,117,100.0,38052
41,53,146,146,100.0,41053
45,1,85,85,100.0,45001
45,2,151,151,100.0,45002
45,3,257,257,100.0,45003
45,6,155,155,100.0,45006
45,7,91,91,100.0,45007
45,8,116,116,100.0,45008
45,9,166,166,100.0,45009
45,11,114,114,100.0,45011
45,13,238,238,100.0,45013
45,15,158,158,100.0,45015
45,16,135,135,100.0,45016
45,17,133,133,100.0,45017
45,18,161,161,100.0,45018
45,19,173,173,100.0,45019
45,20,123,123,100.0,45020
45,21,133,133,100.0,45021
45,22,114,114,100.0,45022
45,23,126,126,100.0,45023
45,25,156,156,100.0,45025
45,26,188,188,100.0,45026
45,27,114,114,100.0,45027
45,28,126,126,100.0,45028
45,29,140,140,100.0,45029
45,30,156,156,100.0,45030
45,31,122,122,100.0,45031
45,32,79,79,100.0,45032
45,33,126,126,100.0,45033
45,34,105,105,100.0,45034
45,35,125,125,100.0,45035
45,37,117,117,100.0,45037
45,38,129,129,100.0,45038
45,39,159,159,100.0,45039
45,40,202,202,100.0,45040
45,41,79,79,100.0,45041
45,42,145,145,100.0,45042
45,43,118,118,100.0,45043
45,44,168,168,100.0,45044
45,45,96,96,100.0,45045
45,46,150,150,100.0,45046
45,47,126,126,100.0,45047
45,48,121,121,100.0,45048
45,49,143,143,100.0,45049
45,50,113,113,100.0,45050
45,51,129,129,100.0,45051
45,52,135,135,100.0,45052
45,53,105,105,100.0,45053
