ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Carlton Eugene Hull,Carlton Eugene Hull Percent,precinct_id
2,14,235,194,82.55,41,17.45,02014
2,20,207,185,89.37,22,10.63,02020
2,31,197,178,90.36,19,9.64,02031
2,44,148,136,91.89,12,8.11,02044
2,46,249,201,80.72,48,19.28,02046
3,5,166,150,90.36,16,9.64,03005
3,7,178,162,91.01,16,8.99,03007
3,20,2,2,,0,,03020
3,30,127,117,92.13,10,7.87,03030
3,34,108,89,82.41,19,17.59,03034
3,36,11,10,90.91,1,9.09,03036
3,38,203,188,92.61,15,7.39,03038
3,41,51,48,94.12,3,5.88,03041
3,44,51,47,92.16,4,7.84,03044
3,49,22,20,90.91,2,9.09,03049
3,53,138,116,84.06,22,15.94,03053
4,1,150,118,78.67,32,21.33,04001
4,2,246,217,88.21,29,11.79,04002
4,3,231,197,85.28,34,14.72,04003
4,8,214,192,89.72,22,10.28,04008
4,9,372,325,87.37,47,12.63,04009
4,12,104,89,85.58,15,14.42,04012
4,13,140,124,88.57,16,11.43,04013
4,16,235,215,91.49,20,8.51,04016
4,17,172,149,86.63,23,13.37,04017
4,18,196,175,89.29,21,10.71,04018
4,19,210,187,89.05,23,10.95,04019
4,20,71,63,88.73,8,11.27,04020
4,21,218,187,85.78,31,14.22,04021
4,22,256,213,83.2,43,16.8,04022
4,23,135,111,82.22,24,17.78,04023
4,24,215,184,85.58,31,14.42,04024
4,26,189,173,91.53,16,8.47,04026
4,28,121,93,76.86,28,23.14,04028
4,29,161,132,81.99,29,18.01,04029
4,30,32,30,93.75,2,6.25,04030
4,31,101,84,83.17,17,16.83,04031
4,32,175,130,74.29,45,25.71,04032
4,33,104,94,90.38,10,9.62,04033
4,34,133,109,81.95,24,18.05,04034
4,37,70,63,90.0,7,10.0,04037
4,38,257,212,82.49,45,17.51,04038
4,39,108,100,92.59,8,7.41,04039
4,40,154,140,90.91,14,9.09,04040
4,41,82,60,73.17,22,26.83,04041
4,42,1,1,,0,,04042
4,43,107,79,73.83,28,26.17,04043
4,44,111,88,79.28,23,20.72,04044
4,45,371,312,84.1,59,15.9,04045
4,46,142,133,93.66,9,6.34,04046
4,47,222,189,85.14,33,14.86,04047
4,48,237,179,75.53,58,24.47,04048
4,49,167,150,89.82,17,10.18,04049
4,50,177,161,90.96,16,9.04,04050
4,51,239,213,89.12,26,10.88,04051
4,52,249,231,92.77,18,7.23,04052
4,54,99,87,87.88,12,12.12,04054
4,55,106,80,75.47,26,24.53,04055
5,2,153,142,92.81,11,7.19,05002
5,3,88,72,81.82,16,18.18,05003
5,5,161,156,96.89,5,3.11,05005
5,8,198,144,72.73,54,27.27,05008
5,9,176,161,91.48,15,8.52,05009
5,10,161,147,91.3,14,8.7,05010
5,12,116,104,89.66,12,10.34,05012
5,13,154,139,90.26,15,9.74,05013
5,15,140,114,81.43,26,18.57,05015
5,16,146,138,94.52,8,5.48,05016
5,17,221,205,92.76,16,7.24,05017
5,18,178,167,93.82,11,6.18,05018
5,19,94,86,91.49,8,8.51,05019
5,20,90,87,96.67,3,3.33,05020
5,22,179,169,94.41,10,5.59,05022
5,23,139,127,91.37,12,8.63,05023
5,25,192,181,94.27,11,5.73,05025
5,27,154,108,70.13,46,29.87,05027
5,30,137,88,64.23,49,35.77,05030
5,33,141,133,94.33,8,5.67,05033
5,35,139,110,79.14,29,20.86,05035
5,39,180,133,73.89,47,26.11,05039
5,41,117,78,66.67,39,33.33,05041
5,45,99,88,88.89,11,11.11,05045
5,48,104,91,87.5,13,12.5,05048
5,50,149,142,95.3,7,4.7,05050
5,51,128,121,94.53,7,5.47,05051
5,52,21,18,85.71,3,14.29,05052
5,53,227,199,87.67,28,12.33,05053
5,55,163,155,95.09,8,4.91,05055
6,1,274,254,92.7,20,7.3,06001
6,2,242,224,92.56,18,7.44,06002
6,3,244,222,90.98,22,9.02,06003
6,4,133,120,90.23,13,9.77,06004
6,5,113,106,93.81,7,6.19,06005
6,6,182,167,91.76,15,8.24,06006
6,7,221,203,91.86,18,8.14,06007
6,8,248,228,91.94,20,8.06,06008
6,9,188,180,95.74,8,4.26,06009
6,10,281,259,92.17,22,7.83,06010
6,11,213,187,87.79,26,12.21,06011
6,12,155,145,93.55,10,6.45,06012
6,13,188,174,92.55,14,7.45,06013
6,14,200,181,90.5,19,9.5,06014
6,15,136,123,90.44,13,9.56,06015
6,16,244,221,90.57,23,9.43,06016
6,17,252,235,93.25,17,6.75,06017
6,18,82,78,95.12,4,4.88,06018
6,19,228,210,92.11,18,7.89,06019
6,20,221,202,91.4,19,8.6,06020
6,23,169,157,92.9,12,7.1,06023
6,24,246,227,92.28,19,7.72,06024
6,25,163,153,93.87,10,6.13,06025
6,26,234,213,91.03,21,8.97,06026
6,27,270,252,93.33,18,6.67,06027
6,28,377,332,88.06,45,11.94,06028
6,29,264,237,89.77,27,10.23,06029
6,30,161,153,95.03,8,4.97,06030
6,31,254,238,93.7,16,6.3,06031
6,32,213,199,93.43,14,6.57,06032
6,33,249,227,91.16,22,8.84,06033
6,34,183,166,90.71,17,9.29,06034
6,35,202,174,86.14,28,13.86,06035
6,36,108,101,93.52,7,6.48,06036
6,37,255,227,89.02,28,10.98,06037
6,38,221,204,92.31,17,7.69,06038
6,39,180,167,92.78,13,7.22,06039
6,40,119,112,94.12,7,5.88,06040
6,41,221,206,93.21,15,6.79,06041
6,42,103,95,92.23,8,7.77,06042
6,43,216,196,90.74,20,9.26,06043
