ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,precinct_id
9,10,177,177,100.0,09010
9,20,217,217,100.0,09020
9,21,178,178,100.0,09021
9,27,155,155,100.0,09027
19,13,177,177,100.0,19013
19,20,183,183,100.0,19020
19,27,115,115,100.0,19027
19,28,252,252,100.0,19028
19,31,183,183,100.0,19031
19,40,192,192,100.0,19040
19,42,156,156,100.0,19042
19,43,251,251,100.0,19043
19,48,175,175,100.0,19048
19,49,293,293,100.0,19049
19,50,225,225,100.0,19050
19,60,206,206,100.0,19060
19,63,171,171,100.0,19063
19,64,270,270,100.0,19064
19,66,329,329,100.0,19066
19,67,43,43,100.0,19067
21,1,288,288,100.0,21001
21,3,180,180,100.0,21003
21,4,193,193,100.0,21004
21,5,176,176,100.0,21005
21,6,142,142,100.0,21006
21,7,181,181,100.0,21007
21,8,219,219,100.0,21008
21,9,207,207,100.0,21009
21,10,135,135,100.0,21010
21,11,211,211,100.0,21011
21,12,193,193,100.0,21012
21,13,101,101,100.0,21013
21,14,171,171,100.0,21014
21,17,172,172,100.0,21017
21,18,191,191,100.0,21018
21,19,143,143,100.0,21019
21,20,103,103,100.0,21020
21,21,217,217,100.0,21021
21,22,195,195,100.0,21022
21,24,198,198,100.0,21024
21,27,225,225,100.0,21027
21,28,157,157,100.0,21028
21,31,232,232,100.0,21031
21,33,183,183,100.0,21033
21,38,177,177,100.0,21038
21,40,204,204,100.0,21040
21,42,194,194,100.0,21042
21,44,167,167,100.0,21044
21,45,142,142,100.0,21045
21,47,244,244,100.0,21047
21,49,247,247,100.0,21049
21,50,177,177,100.0,21050
21,51,222,222,100.0,21051
21,53,128,128,100.0,21053
21,54,185,185,100.0,21054
21,56,140,140,100.0,21056
21,58,143,143,100.0,21058
21,59,244,244,100.0,21059
21,60,203,203,100.0,21060
21,61,177,177,100.0,21061
21,63,187,187,100.0,21063
21,66,131,131,100.0,21066
21,68,179,179,100.0,21068
34,1,327,327,100.0,34001
34,7,301,301,100.0,34007
34,8,213,213,100.0,34008
34,12,209,209,100.0,34012
34,13,243,243,100.0,34013
34,19,56,56,100.0,34019
34,21,268,268,100.0,34021
34,25,236,236,100.0,34025
34,32,278,278,100.0,34032
34,33,77,77,100.0,34033
34,34,290,290,100.0,34034
34,44,273,273,100.0,34044
34,45,178,178,100.0,34045
34,46,185,185,100.0,34046
34,47,121,121,100.0,34047
34,48,273,273,100.0,34048
34,49,310,310,100.0,34049
34,51,277,277,100.0,34051
34,55,215,215,100.0,34055
34,56,87,87,100.0,34056
34,57,195,195,100.0,34057
34,58,221,221,100.0,34058
34,60,198,198,100.0,34060
