ward,precinct,total,Wilfredo Aponte,Wilfredo Aponte Percent,Richard T. Bradley,Richard T. Bradley Percent,precinct_id
1,7,3,1,33.33,2,66.67,01007
1,16,44,9,20.45,35,79.55,01016
1,19,88,34,38.64,54,61.36,01019
1,28,104,25,24.04,79,75.96,01028
1,41,101,49,48.51,52,51.49,01041
1,42,46,17,36.96,29,63.04,01042
30,1,135,28,20.74,107,79.26,30001
30,3,144,30,20.83,114,79.17,30003
30,7,87,52,59.77,35,40.23,30007
30,8,105,34,32.38,71,67.62,30008
30,13,78,39,50.0,39,50.0,30013
30,14,28,8,28.57,20,71.43,30014
30,15,154,31,20.13,123,79.87,30015
30,16,95,29,30.53,66,69.47,30016
30,30,131,98,74.81,33,25.19,30030
30,38,139,30,21.58,109,78.42,30038
30,39,105,40,38.1,65,61.9,30039
31,8,78,49,62.82,29,37.18,31008
31,26,46,24,52.17,22,47.83,31026
33,1,150,36,24.0,114,76.0,33001
33,2,166,38,22.89,128,77.11,33002
33,3,140,42,30.0,98,70.0,33003
33,4,145,29,20.0,116,80.0,33004
33,5,105,29,27.62,76,72.38,33005
33,6,192,42,21.88,150,78.13,33006
33,9,173,32,18.5,141,81.5,33009
33,11,165,24,14.55,141,85.45,33011
33,12,209,42,20.1,167,79.9,33012
33,13,210,56,26.67,154,73.33,33013
33,14,88,26,29.55,62,70.45,33014
33,15,145,43,29.66,102,70.34,33015
33,16,144,43,29.86,101,70.14,33016
33,17,188,36,19.15,152,80.85,33017
33,18,40,10,25.0,30,75.0,33018
33,19,176,50,28.41,126,71.59,33019
33,20,148,34,22.97,114,77.03,33020
33,21,186,50,26.88,136,73.12,33021
33,22,241,47,19.5,194,80.5,33022
33,23,165,45,27.27,120,72.73,33023
33,25,171,61,35.67,110,64.33,33025
33,26,118,32,27.12,86,72.88,33026
33,27,84,28,33.33,56,66.67,33027
35,1,4,3,75.0,1,25.0,35001
35,4,143,28,19.58,115,80.42,35004
35,22,37,7,18.92,30,81.08,35022
35,26,153,42,27.45,111,72.55,35026
35,33,95,26,27.37,69,72.63,35033
38,10,15,5,33.33,10,66.67,38010
38,24,66,22,33.33,44,66.67,38024
38,34,72,28,38.89,44,61.11,38034
39,12,78,31,39.74,47,60.26,39012
39,13,62,13,20.97,49,79.03,39013
39,22,105,18,17.14,87,82.86,39022
39,23,89,4,4.49,85,95.51,39023
39,24,87,30,34.48,57,65.52,39024
39,27,153,28,18.3,125,81.7,39027
39,28,131,44,33.59,87,66.41,39028
39,29,140,26,18.57,114,81.43,39029
39,30,58,24,41.38,34,58.62,39030
39,31,71,17,23.94,54,76.06,39031
39,44,104,44,42.31,60,57.69,39044
39,46,106,39,36.79,67,63.21,39046
