ward,precinct,total,Sharon Finegan Patterson,Sharon Finegan Patterson Percent,Pamela E. Hill Veal,Pamela E. Hill Veal Percent,Thomas J. Byrne,Thomas J. Byrne Percent,Siobhán Maura Murphy,Siobhán Maura Murphy Percent,precinct_id
1,1,70,17,24.29,18,25.71,17,24.29,18,25.71,01001
1,2,45,7,15.56,17,37.78,14,31.11,7,15.56,01002
1,3,38,6,15.79,7,18.42,14,36.84,11,28.95,01003
1,4,65,12,18.46,20,30.77,16,24.62,17,26.15,01004
1,5,59,16,27.12,21,35.59,12,20.34,10,16.95,01005
1,6,63,18,28.57,16,25.4,16,25.4,13,20.63,01006
1,7,70,16,22.86,28,40.0,19,27.14,7,10.0,01007
1,8,57,11,19.3,19,33.33,19,33.33,8,14.04,01008
1,9,99,28,28.28,31,31.31,31,31.31,9,9.09,01009
1,10,66,13,19.7,16,24.24,19,28.79,18,27.27,01010
1,11,39,15,38.46,4,10.26,14,35.9,6,15.38,01011
1,12,63,11,17.46,18,28.57,21,33.33,13,20.63,01012
1,13,93,21,22.58,25,26.88,28,30.11,19,20.43,01013
1,14,84,23,27.38,17,20.24,27,32.14,17,20.24,01014
1,15,71,11,15.49,23,32.39,24,33.8,13,18.31,01015
1,16,31,7,22.58,14,45.16,9,29.03,1,3.23,01016
1,17,45,16,35.56,9,20.0,14,31.11,6,13.33,01017
1,18,52,15,28.85,14,26.92,17,32.69,6,11.54,01018
1,19,82,25,30.49,18,21.95,29,35.37,10,12.2,01019
1,20,68,19,27.94,19,27.94,20,29.41,10,14.71,01020
1,21,60,17,28.33,12,20.0,20,33.33,11,18.33,01021
1,22,71,24,33.8,18,25.35,16,22.54,13,18.31,01022
1,23,45,8,17.78,16,35.56,12,26.67,9,20.0,01023
1,24,125,34,27.2,37,29.6,40,32.0,14,11.2,01024
1,25,59,7,11.86,20,33.9,19,32.2,13,22.03,01025
1,26,41,8,19.51,17,41.46,13,31.71,3,7.32,01026
1,27,48,12,25.0,11,22.92,17,35.42,8,16.67,01027
1,28,78,27,34.62,20,25.64,22,28.21,9,11.54,01028
1,29,67,11,16.42,29,43.28,11,16.42,16,23.88,01029
1,30,156,33,21.15,54,34.62,42,26.92,27,17.31,01030
1,31,54,6,11.11,20,37.04,17,31.48,11,20.37,01031
1,32,70,27,38.57,19,27.14,16,22.86,8,11.43,01032
1,33,67,21,31.34,13,19.4,19,28.36,14,20.9,01033
1,34,42,10,23.81,14,33.33,12,28.57,6,14.29,01034
1,35,30,8,26.67,8,26.67,10,33.33,4,13.33,01035
1,36,55,10,18.18,12,21.82,22,40.0,11,20.0,01036
1,37,47,10,21.28,11,23.4,14,29.79,12,25.53,01037
1,38,45,17,37.78,9,20.0,17,37.78,2,4.44,01038
1,39,75,21,28.0,22,29.33,26,34.67,6,8.0,01039
1,40,52,14,26.92,12,23.08,15,28.85,11,21.15,01040
1,41,87,23,26.44,20,22.99,29,33.33,15,17.24,01041
1,42,43,15,34.88,7,16.28,19,44.19,2,4.65,01042
1,43,53,15,28.3,18,33.96,13,24.53,7,13.21,01043
1,44,45,13,28.89,10,22.22,13,28.89,9,20.0,01044
1,45,58,16,27.59,16,27.59,13,22.41,13,22.41,01045
1,46,57,11,19.3,17,29.82,18,31.58,11,19.3,01046
1,47,34,8,23.53,5,14.71,13,38.24,8,23.53,01047
1,48,62,16,25.81,17,27.42,22,35.48,7,11.29,01048
1,49,24,5,20.83,7,29.17,9,37.5,3,12.5,01049
1,50,48,11,22.92,9,18.75,21,43.75,7,14.58,01050
2,1,120,26,21.67,34,28.33,31,25.83,29,24.17,02001
2,2,4,1,25.0,1,25.0,1,25.0,1,25.0,02002
2,3,82,23,28.05,28,34.15,19,23.17,12,14.63,02003
2,4,95,30,31.58,47,49.47,14,14.74,4,4.21,02004
2,5,75,23,30.67,28,37.33,12,16.0,12,16.0,02005
2,6,64,4,6.25,15,23.44,24,37.5,21,32.81,02006
2,7,177,48,27.12,82,46.33,40,22.6,7,3.95,02007
2,8,145,24,16.55,45,31.03,55,37.93,21,14.48,02008
2,9,96,33,34.38,40,41.67,16,16.67,7,7.29,02009
2,10,23,7,30.43,5,21.74,10,43.48,1,4.35,02010
2,11,64,7,10.94,18,28.13,32,50.0,7,10.94,02011
2,12,76,7,9.21,17,22.37,37,48.68,15,19.74,02012
2,13,100,20,20.0,45,45.0,26,26.0,9,9.0,02013
2,14,196,51,26.02,97,49.49,38,19.39,10,5.1,02014
2,15,21,6,28.57,10,47.62,3,14.29,2,9.52,02015
2,16,77,19,24.68,20,25.97,27,35.06,11,14.29,02016
2,17,102,29,28.43,54,52.94,13,12.75,6,5.88,02017
2,18,114,23,20.18,33,28.95,37,32.46,21,18.42,02018
2,19,4,2,,0,,2,,0,,02019
2,20,174,42,24.14,73,41.95,35,20.11,24,13.79,02020
2,21,161,38,23.6,83,51.55,32,19.88,8,4.97,02021
2,22,214,33,15.42,74,34.58,72,33.64,35,16.36,02022
2,23,82,24,29.27,26,31.71,18,21.95,14,17.07,02023
2,24,64,15,23.44,34,53.13,10,15.63,5,7.81,02024
2,25,63,13,20.63,21,33.33,20,31.75,9,14.29,02025
2,26,153,47,30.72,51,33.33,36,23.53,19,12.42,02026
2,27,100,36,36.0,41,41.0,20,20.0,3,3.0,02027
2,28,33,5,15.15,8,24.24,12,36.36,8,24.24,02028
2,29,37,10,27.03,15,40.54,8,21.62,4,10.81,02029
2,30,65,26,40.0,23,35.38,12,18.46,4,6.15,02030
2,31,161,45,27.95,72,44.72,35,21.74,9,5.59,02031
2,32,49,18,36.73,18,36.73,9,18.37,4,8.16,02032
2,33,62,22,35.48,26,41.94,12,19.35,2,3.23,02033
2,34,136,31,22.79,75,55.15,26,19.12,4,2.94,02034
2,35,28,8,28.57,10,35.71,5,17.86,5,17.86,02035
2,36,61,17,27.87,20,32.79,17,27.87,7,11.48,02036
2,37,133,23,17.29,37,27.82,54,40.6,19,14.29,02037
2,38,135,46,34.07,49,36.3,28,20.74,12,8.89,02038
2,39,83,20,24.1,35,42.17,23,27.71,5,6.02,02039
2,40,147,45,30.61,40,27.21,40,27.21,22,14.97,02040
2,41,63,30,47.62,17,26.98,13,20.63,3,4.76,02041
2,42,20,7,35.0,5,25.0,5,25.0,3,15.0,02042
2,43,188,37,19.68,52,27.66,68,36.17,31,16.49,02043
2,44,120,30,25.0,57,47.5,19,15.83,14,11.67,02044
2,45,92,36,39.13,35,38.04,19,20.65,2,2.17,02045
2,46,205,50,24.39,110,53.66,35,17.07,10,4.88,02046
2,47,110,35,31.82,45,40.91,23,20.91,7,6.36,02047
2,48,88,21,23.86,43,48.86,17,19.32,7,7.95,02048
2,49,85,16,18.82,21,24.71,23,27.06,25,29.41,02049
2,50,67,19,28.36,19,28.36,19,28.36,10,14.93,02050
2,51,59,23,38.98,23,38.98,11,18.64,2,3.39,02051
2,52,138,40,28.99,54,39.13,30,21.74,14,10.14,02052
2,53,38,13,34.21,12,31.58,7,18.42,6,15.79,02053
2,54,103,15,14.56,24,23.3,34,33.01,30,29.13,02054
2,55,30,5,16.67,9,30.0,10,33.33,6,20.0,02055
2,56,124,37,29.84,53,42.74,23,18.55,11,8.87,02056
2,57,107,35,32.71,38,35.51,27,25.23,7,6.54,02057
2,58,47,9,19.15,19,40.43,13,27.66,6,12.77,02058
2,59,145,30,20.69,39,26.9,56,38.62,20,13.79,02059
2,60,134,28,20.9,32,23.88,53,39.55,21,15.67,02060
2,61,78,11,14.1,25,32.05,23,29.49,19,24.36,02061
3,1,144,40,27.78,68,47.22,31,21.53,5,3.47,03001
3,2,205,51,24.88,109,53.17,32,15.61,13,6.34,03002
3,3,92,24,26.09,32,34.78,25,27.17,11,11.96,03003
3,4,96,19,19.79,52,54.17,18,18.75,7,7.29,03004
3,5,144,27,18.75,74,51.39,26,18.06,17,11.81,03005
3,6,49,11,22.45,20,40.82,14,28.57,4,8.16,03006
3,7,143,45,31.47,51,35.66,39,27.27,8,5.59,03007
3,8,61,19,31.15,21,34.43,19,31.15,2,3.28,03008
3,9,106,33,31.13,44,41.51,19,17.92,10,9.43,03009
3,10,59,19,32.2,25,42.37,11,18.64,4,6.78,03010
3,11,138,24,17.39,87,63.04,17,12.32,10,7.25,03011
3,12,137,35,25.55,66,48.18,26,18.98,10,7.3,03012
3,13,79,18,22.78,19,24.05,30,37.97,12,15.19,03013
3,14,90,27,30.0,39,43.33,17,18.89,7,7.78,03014
3,15,120,31,25.83,61,50.83,17,14.17,11,9.17,03015
3,16,129,28,21.71,78,60.47,18,13.95,5,3.88,03016
3,17,89,29,32.58,33,37.08,19,21.35,8,8.99,03017
3,18,94,17,18.09,49,52.13,23,24.47,5,5.32,03018
3,19,8,2,25.0,3,37.5,2,25.0,1,12.5,03019
3,20,91,27,29.67,37,40.66,24,26.37,3,3.3,03020
3,21,55,13,23.64,32,58.18,9,16.36,1,1.82,03021
3,22,83,19,22.89,42,50.6,16,19.28,6,7.23,03022
3,23,25,12,48.0,4,16.0,6,24.0,3,12.0,03023
3,24,95,29,30.53,40,42.11,19,20.0,7,7.37,03024
3,25,106,26,24.53,58,54.72,17,16.04,5,4.72,03025
3,26,114,32,28.07,59,51.75,15,13.16,8,7.02,03026
3,27,127,45,35.43,44,34.65,26,20.47,12,9.45,03027
3,28,48,17,35.42,15,31.25,10,20.83,6,12.5,03028
3,29,90,30,33.33,23,25.56,27,30.0,10,11.11,03029
3,30,112,30,26.79,57,50.89,18,16.07,7,6.25,03030
3,31,187,53,28.34,105,56.15,23,12.3,6,3.21,03031
3,32,88,19,21.59,53,60.23,14,15.91,2,2.27,03032
3,33,149,41,27.52,66,44.3,34,22.82,8,5.37,03033
3,34,97,27,27.84,48,49.48,16,16.49,6,6.19,03034
3,35,107,21,19.63,61,57.01,15,14.02,10,9.35,03035
3,36,55,14,25.45,24,43.64,14,25.45,3,5.45,03036
3,37,49,14,28.57,26,53.06,6,12.24,3,6.12,03037
3,38,158,49,31.01,67,42.41,34,21.52,8,5.06,03038
3,39,210,46,21.9,122,58.1,33,15.71,9,4.29,03039
3,40,95,20,21.05,60,63.16,12,12.63,3,3.16,03040
3,41,123,39,31.71,53,43.09,23,18.7,8,6.5,03041
3,42,82,18,21.95,38,46.34,18,21.95,8,9.76,03042
3,43,43,19,44.19,10,23.26,9,20.93,5,11.63,03043
3,44,49,17,34.69,24,48.98,7,14.29,1,2.04,03044
3,45,74,19,25.68,25,33.78,24,32.43,6,8.11,03045
3,46,61,25,40.98,12,19.67,13,21.31,11,18.03,03046
3,47,86,32,37.21,39,45.35,10,11.63,5,5.81,03047
3,48,88,27,30.68,36,40.91,20,22.73,5,5.68,03048
3,49,40,9,22.5,21,52.5,9,22.5,1,2.5,03049
3,50,103,24,23.3,58,56.31,18,17.48,3,2.91,03050
3,51,47,10,21.28,19,40.43,13,27.66,5,10.64,03051
3,52,53,12,22.64,26,49.06,11,20.75,4,7.55,03052
3,53,102,16,15.69,53,51.96,21,20.59,12,11.76,03053
3,54,136,24,17.65,38,27.94,49,36.03,25,18.38,03054
4,1,133,20,15.04,67,50.38,33,24.81,13,9.77,04001
4,2,224,50,22.32,128,57.14,34,15.18,12,5.36,04002
4,3,194,48,24.74,104,53.61,31,15.98,11,5.67,04003
4,4,185,58,31.35,78,42.16,32,17.3,17,9.19,04004
4,5,172,37,21.51,88,51.16,31,18.02,16,9.3,04005
4,6,73,17,23.29,43,58.9,9,12.33,4,5.48,04006
4,7,166,31,18.67,103,62.05,22,13.25,10,6.02,04007
4,8,188,43,22.87,114,60.64,24,12.77,7,3.72,04008
