ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,precinct_id
2,1,118,118,100.0,02001
2,11,70,70,100.0,02011
2,14,190,190,100.0,02014
2,20,6,6,100.0,02020
2,22,214,214,100.0,02022
2,31,61,61,100.0,02031
2,35,29,29,100.0,02035
2,43,183,183,100.0,02043
2,49,38,38,100.0,02049
2,54,109,109,100.0,02054
2,55,30,30,100.0,02055
2,58,51,51,100.0,02058
2,59,152,152,100.0,02059
3,1,157,157,100.0,03001
3,3,94,94,100.0,03003
3,6,50,50,100.0,03006
3,8,63,63,100.0,03008
3,9,81,81,100.0,03009
3,11,113,113,100.0,03011
3,14,91,91,100.0,03014
3,15,128,128,100.0,03015
3,17,84,84,100.0,03017
3,18,94,94,100.0,03018
3,19,5,5,100.0,03019
3,22,80,80,100.0,03022
3,23,27,27,100.0,03023
3,24,113,113,100.0,03024
3,26,116,116,100.0,03026
3,27,120,120,100.0,03027
3,28,45,45,100.0,03028
3,29,112,112,100.0,03029
3,32,92,92,100.0,03032
3,33,155,155,100.0,03033
3,35,105,105,100.0,03035
3,36,50,50,100.0,03036
3,37,46,46,100.0,03037
3,38,57,57,100.0,03038
3,40,96,96,100.0,03040
3,41,129,129,100.0,03041
3,42,89,89,100.0,03042
3,43,47,47,100.0,03043
3,45,82,82,100.0,03045
3,46,75,75,100.0,03046
3,47,84,84,100.0,03047
3,49,19,19,100.0,03049
3,53,118,118,100.0,03053
3,54,144,144,100.0,03054
4,6,77,77,100.0,04006
11,14,67,67,100.0,11014
11,36,28,28,100.0,11036
11,48,11,11,100.0,11048
20,1,131,131,100.0,20001
20,3,104,104,100.0,20003
20,6,129,129,100.0,20006
20,7,64,64,100.0,20007
20,11,73,73,100.0,20011
20,12,73,73,100.0,20012
20,14,149,149,100.0,20014
20,17,93,93,100.0,20017
20,23,156,156,100.0,20023
20,27,72,72,100.0,20027
20,31,125,125,100.0,20031
20,33,140,140,100.0,20033
20,37,141,141,100.0,20037
20,42,92,92,100.0,20042
20,46,72,72,100.0,20046
25,14,62,62,100.0,25014
25,16,41,41,100.0,25016
25,18,65,65,100.0,25018
27,5,17,17,100.0,27005
27,6,69,69,100.0,27006
27,9,133,133,100.0,27009
27,12,54,54,100.0,27012
27,16,20,20,100.0,27016
27,20,188,188,100.0,27020
27,21,83,83,100.0,27021
27,28,102,102,100.0,27028
27,37,67,67,100.0,27037
27,39,62,62,100.0,27039
27,42,45,45,100.0,27042
27,43,64,64,100.0,27043
27,51,52,52,100.0,27051
42,3,54,54,100.0,42003
42,4,77,77,100.0,42004
42,9,63,63,100.0,42009
42,17,75,75,100.0,42017
42,19,28,28,100.0,42019
42,20,51,51,100.0,42020
42,22,66,66,100.0,42022
42,24,85,85,100.0,42024
42,27,142,142,100.0,42027
42,32,115,115,100.0,42032
42,39,99,99,100.0,42039
42,45,81,81,100.0,42045
42,46,58,58,100.0,42046
42,49,47,47,100.0,42049
42,55,80,80,100.0,42055
42,56,78,78,100.0,42056
42,57,65,65,100.0,42057
42,58,36,36,100.0,42058
42,59,15,15,100.0,42059
42,60,58,58,100.0,42060
42,61,8,8,100.0,42061
43,13,36,36,100.0,43013
43,19,46,46,100.0,43019
43,30,43,43,100.0,43030
43,37,64,64,100.0,43037
43,51,102,102,100.0,43051
43,54,54,54,100.0,43054
43,55,21,21,100.0,43055
