ward,precinct,total,Mary Colleen Roberts,Mary Colleen Roberts Percent,Lawrence Andolino,Lawrence Andolino Percent,precinct_id
29,2,88,54,61.36,34,38.64,29002
29,6,62,38,61.29,24,38.71,29006
29,7,57,39,68.42,18,31.58,29007
29,9,72,32,44.44,40,55.56,29009
29,12,193,114,59.07,79,40.93,29012
29,15,183,117,63.93,66,36.07,29015
29,17,131,70,53.44,61,46.56,29017
29,24,70,47,67.14,23,32.86,29024
29,25,170,49,28.82,121,71.18,29025
29,30,77,40,51.95,37,48.05,29030
29,32,76,44,57.89,32,42.11,29032
29,36,172,69,40.12,103,59.88,29036
29,39,77,49,63.64,28,36.36,29039
29,48,131,83,63.36,48,36.64,29048
29,49,205,97,47.32,108,52.68,29049
29,52,67,42,62.69,25,37.31,29052
30,2,89,57,64.04,32,35.96,30002
30,6,60,42,70.0,18,30.0,30006
30,7,62,38,61.29,24,38.71,30007
30,8,93,61,65.59,32,34.41,30008
30,9,146,40,27.4,106,72.6,30009
30,10,63,45,71.43,18,28.57,30010
30,11,52,39,75.0,13,25.0,30011
30,12,63,40,63.49,23,36.51,30012
30,13,64,44,68.75,20,31.25,30013
30,14,21,13,61.9,8,38.1,30014
30,16,83,51,61.45,32,38.55,30016
30,17,62,35,56.45,27,43.55,30017
30,18,59,41,69.49,18,30.51,30018
30,25,52,35,67.31,17,32.69,30025
30,28,75,48,64.0,27,36.0,30028
30,30,103,67,65.05,36,34.95,30030
30,34,110,70,63.64,40,36.36,30034
30,36,51,36,70.59,15,29.41,30036
30,37,68,39,57.35,29,42.65,30037
30,38,110,76,69.09,34,30.91,30038
30,39,81,54,66.67,27,33.33,30039
31,3,82,41,50.0,41,50.0,31003
31,8,64,43,67.19,21,32.81,31008
31,9,50,37,74.0,13,26.0,31009
31,15,36,22,61.11,14,38.89,31015
31,16,38,29,76.32,9,23.68,31016
31,18,2,2,,0,,31018
31,26,42,30,71.43,12,28.57,31026
31,29,54,30,55.56,24,44.44,31029
31,38,49,28,57.14,21,42.86,31038
31,43,77,42,54.55,35,45.45,31043
31,45,58,27,46.55,31,53.45,31045
35,11,33,25,75.76,8,24.24,35011
35,13,24,16,66.67,8,33.33,35013
35,33,53,38,71.7,15,28.3,35033
36,1,137,38,27.74,99,72.26,36001
36,2,124,45,36.29,79,63.71,36002
36,3,220,67,30.45,153,69.55,36003
36,4,58,42,72.41,16,27.59,36004
36,5,93,34,36.56,59,63.44,36005
36,6,117,55,47.01,62,52.99,36006
36,7,82,41,50.0,41,50.0,36007
36,8,124,45,36.29,79,63.71,36008
36,9,110,49,44.55,61,55.45,36009
36,10,76,43,56.58,33,43.42,36010
36,11,170,44,25.88,126,74.12,36011
