ward,precinct,total,Dean T. Maragos,Dean T. Maragos Percent,Debra Shore,Debra Shore Percent,Patricia Horton,Patricia Horton Percent,Terrence J. O'Brien,Terrence J. O'Brien Percent,James ''Jim'' Harris,James ''Jim'' Harris Percent,Barrett F. Pedersen,Barrett F. Pedersen Percent,Boguslaw ''Bogie'' Stefanski,Boguslaw ''Bogie'' Stefanski Percent,"Lewis W. Powell, III","Lewis W. Powell, III Percent",Frank Avila,Frank Avila Percent,precinct_id
6,40,201,11,5.47,46,22.89,29,14.43,20,9.95,31,15.42,10,4.98,3,1.49,36,17.91,15,7.46,06040
6,41,489,20,4.09,73,14.93,104,21.27,35,7.16,91,18.61,15,3.07,6,1.23,106,21.68,39,7.98,06041
6,42,156,9,5.77,28,17.95,36,23.08,10,6.41,27,17.31,5,3.21,2,1.28,30,19.23,9,5.77,06042
6,43,444,32,7.21,74,16.67,98,22.07,38,8.56,70,15.77,18,4.05,1,0.23,74,16.67,39,8.78,06043
6,44,423,23,5.44,84,19.86,83,19.62,27,6.38,64,15.13,12,2.84,3,0.71,89,21.04,38,8.98,06044
6,45,323,21,6.5,56,17.34,67,20.74,24,7.43,39,12.07,18,5.57,4,1.24,63,19.5,31,9.6,06045
6,46,438,20,4.57,85,19.41,98,22.37,26,5.94,69,15.75,14,3.2,3,0.68,75,17.12,48,10.96,06046
6,47,521,25,4.8,101,19.39,106,20.35,35,6.72,85,16.31,14,2.69,4,0.77,96,18.43,55,10.56,06047
6,48,433,25,5.77,85,19.63,72,16.63,27,6.24,79,18.24,15,3.46,6,1.39,78,18.01,46,10.62,06048
6,49,399,36,9.02,72,18.05,68,17.04,29,7.27,69,17.29,21,5.26,3,0.75,60,15.04,41,10.28,06049
6,50,521,39,7.49,84,16.12,94,18.04,30,5.76,88,16.89,23,4.41,7,1.34,89,17.08,67,12.86,06050
6,51,277,12,4.33,60,21.66,60,21.66,21,7.58,46,16.61,11,3.97,1,0.36,39,14.08,27,9.75,06051
6,52,330,20,,68,,76,,22,,50,,17,,0,,50,,27,,06052
6,53,416,25,6.01,79,18.99,75,18.03,29,6.97,60,14.42,15,3.61,8,1.92,78,18.75,47,11.3,06053
6,54,464,15,3.23,94,20.26,96,20.69,30,6.47,78,16.81,18,3.88,6,1.29,93,20.04,34,7.33,06054
6,55,353,20,5.67,63,17.85,68,19.26,25,7.08,53,15.01,14,3.97,3,0.85,61,17.28,46,13.03,06055
6,56,308,23,7.47,53,17.21,47,15.26,22,7.14,56,18.18,20,6.49,4,1.3,48,15.58,35,11.36,06056
6,57,232,15,6.47,50,21.55,53,22.84,13,5.6,32,13.79,10,4.31,2,0.86,35,15.09,22,9.48,06057
6,58,559,33,5.9,94,16.82,95,16.99,47,8.41,100,17.89,25,4.47,12,2.15,89,15.92,64,11.45,06058
6,59,458,38,8.3,86,18.78,89,19.43,39,8.52,70,15.28,25,5.46,5,1.09,64,13.97,42,9.17,06059
6,60,320,24,7.5,64,20.0,67,20.94,13,4.06,40,12.5,12,3.75,5,1.56,60,18.75,35,10.94,06060
6,61,290,11,3.79,58,20.0,54,18.62,20,6.9,52,17.93,8,2.76,2,0.69,57,19.66,28,9.66,06061
6,62,372,22,5.91,61,16.4,64,17.2,27,7.26,75,20.16,31,8.33,2,0.54,50,13.44,40,10.75,06062
6,63,424,20,4.72,80,18.87,87,20.52,43,10.14,52,12.26,13,3.07,2,0.47,84,19.81,43,10.14,06063
6,64,626,38,6.07,114,18.21,106,16.93,43,6.87,119,19.01,29,4.63,9,1.44,109,17.41,59,9.42,06064
7,1,564,51,9.04,88,15.6,103,18.26,54,9.57,91,16.13,35,6.21,4,0.71,86,15.25,52,9.22,07001
7,2,546,38,6.96,86,15.75,83,15.2,69,12.64,97,17.77,58,10.62,10,1.83,60,10.99,45,8.24,07002
