ward,precinct,total,Carrie Austin,Carrie Austin Percent,precinct_id
5,1,161,161,100.0,05001
5,4,119,119,100.0,05004
5,6,185,185,100.0,05006
5,7,160,160,100.0,05007
5,11,129,129,100.0,05011
5,14,185,185,100.0,05014
5,21,197,197,100.0,05021
5,24,161,161,100.0,05024
5,26,173,173,100.0,05026
5,28,155,155,100.0,05028
5,29,163,163,100.0,05029
5,31,128,128,100.0,05031
5,32,259,259,100.0,05032
5,34,155,155,100.0,05034
5,36,80,80,100.0,05036
5,37,119,119,100.0,05037
5,38,144,144,100.0,05038
5,40,139,139,100.0,05040
5,42,164,164,100.0,05042
5,43,176,176,100.0,05043
5,44,186,186,100.0,05044
5,46,146,146,100.0,05046
5,47,110,110,100.0,05047
5,49,34,34,100.0,05049
5,54,232,232,100.0,05054
6,21,176,176,100.0,06021
6,22,159,159,100.0,06022
6,64,219,219,100.0,06064
7,1,204,204,100.0,07001
7,2,202,202,100.0,07002
7,3,97,97,100.0,07003
7,4,121,121,100.0,07004
7,5,115,115,100.0,07005
7,6,123,123,100.0,07006
7,7,84,84,100.0,07007
7,8,51,51,100.0,07008
7,9,152,152,100.0,07009
7,10,101,101,100.0,07010
7,11,162,162,100.0,07011
7,12,114,114,100.0,07012
7,13,109,109,100.0,07013
7,14,161,161,100.0,07014
7,15,79,79,100.0,07015
7,16,124,124,100.0,07016
7,17,97,97,100.0,07017
7,18,94,94,100.0,07018
7,19,218,218,100.0,07019
7,20,70,70,100.0,07020
7,21,143,143,100.0,07021
7,22,116,116,100.0,07022
7,23,95,95,100.0,07023
7,24,154,154,100.0,07024
7,25,181,181,100.0,07025
7,26,182,182,100.0,07026
7,27,224,224,100.0,07027
7,28,150,150,100.0,07028
7,29,106,106,100.0,07029
7,30,172,172,100.0,07030
7,31,179,179,100.0,07031
7,32,122,122,100.0,07032
7,33,138,138,100.0,07033
7,34,131,131,100.0,07034
7,35,74,74,100.0,07035
7,36,207,207,100.0,07036
7,37,60,60,100.0,07037
7,38,115,115,100.0,07038
7,39,121,121,100.0,07039
7,40,163,163,100.0,07040
7,41,122,122,100.0,07041
7,42,222,222,100.0,07042
7,43,153,153,100.0,07043
7,44,180,180,100.0,07044
7,45,240,240,100.0,07045
7,46,85,85,100.0,07046
7,47,132,132,100.0,07047
7,48,58,58,100.0,07048
7,49,97,97,100.0,07049
7,50,105,105,100.0,07050
7,51,152,152,100.0,07051
7,52,109,109,100.0,07052
7,53,127,127,100.0,07053
7,54,62,62,100.0,07054
7,55,140,140,100.0,07055
7,56,103,103,100.0,07056
7,57,136,136,100.0,07057
7,58,220,220,100.0,07058
7,59,73,73,100.0,07059
7,60,109,109,100.0,07060
7,61,144,144,100.0,07061
7,62,144,144,100.0,07062
7,63,114,114,100.0,07063
7,64,119,119,100.0,07064
7,65,140,140,100.0,07065
8,3,141,141,100.0,08003
8,4,176,176,100.0,08004
8,5,240,240,100.0,08005
8,7,130,130,100.0,08007
8,8,226,226,100.0,08008
8,9,240,240,100.0,08009
8,15,137,137,100.0,08015
8,17,146,146,100.0,08017
8,19,226,226,100.0,08019
8,23,157,157,100.0,08023
8,24,202,202,100.0,08024
8,25,171,171,100.0,08025
8,26,103,103,100.0,08026
8,27,198,198,100.0,08027
8,28,171,171,100.0,08028
8,32,269,269,100.0,08032
8,34,224,224,100.0,08034
8,36,158,158,100.0,08036
8,39,206,206,100.0,08039
8,42,165,165,100.0,08042
8,44,143,143,100.0,08044
8,46,146,146,100.0,08046
8,47,167,167,100.0,08047
8,49,211,211,100.0,08049
8,50,169,169,100.0,08050
8,51,214,214,100.0,08051
8,57,105,105,100.0,08057
8,60,146,146,100.0,08060
8,62,177,177,100.0,08062
8,63,208,208,100.0,08063
8,65,116,116,100.0,08065
8,66,224,224,100.0,08066
8,70,205,205,100.0,08070
9,1,223,223,100.0,09001
9,2,189,189,100.0,09002
9,3,71,71,100.0,09003
9,4,195,195,100.0,09004
9,5,153,153,100.0,09005
9,6,180,180,100.0,09006
9,7,176,176,100.0,09007
9,8,182,182,100.0,09008
9,9,194,194,100.0,09009
9,10,172,172,100.0,09010
9,11,112,112,100.0,09011
9,12,171,171,100.0,09012
9,13,235,235,100.0,09013
9,14,207,207,100.0,09014
9,15,133,133,100.0,09015
9,16,110,110,100.0,09016
9,17,187,187,100.0,09017
9,18,201,201,100.0,09018
9,19,198,198,100.0,09019
9,20,211,211,100.0,09020
9,21,164,164,100.0,09021
9,22,214,214,100.0,09022
9,23,125,125,100.0,09023
9,24,75,75,100.0,09024
9,25,93,93,100.0,09025
9,26,85,85,100.0,09026
9,27,140,140,100.0,09027
9,28,95,95,100.0,09028
9,29,149,149,100.0,09029
9,30,145,145,100.0,09030
9,31,136,136,100.0,09031
9,32,163,163,100.0,09032
9,33,110,110,100.0,09033
9,34,140,140,100.0,09034
9,35,226,226,100.0,09035
9,37,176,176,100.0,09037
9,38,98,98,100.0,09038
9,39,189,189,100.0,09039
9,40,198,198,100.0,09040
9,41,184,184,100.0,09041
9,42,77,77,100.0,09042
9,43,108,108,100.0,09043
9,44,101,101,100.0,09044
9,45,172,172,100.0,09045
9,46,139,139,100.0,09046
9,48,207,207,100.0,09048
9,49,104,104,100.0,09049
9,50,145,145,100.0,09050
9,51,102,102,100.0,09051
9,52,200,200,100.0,09052
10,1,110,110,100.0,10001
10,2,80,80,100.0,10002
10,3,131,131,100.0,10003
10,4,81,81,100.0,10004
10,5,102,102,100.0,10005
10,6,134,134,100.0,10006
10,7,29,29,100.0,10007
10,8,99,99,100.0,10008
10,9,96,96,100.0,10009
10,10,91,91,100.0,10010
10,11,93,93,100.0,10011
10,12,80,80,100.0,10012
10,13,97,97,100.0,10013
10,14,102,102,100.0,10014
10,15,38,38,100.0,10015
10,16,116,116,100.0,10016
10,17,71,71,100.0,10017
10,18,79,79,100.0,10018
10,19,119,119,100.0,10019
10,20,66,66,100.0,10020
10,21,85,85,100.0,10021
10,22,23,23,100.0,10022
10,23,91,91,100.0,10023
10,24,79,79,100.0,10024
10,25,129,129,100.0,10025
10,26,78,78,100.0,10026
10,27,128,128,100.0,10027
10,28,99,99,100.0,10028
10,29,125,125,100.0,10029
10,30,107,107,100.0,10030
10,31,83,83,100.0,10031
10,32,85,85,100.0,10032
10,33,88,88,100.0,10033
10,34,95,95,100.0,10034
10,35,100,100,100.0,10035
10,36,132,132,100.0,10036
10,37,86,86,100.0,10037
10,38,103,103,100.0,10038
10,39,95,95,100.0,10039
10,40,84,84,100.0,10040
10,41,108,108,100.0,10041
10,42,82,82,100.0,10042
10,43,48,48,100.0,10043
10,44,85,85,100.0,10044
10,45,46,46,100.0,10045
10,46,98,98,100.0,10046
10,47,92,92,100.0,10047
10,48,92,92,100.0,10048
10,49,91,91,100.0,10049
34,1,329,329,100.0,34001
34,2,224,224,100.0,34002
34,3,221,221,100.0,34003
34,4,187,187,100.0,34004
34,5,193,193,100.0,34005
34,6,120,120,100.0,34006
34,7,295,295,100.0,34007
34,9,145,145,100.0,34009
34,10,205,205,100.0,34010
34,11,153,153,100.0,34011
34,12,202,202,100.0,34012
34,14,164,164,100.0,34014
34,15,147,147,100.0,34015
34,16,123,123,100.0,34016
34,17,158,158,100.0,34017
34,18,176,176,100.0,34018
34,20,239,239,100.0,34020
34,21,262,262,100.0,34021
34,22,253,253,100.0,34022
34,23,165,165,100.0,34023
34,24,187,187,100.0,34024
34,25,221,221,100.0,34025
34,26,137,137,100.0,34026
34,27,139,139,100.0,34027
34,28,132,132,100.0,34028
34,29,201,201,100.0,34029
34,30,244,244,100.0,34030
34,31,73,73,100.0,34031
34,32,277,277,100.0,34032
34,34,272,272,100.0,34034
34,35,238,238,100.0,34035
34,36,212,212,100.0,34036
34,37,167,167,100.0,34037
34,38,148,148,100.0,34038
34,39,114,114,100.0,34039
34,40,194,194,100.0,34040
34,41,131,131,100.0,34041
34,42,225,225,100.0,34042
34,43,274,274,100.0,34043
34,44,264,264,100.0,34044
34,46,183,183,100.0,34046
34,48,265,265,100.0,34048
34,49,297,297,100.0,34049
34,50,170,170,100.0,34050
34,52,133,133,100.0,34052
34,53,140,140,100.0,34053
34,54,161,161,100.0,34054
34,56,88,88,100.0,34056
34,59,179,179,100.0,34059
