ward,precinct,total,Milton ''Milt'' Patterson,Milton ''Milt'' Patterson Percent,precinct_id
6,4,109,109,100.0,06004
6,5,98,98,100.0,06005
6,6,164,164,100.0,06006
6,7,195,195,100.0,06007
6,11,169,169,100.0,06011
6,12,126,126,100.0,06012
6,15,114,114,100.0,06015
6,18,75,75,100.0,06018
6,20,191,191,100.0,06020
6,30,136,136,100.0,06030
6,32,177,177,100.0,06032
6,33,213,213,100.0,06033
6,36,90,90,100.0,06036
6,40,96,96,100.0,06040
6,48,160,160,100.0,06048
6,61,113,113,100.0,06061
6,62,148,148,100.0,06062
13,19,130,130,100.0,13019
13,26,105,105,100.0,13026
13,30,151,151,100.0,13030
13,47,119,119,100.0,13047
15,1,10,10,100.0,15001
15,6,80,80,100.0,15006
15,7,91,91,100.0,15007
15,8,124,124,100.0,15008
15,9,99,99,100.0,15009
15,11,89,89,100.0,15011
15,12,47,47,100.0,15012
15,13,54,54,100.0,15013
15,14,113,113,100.0,15014
15,15,65,65,100.0,15015
15,21,111,111,100.0,15021
15,25,64,64,100.0,15025
15,27,77,77,100.0,15027
15,28,84,84,100.0,15028
15,30,5,5,100.0,15030
15,32,77,77,100.0,15032
15,34,79,79,100.0,15034
15,41,123,123,100.0,15041
15,42,52,52,100.0,15042
15,44,76,76,100.0,15044
15,45,48,48,100.0,15045
15,46,77,77,100.0,15046
15,47,112,112,100.0,15047
15,49,44,44,100.0,15049
15,51,63,63,100.0,15051
16,35,58,58,100.0,16035
16,41,57,57,100.0,16041
17,1,82,82,100.0,17001
17,6,97,97,100.0,17006
17,8,119,119,100.0,17008
17,11,51,51,100.0,17011
17,13,61,61,100.0,17013
17,14,88,88,100.0,17014
17,16,104,104,100.0,17016
17,17,88,88,100.0,17017
17,19,47,47,100.0,17019
17,34,103,103,100.0,17034
17,36,79,79,100.0,17036
17,39,87,87,100.0,17039
17,40,36,36,100.0,17040
17,41,102,102,100.0,17041
17,42,98,98,100.0,17042
17,43,99,99,100.0,17043
17,45,69,69,100.0,17045
17,46,123,123,100.0,17046
17,49,104,104,100.0,17049
17,56,130,130,100.0,17056
17,58,96,96,100.0,17058
17,59,51,51,100.0,17059
17,60,185,185,100.0,17060
17,62,111,111,100.0,17062
17,63,63,63,100.0,17063
17,64,83,83,100.0,17064
18,1,87,87,100.0,18001
18,2,155,155,100.0,18002
18,5,143,143,100.0,18005
18,11,150,150,100.0,18011
18,15,80,80,100.0,18015
18,17,128,128,100.0,18017
18,21,230,230,100.0,18021
18,23,146,146,100.0,18023
18,27,126,126,100.0,18027
18,29,166,166,100.0,18029
18,31,125,125,100.0,18031
18,33,136,136,100.0,18033
18,39,124,124,100.0,18039
18,42,85,85,100.0,18042
18,43,98,98,100.0,18043
18,44,86,86,100.0,18044
18,47,111,111,100.0,18047
18,49,111,111,100.0,18049
18,50,152,152,100.0,18050
18,56,125,125,100.0,18056
18,57,119,119,100.0,18057
18,58,140,140,100.0,18058
18,59,102,102,100.0,18059
18,62,104,104,100.0,18062
20,10,103,103,100.0,20010
20,18,38,38,100.0,20018
20,25,75,75,100.0,20025
20,28,144,144,100.0,20028
20,30,126,126,100.0,20030
20,35,67,67,100.0,20035
20,49,109,109,100.0,20049
