ward,precinct,total,James A. DeLeo,James A. DeLeo Percent,precinct_id
1,28,2,2,100.0,01028
1,42,2,2,100.0,01042
29,2,82,82,100.0,29002
29,9,70,70,100.0,29009
29,24,67,67,100.0,29024
29,30,80,80,100.0,29030
29,32,85,85,100.0,29032
30,1,110,110,100.0,30001
30,2,84,84,100.0,30002
30,3,120,120,100.0,30003
30,6,56,56,100.0,30006
30,7,67,67,100.0,30007
30,8,88,88,100.0,30008
30,9,126,126,100.0,30009
30,10,61,61,100.0,30010
30,11,51,51,100.0,30011
30,12,64,64,100.0,30012
30,13,63,63,100.0,30013
30,14,23,23,100.0,30014
30,15,114,114,100.0,30015
30,16,79,79,100.0,30016
30,17,40,40,100.0,30017
30,25,34,34,100.0,30025
30,28,75,75,100.0,30028
30,30,108,108,100.0,30030
30,34,113,113,100.0,30034
30,37,71,71,100.0,30037
30,38,121,121,100.0,30038
30,39,84,84,100.0,30039
30,40,65,65,100.0,30040
31,3,74,74,100.0,31003
31,8,64,64,100.0,31008
31,9,65,65,100.0,31009
31,15,36,36,100.0,31015
31,16,24,24,100.0,31016
31,19,62,62,100.0,31019
31,26,43,43,100.0,31026
31,28,56,56,100.0,31028
31,29,57,57,100.0,31029
31,32,79,79,100.0,31032
31,33,61,61,100.0,31033
31,35,42,42,100.0,31035
31,38,47,47,100.0,31038
31,41,47,47,100.0,31041
31,43,76,76,100.0,31043
31,45,47,47,100.0,31045
31,46,53,53,100.0,31046
31,47,77,77,100.0,31047
31,48,66,66,100.0,31048
31,50,63,63,100.0,31050
32,7,42,42,100.0,32007
32,8,95,95,100.0,32008
32,9,134,134,100.0,32009
32,10,70,70,100.0,32010
32,13,27,27,100.0,32013
32,15,58,58,100.0,32015
32,18,54,54,100.0,32018
32,19,80,80,100.0,32019
32,20,80,80,100.0,32020
32,21,71,71,100.0,32021
32,22,98,98,100.0,32022
32,23,96,96,100.0,32023
32,24,64,64,100.0,32024
32,25,69,69,100.0,32025
32,27,72,72,100.0,32027
32,30,52,52,100.0,32030
32,32,60,60,100.0,32032
32,37,61,61,100.0,32037
32,38,73,73,100.0,32038
32,39,89,89,100.0,32039
32,40,89,89,100.0,32040
32,41,93,93,100.0,32041
32,42,101,101,100.0,32042
32,43,90,90,100.0,32043
32,44,92,92,100.0,32044
32,45,76,76,100.0,32045
32,47,86,86,100.0,32047
32,48,95,95,100.0,32048
32,49,47,47,100.0,32049
32,50,5,5,100.0,32050
33,5,90,90,100.0,33005
33,7,206,206,100.0,33007
33,9,140,140,100.0,33009
33,10,209,209,100.0,33010
33,14,84,84,100.0,33014
33,18,37,37,100.0,33018
33,22,122,122,100.0,33022
