ward,precinct,total,Orville E. Hambright,Orville E. Hambright Percent,precinct_id
5,12,93,93,100.0,05012
5,50,21,21,100.0,05050
6,1,224,224,100.0,06001
6,2,201,201,100.0,06002
6,3,196,196,100.0,06003
6,4,106,106,100.0,06004
6,5,83,83,100.0,06005
6,6,140,140,100.0,06006
6,8,206,206,100.0,06008
6,9,147,147,100.0,06009
6,10,237,237,100.0,06010
6,11,172,172,100.0,06011
6,12,119,119,100.0,06012
6,13,148,148,100.0,06013
6,14,146,146,100.0,06014
6,16,185,185,100.0,06016
6,17,206,206,100.0,06017
6,19,168,168,100.0,06019
6,21,162,162,100.0,06021
6,22,154,154,100.0,06022
6,23,129,129,100.0,06023
6,24,202,202,100.0,06024
6,25,128,128,100.0,06025
6,26,176,176,100.0,06026
6,27,224,224,100.0,06027
6,28,313,313,100.0,06028
6,29,210,210,100.0,06029
6,31,192,192,100.0,06031
6,34,141,141,100.0,06034
6,35,161,161,100.0,06035
6,36,82,82,100.0,06036
6,37,199,199,100.0,06037
6,38,167,167,100.0,06038
6,39,84,84,100.0,06039
6,40,81,81,100.0,06040
6,41,177,177,100.0,06041
6,42,71,71,100.0,06042
6,43,164,164,100.0,06043
6,44,165,165,100.0,06044
6,45,112,112,100.0,06045
6,46,154,154,100.0,06046
6,47,184,184,100.0,06047
6,49,149,149,100.0,06049
6,50,181,181,100.0,06050
6,51,108,108,100.0,06051
6,52,113,113,100.0,06052
6,53,147,147,100.0,06053
6,54,155,155,100.0,06054
6,55,125,125,100.0,06055
6,56,115,115,100.0,06056
6,57,87,87,100.0,06057
6,58,197,197,100.0,06058
6,59,166,166,100.0,06059
6,60,114,114,100.0,06060
6,63,137,137,100.0,06063
6,64,202,202,100.0,06064
7,1,191,191,100.0,07001
7,2,197,197,100.0,07002
7,3,80,80,100.0,07003
7,4,114,114,100.0,07004
7,5,103,103,100.0,07005
7,6,120,120,100.0,07006
7,7,82,82,100.0,07007
7,8,49,49,100.0,07008
7,10,90,90,100.0,07010
7,12,105,105,100.0,07012
7,13,105,105,100.0,07013
7,14,150,150,100.0,07014
7,15,73,73,100.0,07015
7,16,113,113,100.0,07016
7,17,88,88,100.0,07017
7,18,94,94,100.0,07018
7,19,200,200,100.0,07019
7,20,64,64,100.0,07020
7,21,125,125,100.0,07021
7,22,107,107,100.0,07022
7,23,87,87,100.0,07023
7,24,140,140,100.0,07024
7,25,168,168,100.0,07025
7,26,172,172,100.0,07026
7,27,209,209,100.0,07027
7,28,122,122,100.0,07028
7,29,100,100,100.0,07029
7,30,171,171,100.0,07030
7,31,171,171,100.0,07031
7,32,104,104,100.0,07032
7,33,130,130,100.0,07033
7,34,126,126,100.0,07034
7,36,185,185,100.0,07036
7,37,58,58,100.0,07037
7,38,104,104,100.0,07038
7,39,113,113,100.0,07039
7,41,112,112,100.0,07041
7,42,192,192,100.0,07042
7,43,139,139,100.0,07043
7,46,74,74,100.0,07046
7,47,113,113,100.0,07047
7,48,54,54,100.0,07048
7,49,83,83,100.0,07049
7,51,143,143,100.0,07051
7,52,96,96,100.0,07052
7,53,120,120,100.0,07053
7,54,45,45,100.0,07054
7,55,125,125,100.0,07055
7,56,92,92,100.0,07056
7,57,122,122,100.0,07057
7,58,201,201,100.0,07058
7,59,73,73,100.0,07059
7,60,94,94,100.0,07060
7,61,139,139,100.0,07061
7,62,124,124,100.0,07062
7,63,99,99,100.0,07063
7,65,132,132,100.0,07065
8,1,189,189,100.0,08001
8,2,94,94,100.0,08002
8,3,232,232,100.0,08003
8,4,165,165,100.0,08004
8,5,234,234,100.0,08005
8,6,178,178,100.0,08006
8,7,122,122,100.0,08007
8,8,197,197,100.0,08008
8,9,236,236,100.0,08009
8,10,227,227,100.0,08010
8,11,153,153,100.0,08011
8,12,140,140,100.0,08012
8,13,123,123,100.0,08013
8,14,111,111,100.0,08014
8,15,124,124,100.0,08015
8,16,205,205,100.0,08016
8,17,141,141,100.0,08017
8,18,83,83,100.0,08018
8,19,235,235,100.0,08019
8,20,125,125,100.0,08020
8,21,116,116,100.0,08021
8,22,127,127,100.0,08022
8,23,150,150,100.0,08023
8,24,179,179,100.0,08024
8,25,164,164,100.0,08025
8,26,102,102,100.0,08026
8,27,207,207,100.0,08027
8,28,160,160,100.0,08028
8,29,189,189,100.0,08029
8,30,133,133,100.0,08030
8,31,101,101,100.0,08031
8,32,245,245,100.0,08032
8,33,157,157,100.0,08033
8,34,200,200,100.0,08034
8,35,190,190,100.0,08035
8,36,146,146,100.0,08036
8,37,180,180,100.0,08037
8,38,143,143,100.0,08038
8,39,183,183,100.0,08039
8,40,174,174,100.0,08040
8,41,130,130,100.0,08041
8,42,156,156,100.0,08042
8,43,111,111,100.0,08043
8,44,139,139,100.0,08044
8,45,132,132,100.0,08045
8,46,143,143,100.0,08046
8,47,149,149,100.0,08047
8,48,150,150,100.0,08048
8,49,206,206,100.0,08049
8,50,162,162,100.0,08050
8,51,203,203,100.0,08051
8,52,201,201,100.0,08052
8,53,195,195,100.0,08053
8,54,181,181,100.0,08054
8,55,120,120,100.0,08055
8,56,186,186,100.0,08056
8,58,197,197,100.0,08058
8,59,91,91,100.0,08059
8,60,143,143,100.0,08060
8,61,150,150,100.0,08061
8,62,175,175,100.0,08062
8,63,199,199,100.0,08063
8,64,122,122,100.0,08064
8,65,112,112,100.0,08065
8,66,197,197,100.0,08066
8,67,73,73,100.0,08067
8,68,82,82,100.0,08068
8,69,102,102,100.0,08069
9,13,196,196,100.0,09013
9,35,203,203,100.0,09035
9,36,157,157,100.0,09036
9,47,186,186,100.0,09047
9,52,177,177,100.0,09052
10,1,79,79,100.0,10001
10,2,68,68,100.0,10002
10,3,106,106,100.0,10003
10,4,74,74,100.0,10004
10,5,73,73,100.0,10005
10,6,116,116,100.0,10006
10,7,25,25,100.0,10007
10,8,83,83,100.0,10008
10,9,73,73,100.0,10009
10,10,66,66,100.0,10010
10,11,87,87,100.0,10011
10,12,67,67,100.0,10012
10,13,71,71,100.0,10013
10,14,83,83,100.0,10014
10,15,32,32,100.0,10015
10,16,83,83,100.0,10016
10,17,58,58,100.0,10017
10,18,69,69,100.0,10018
10,19,105,105,100.0,10019
10,20,55,55,100.0,10020
10,21,68,68,100.0,10021
10,22,15,15,100.0,10022
10,23,78,78,100.0,10023
10,24,76,76,100.0,10024
10,25,99,99,100.0,10025
10,26,62,62,100.0,10026
10,27,105,105,100.0,10027
10,28,81,81,100.0,10028
10,29,112,112,100.0,10029
10,30,80,80,100.0,10030
10,31,73,73,100.0,10031
10,32,71,71,100.0,10032
10,33,66,66,100.0,10033
10,34,83,83,100.0,10034
10,35,86,86,100.0,10035
10,36,104,104,100.0,10036
10,37,78,78,100.0,10037
10,38,79,79,100.0,10038
10,39,76,76,100.0,10039
10,40,65,65,100.0,10040
10,41,94,94,100.0,10041
10,42,76,76,100.0,10042
10,43,43,43,100.0,10043
10,44,67,67,100.0,10044
10,45,42,42,100.0,10045
10,46,79,79,100.0,10046
10,47,75,75,100.0,10047
10,48,79,79,100.0,10048
10,49,78,78,100.0,10049
17,2,85,85,100.0,17002
17,3,72,72,100.0,17003
17,4,177,177,100.0,17004
17,5,86,86,100.0,17005
17,7,145,145,100.0,17007
17,9,83,83,100.0,17009
17,10,108,108,100.0,17010
17,12,147,147,100.0,17012
17,15,93,93,100.0,17015
17,18,136,136,100.0,17018
17,20,88,88,100.0,17020
17,21,173,173,100.0,17021
17,22,127,127,100.0,17022
17,23,95,95,100.0,17023
17,24,106,106,100.0,17024
17,25,70,70,100.0,17025
17,26,137,137,100.0,17026
17,27,145,145,100.0,17027
17,28,90,90,100.0,17028
17,29,137,137,100.0,17029
17,30,133,133,100.0,17030
17,31,103,103,100.0,17031
17,33,88,88,100.0,17033
17,35,72,72,100.0,17035
17,37,76,76,100.0,17037
17,38,113,113,100.0,17038
17,44,72,72,100.0,17044
17,47,61,61,100.0,17047
17,48,129,129,100.0,17048
17,50,88,88,100.0,17050
17,51,137,137,100.0,17051
17,52,139,139,100.0,17052
17,53,102,102,100.0,17053
17,54,133,133,100.0,17054
17,55,101,101,100.0,17055
18,20,155,155,100.0,18020
18,30,105,105,100.0,18030
18,38,202,202,100.0,18038
18,51,196,196,100.0,18051
18,52,156,156,100.0,18052
18,53,120,120,100.0,18053
18,60,170,170,100.0,18060
18,61,148,148,100.0,18061
21,2,146,146,100.0,21002
21,15,116,116,100.0,21015
21,16,146,146,100.0,21016
21,29,80,80,100.0,21029
21,32,136,136,100.0,21032
21,34,191,191,100.0,21034
21,35,15,15,100.0,21035
21,36,130,130,100.0,21036
21,37,84,84,100.0,21037
21,39,114,114,100.0,21039
21,41,126,126,100.0,21041
21,52,159,159,100.0,21052
21,57,123,123,100.0,21057
21,62,163,163,100.0,21062
21,65,232,232,100.0,21065
21,67,132,132,100.0,21067
21,68,18,18,100.0,21068
21,69,120,120,100.0,21069
21,70,154,154,100.0,21070
21,71,12,12,100.0,21071
21,72,128,128,100.0,21072
21,73,187,187,100.0,21073
21,74,46,46,100.0,21074
