ward,precinct,total,John T. Kelly,John T. Kelly Percent,John P. Sullivan,John P. Sullivan Percent,Daniel William Lipinski,Daniel William Lipinski Percent,precinct_id
3,51,47,11,23.4,17,36.17,19,40.43,03051
11,1,180,30,16.67,30,16.67,120,66.67,11001
11,2,126,29,23.02,33,26.19,64,50.79,11002
11,4,170,45,26.47,21,12.35,104,61.18,11004
11,5,87,19,21.84,22,25.29,46,52.87,11005
11,6,181,50,27.62,57,31.49,74,40.88,11006
11,7,164,28,17.07,23,14.02,113,68.9,11007
11,8,172,30,17.44,35,20.35,107,62.21,11008
11,9,117,16,13.68,20,17.09,81,69.23,11009
11,11,188,44,23.4,38,20.21,106,56.38,11011
11,12,212,47,22.17,24,11.32,141,66.51,11012
11,13,158,27,17.09,16,10.13,115,72.78,11013
11,15,154,60,38.96,19,12.34,75,48.7,11015
11,16,175,32,18.29,21,12.0,122,69.71,11016
11,17,193,54,27.98,35,18.13,104,53.89,11017
11,18,99,19,19.19,15,15.15,65,65.66,11018
11,19,112,24,21.43,20,17.86,68,60.71,11019
11,20,159,17,10.69,25,15.72,117,73.58,11020
11,21,225,38,16.89,31,13.78,156,69.33,11021
11,22,142,25,17.61,16,11.27,101,71.13,11022
11,23,137,13,9.49,24,17.52,100,72.99,11023
11,24,385,36,9.35,47,12.21,302,78.44,11024
11,25,133,28,21.05,22,16.54,83,62.41,11025
11,26,223,37,16.59,32,14.35,154,69.06,11026
11,29,203,29,14.29,46,22.66,128,63.05,11029
11,30,140,23,16.43,32,22.86,85,60.71,11030
11,31,156,19,12.18,18,11.54,119,76.28,11031
11,32,158,37,23.42,17,10.76,104,65.82,11032
11,33,137,26,18.98,13,9.49,98,71.53,11033
11,34,39,8,20.51,6,15.38,25,64.1,11034
11,35,280,55,19.64,24,8.57,201,71.79,11035
11,37,224,32,14.29,23,10.27,169,75.45,11037
11,38,288,61,21.18,42,14.58,185,64.24,11038
11,39,291,61,20.96,34,11.68,196,67.35,11039
11,40,108,18,16.67,18,16.67,72,66.67,11040
11,41,125,17,13.6,17,13.6,91,72.8,11041
11,42,110,22,20.0,15,13.64,73,66.36,11042
11,43,211,52,24.64,28,13.27,131,62.09,11043
11,44,156,40,25.64,30,19.23,86,55.13,11044
11,45,89,24,26.97,13,14.61,52,58.43,11045
11,47,139,29,20.86,26,18.71,84,60.43,11047
11,48,75,16,21.33,8,10.67,51,68.0,11048
11,49,179,51,28.49,19,10.61,109,60.89,11049
11,50,99,23,23.23,25,25.25,51,51.52,11050
13,1,171,42,24.56,8,4.68,121,70.76,13001
13,2,155,17,10.97,11,7.1,127,81.94,13002
13,4,285,64,22.46,32,11.23,189,66.32,13004
13,5,204,47,23.04,20,9.8,137,67.16,13005
13,6,192,26,13.54,28,14.58,138,71.88,13006
13,7,209,22,10.53,12,5.74,175,83.73,13007
13,8,233,63,27.04,15,6.44,155,66.52,13008
13,9,210,40,19.05,18,8.57,152,72.38,13009
13,10,202,65,32.18,23,11.39,114,56.44,13010
13,11,227,68,29.96,27,11.89,132,58.15,13011
13,12,193,41,21.24,23,11.92,129,66.84,13012
13,13,209,31,14.83,19,9.09,159,76.08,13013
13,14,146,37,25.34,12,8.22,97,66.44,13014
13,15,304,35,11.51,27,8.88,242,79.61,13015
13,16,160,35,21.88,14,8.75,111,69.38,13016
13,17,220,57,25.91,21,9.55,142,64.55,13017
13,18,151,33,21.85,28,18.54,90,59.6,13018
13,19,168,23,13.69,14,8.33,131,77.98,13019
13,20,175,31,17.71,31,17.71,113,64.57,13020
13,21,251,50,19.92,28,11.16,173,68.92,13021
13,22,222,25,11.26,13,5.86,184,82.88,13022
13,23,163,36,22.09,10,6.13,117,71.78,13023
13,24,204,20,9.8,15,7.35,169,82.84,13024
13,25,148,34,22.97,25,16.89,89,60.14,13025
13,26,140,22,15.71,19,13.57,99,70.71,13026
13,27,229,43,18.78,19,8.3,167,72.93,13027
13,28,131,24,18.32,19,14.5,88,67.18,13028
13,29,177,28,15.82,29,16.38,120,67.8,13029
13,30,221,32,14.48,35,15.84,154,69.68,13030
13,31,226,32,14.16,38,16.81,156,69.03,13031
13,32,192,45,23.44,26,13.54,121,63.02,13032
13,33,172,32,18.6,25,14.53,115,66.86,13033
13,34,181,30,16.57,18,9.94,133,73.48,13034
13,35,238,24,10.08,17,7.14,197,82.77,13035
13,36,111,21,18.92,13,11.71,77,69.37,13036
13,37,143,32,22.38,22,15.38,89,62.24,13037
13,38,211,59,27.96,25,11.85,127,60.19,13038
13,39,177,23,12.99,22,12.43,132,74.58,13039
13,40,218,47,21.56,30,13.76,141,64.68,13040
13,41,200,19,9.5,23,11.5,158,79.0,13041
13,42,230,41,17.83,20,8.7,169,73.48,13042
13,43,156,31,19.87,13,8.33,112,71.79,13043
13,44,320,15,4.69,8,2.5,297,92.81,13044
13,45,311,60,19.29,23,7.4,228,73.31,13045
13,46,188,33,17.55,21,11.17,134,71.28,13046
13,47,165,21,12.73,19,11.52,125,75.76,13047
13,48,237,26,10.97,26,10.97,185,78.06,13048
13,49,259,40,15.44,11,4.25,208,80.31,13049
13,50,310,38,12.26,26,8.39,246,79.35,13050
14,2,134,20,14.93,28,20.9,86,64.18,14002
14,25,152,31,20.39,26,17.11,95,62.5,14025
14,28,154,22,14.29,29,18.83,103,66.88,14028
15,1,79,26,32.91,22,27.85,31,39.24,15001
15,10,92,32,34.78,22,23.91,38,41.3,15010
15,13,58,21,36.21,17,29.31,20,34.48,15013
15,14,131,45,34.35,39,29.77,47,35.88,15014
15,15,74,29,39.19,23,31.08,22,29.73,15015
15,16,73,23,31.51,24,32.88,26,35.62,15016
15,25,72,27,37.5,20,27.78,25,34.72,15025
15,28,97,40,41.24,19,19.59,38,39.18,15028
15,32,89,39,43.82,26,29.21,24,26.97,15032
15,44,84,29,34.52,15,17.86,40,47.62,15044
15,49,52,17,32.69,20,38.46,15,28.85,15049
16,1,62,20,32.26,19,30.65,23,37.1,16001
16,4,68,18,26.47,20,29.41,30,44.12,16004
16,6,44,23,52.27,10,22.73,11,25.0,16006
16,7,79,44,55.7,11,13.92,24,30.38,16007
16,11,91,37,40.66,20,21.98,34,37.36,16011
16,13,70,26,37.14,28,40.0,16,22.86,16013
16,17,110,35,31.82,31,28.18,44,40.0,16017
16,23,86,26,30.23,24,27.91,36,41.86,16023
16,32,24,6,25.0,10,41.67,8,33.33,16032
16,35,68,23,33.82,22,32.35,23,33.82,16035
16,39,74,20,27.03,26,35.14,28,37.84,16039
16,42,79,31,39.24,22,27.85,26,32.91,16042
18,3,151,41,27.15,28,18.54,82,54.3,18003
18,6,142,36,25.35,27,19.01,79,55.63,18006
18,15,90,23,25.56,29,32.22,38,42.22,18015
18,28,216,52,24.07,43,19.91,121,56.02,18028
18,41,189,43,22.75,41,21.69,105,55.56,18041
18,43,109,36,33.03,24,22.02,49,44.95,18043
18,48,100,18,18.0,25,25.0,57,57.0,18048
18,55,185,49,26.49,33,17.84,103,55.68,18055
18,56,140,37,26.43,32,22.86,71,50.71,18056
18,57,142,37,26.06,25,17.61,80,56.34,18057
18,62,118,19,16.1,23,19.49,76,64.41,18062
19,1,285,108,37.89,76,26.67,101,35.44,19001
19,2,222,86,38.74,44,19.82,92,41.44,19002
19,3,225,76,33.78,59,26.22,90,40.0,19003
19,4,222,117,52.7,30,13.51,75,33.78,19004
19,5,273,69,25.27,91,33.33,113,41.39,19005
19,6,213,98,46.01,44,20.66,71,33.33,19006
19,7,247,130,52.63,47,19.03,70,28.34,19007
19,8,193,87,45.08,17,8.81,89,46.11,19008
19,9,181,66,36.46,38,20.99,77,42.54,19009
19,10,323,116,35.91,97,30.03,110,34.06,19010
19,11,284,173,60.92,32,11.27,79,27.82,19011
19,12,244,109,44.67,34,13.93,101,41.39,19012
19,13,177,53,29.94,40,22.6,84,47.46,19013
19,14,158,65,41.14,41,25.95,52,32.91,19014
19,15,157,66,42.04,43,27.39,48,30.57,19015
19,16,324,132,40.74,65,20.06,127,39.2,19016
19,17,267,123,46.07,47,17.6,97,36.33,19017
19,18,313,111,35.46,89,28.43,113,36.1,19018
19,19,266,120,45.11,60,22.56,86,32.33,19019
19,20,199,52,26.13,66,33.17,81,40.7,19020
19,21,192,123,64.06,26,13.54,43,22.4,19021
19,22,282,112,39.72,84,29.79,86,30.5,19022
19,23,282,126,44.68,71,25.18,85,30.14,19023
19,24,218,83,38.07,39,17.89,96,44.04,19024
19,25,306,134,43.79,83,27.12,89,29.08,19025
19,26,289,106,36.68,75,25.95,108,37.37,19026
19,27,135,45,33.33,52,38.52,38,28.15,19027
19,29,200,88,44.0,38,19.0,74,37.0,19029
19,30,219,86,39.27,48,21.92,85,38.81,19030
19,31,235,82,34.89,77,32.77,76,32.34,19031
19,32,325,111,34.15,82,25.23,132,40.62,19032
19,33,253,97,38.34,47,18.58,109,43.08,19033
19,34,270,105,38.89,75,27.78,90,33.33,19034
19,35,258,108,41.86,69,26.74,81,31.4,19035
19,36,146,69,47.26,35,23.97,42,28.77,19036
19,37,244,73,29.92,70,28.69,101,41.39,19037
19,38,101,39,38.61,28,27.72,34,33.66,19038
19,39,126,39,30.95,27,21.43,60,47.62,19039
19,40,229,86,37.55,74,32.31,69,30.13,19040
19,41,183,61,33.33,57,31.15,65,35.52,19041
19,42,176,59,33.52,49,27.84,68,38.64,19042
19,44,186,85,45.7,43,23.12,58,31.18,19044
19,45,289,105,36.33,81,28.03,103,35.64,19045
19,46,350,126,36.0,77,22.0,147,42.0,19046
19,47,170,65,38.24,43,25.29,62,36.47,19047
19,49,311,91,29.26,89,28.62,131,42.12,19049
19,51,219,97,44.29,39,17.81,83,37.9,19051
19,52,150,54,36.0,26,17.33,70,46.67,19052
19,53,260,104,40.0,73,28.08,83,31.92,19053
19,54,178,78,43.82,30,16.85,70,39.33,19054
19,55,222,88,39.64,35,15.77,99,44.59,19055
19,56,304,98,32.24,98,32.24,108,35.53,19056
19,57,304,86,28.29,95,31.25,123,40.46,19057
19,58,252,122,48.41,37,14.68,93,36.9,19058
19,59,275,120,43.64,41,14.91,114,41.45,19059
19,61,328,110,33.54,92,28.05,126,38.41,19061
19,62,252,139,55.16,49,19.44,64,25.4,19062
19,63,184,76,41.3,27,14.67,81,44.02,19063
19,64,302,125,41.39,69,22.85,108,35.76,19064
19,65,201,83,41.29,44,21.89,74,36.82,19065
19,67,50,16,32.0,13,26.0,21,42.0,19067
20,41,39,10,25.64,15,38.46,14,35.9,20041
23,1,212,49,23.11,35,16.51,128,60.38,23001
23,2,293,80,27.3,41,13.99,172,58.7,23002
23,3,206,62,30.1,29,14.08,115,55.83,23003
23,4,218,90,41.28,11,5.05,117,53.67,23004
23,5,178,26,14.61,31,17.42,121,67.98,23005
23,6,215,26,12.09,24,11.16,165,76.74,23006
23,7,74,19,25.68,7,9.46,48,64.86,23007
23,8,221,21,9.5,28,12.67,172,77.83,23008
23,10,251,21,8.37,35,13.94,195,77.69,23010
23,11,259,41,15.83,33,12.74,185,71.43,23011
23,12,209,44,21.05,32,15.31,133,63.64,23012
23,13,254,67,26.38,30,11.81,157,61.81,23013
23,14,82,24,29.27,12,14.63,46,56.1,23014
23,15,185,64,34.59,25,13.51,96,51.89,23015
23,16,230,47,20.43,30,13.04,153,66.52,23016
23,17,252,70,27.78,42,16.67,140,55.56,23017
23,18,161,44,27.33,23,14.29,94,58.39,23018
23,19,194,53,27.32,27,13.92,114,58.76,23019
23,20,217,50,23.04,15,6.91,152,70.05,23020
23,21,177,54,30.51,28,15.82,95,53.67,23021
23,22,205,48,23.41,35,17.07,122,59.51,23022
23,23,184,49,26.63,17,9.24,118,64.13,23023
23,25,140,15,10.71,24,17.14,101,72.14,23025
23,26,218,51,23.39,23,10.55,144,66.06,23026
23,27,139,36,25.9,21,15.11,82,58.99,23027
23,28,202,48,23.76,31,15.35,123,60.89,23028
23,30,215,55,25.58,26,12.09,134,62.33,23030
23,31,174,32,18.39,34,19.54,108,62.07,23031
23,32,239,33,13.81,41,17.15,165,69.04,23032
23,33,235,69,29.36,27,11.49,139,59.15,23033
23,34,138,24,17.39,30,21.74,84,60.87,23034
23,35,146,53,36.3,25,17.12,68,46.58,23035
23,36,292,57,19.52,39,13.36,196,67.12,23036
23,37,136,34,25.0,30,22.06,72,52.94,23037
23,38,155,35,22.58,14,9.03,106,68.39,23038
23,39,167,38,22.75,25,14.97,104,62.28,23039
23,40,199,39,19.6,29,14.57,131,65.83,23040
23,41,168,31,18.45,34,20.24,103,61.31,23041
23,42,186,46,24.73,16,8.6,124,66.67,23042
23,43,212,52,24.53,41,19.34,119,56.13,23043
23,44,220,52,23.64,25,11.36,143,65.0,23044
23,45,234,51,21.79,41,17.52,142,60.68,23045
23,46,259,65,25.1,26,10.04,168,64.86,23046
23,47,251,48,19.12,50,19.92,153,60.96,23047
23,48,161,17,10.56,15,9.32,129,80.12,23048
23,49,258,72,27.91,42,16.28,144,55.81,23049
23,50,132,23,17.42,33,25.0,76,57.58,23050
23,51,198,49,24.75,28,14.14,121,61.11,23051
23,52,249,40,16.06,42,16.87,167,67.07,23052
23,53,139,30,21.58,24,17.27,85,61.15,23053
23,54,245,88,35.92,28,11.43,129,52.65,23054
23,55,230,74,32.17,29,12.61,127,55.22,23055
23,56,170,27,15.88,27,15.88,116,68.24,23056
