ward,precinct,total,Michael ''Mike'' Stuttley,Michael ''Mike'' Stuttley Percent,Alzetta L. Bozeman-Martin,Alzetta L. Bozeman-Martin Percent,Jack L. Genius,Jack L. Genius Percent,Marc M. Hamilton,Marc M. Hamilton Percent,Carl B. Boyd,Carl B. Boyd Percent,precinct_id
9,1,224,104,46.43,30,13.39,11,4.91,17,7.59,62,27.68,09001
9,2,175,74,42.29,30,17.14,8,4.57,20,11.43,43,24.57,09002
9,3,83,54,65.06,10,12.05,2,2.41,8,9.64,9,10.84,09003
9,4,197,69,35.03,31,15.74,8,4.06,49,24.87,40,20.3,09004
9,5,159,64,40.25,19,11.95,7,4.4,15,9.43,54,33.96,09005
9,6,174,77,44.25,24,13.79,17,9.77,9,5.17,47,27.01,09006
9,7,181,72,39.78,23,12.71,8,4.42,30,16.57,48,26.52,09007
9,8,180,67,37.22,33,18.33,13,7.22,19,10.56,48,26.67,09008
9,9,193,82,42.49,28,14.51,10,5.18,15,7.77,58,30.05,09009
9,10,168,62,36.9,17,10.12,7,4.17,23,13.69,59,35.12,09010
9,11,108,46,42.59,12,11.11,13,12.04,4,3.7,33,30.56,09011
9,12,177,65,36.72,24,13.56,14,7.91,23,12.99,51,28.81,09012
9,14,230,98,42.61,39,16.96,5,2.17,17,7.39,71,30.87,09014
9,15,140,76,54.29,12,8.57,8,5.71,18,12.86,26,18.57,09015
9,16,115,60,52.17,8,6.96,5,4.35,10,8.7,32,27.83,09016
9,17,179,79,44.13,24,13.41,13,7.26,13,7.26,50,27.93,09017
9,18,181,67,37.02,25,13.81,10,5.52,15,8.29,64,35.36,09018
9,19,189,82,43.39,30,15.87,8,4.23,14,7.41,55,29.1,09019
9,20,209,75,35.89,36,17.22,3,1.44,14,6.7,81,38.76,09020
9,21,156,66,42.31,22,14.1,7,4.49,10,6.41,51,32.69,09021
9,22,223,102,45.74,32,14.35,7,3.14,25,11.21,57,25.56,09022
9,23,131,60,45.8,16,12.21,8,6.11,10,7.63,37,28.24,09023
9,24,81,56,69.14,4,4.94,4,4.94,9,11.11,8,9.88,09024
9,25,94,53,56.38,14,14.89,4,4.26,7,7.45,16,17.02,09025
9,26,107,65,60.75,7,6.54,2,1.87,15,14.02,18,16.82,09026
9,27,127,49,38.58,17,13.39,4,3.15,12,9.45,45,35.43,09027
9,28,91,39,42.86,16,17.58,5,5.49,19,20.88,12,13.19,09028
9,29,130,62,47.69,19,14.62,4,3.08,9,6.92,36,27.69,09029
9,30,149,72,48.32,18,12.08,3,2.01,15,10.07,41,27.52,09030
9,31,141,80,56.74,21,14.89,6,4.26,2,1.42,32,22.7,09031
9,32,161,53,32.92,28,17.39,3,1.86,19,11.8,58,36.02,09032
9,33,136,81,59.56,8,5.88,6,4.41,13,9.56,28,20.59,09033
9,34,144,45,31.25,29,20.14,11,7.64,18,12.5,41,28.47,09034
9,37,177,78,44.07,30,16.95,17,9.6,19,10.73,33,18.64,09037
9,38,111,57,51.35,17,15.32,5,4.5,4,3.6,28,25.23,09038
9,39,183,79,43.17,23,12.57,8,4.37,22,12.02,51,27.87,09039
9,40,193,90,46.63,30,15.54,6,3.11,17,8.81,50,25.91,09040
9,41,197,66,33.5,22,11.17,5,2.54,57,28.93,47,23.86,09041
