ward,precinct,total,Forrest Claypool,Forrest Claypool Percent,"John H. Stroger, Jr.","John H. Stroger, Jr. Percent",precinct_id
1,1,93,53,56.99,40,43.01,01001
1,2,66,42,63.64,24,36.36,01002
1,3,56,40,71.43,16,28.57,01003
1,4,93,60,64.52,33,35.48,01004
1,5,78,49,62.82,29,37.18,01005
1,6,89,66,74.16,23,25.84,01006
1,7,83,54,65.06,29,34.94,01007
1,8,84,44,52.38,40,47.62,01008
1,9,118,77,65.25,41,34.75,01009
1,10,92,70,76.09,22,23.91,01010
1,11,66,45,68.18,21,31.82,01011
1,12,89,66,74.16,23,25.84,01012
1,13,128,83,64.84,45,35.16,01013
1,14,113,57,50.44,56,49.56,01014
1,15,86,46,53.49,40,46.51,01015
1,16,50,18,36.0,32,64.0,01016
1,17,68,48,70.59,20,29.41,01017
1,18,73,44,60.27,29,39.73,01018
1,19,99,64,64.65,35,35.35,01019
1,20,128,54,42.19,74,57.81,01020
1,21,79,52,65.82,27,34.18,01021
1,22,86,51,59.3,35,40.7,01022
1,23,61,32,52.46,29,47.54,01023
1,24,160,93,58.13,67,41.88,01024
1,25,75,47,62.67,28,37.33,01025
1,26,52,30,57.69,22,42.31,01026
1,27,59,28,47.46,31,52.54,01027
1,28,113,60,53.1,53,46.9,01028
1,29,91,54,59.34,37,40.66,01029
1,30,182,125,68.68,57,31.32,01030
1,31,67,54,80.6,13,19.4,01031
1,32,112,52,46.43,60,53.57,01032
1,33,87,57,65.52,30,34.48,01033
1,34,56,36,64.29,20,35.71,01034
1,35,38,24,63.16,14,36.84,01035
1,36,75,60,80.0,15,20.0,01036
1,37,67,40,59.7,27,40.3,01037
1,38,50,30,60.0,20,40.0,01038
1,39,99,53,53.54,46,46.46,01039
1,40,61,40,65.57,21,34.43,01040
1,41,112,74,66.07,38,33.93,01041
1,42,56,43,76.79,13,23.21,01042
1,43,72,41,56.94,31,43.06,01043
1,44,52,30,57.69,22,42.31,01044
1,45,83,43,51.81,40,48.19,01045
1,46,77,45,58.44,32,41.56,01046
1,47,55,40,72.73,15,27.27,01047
