ward,precinct,total,Janice D Schakowsky,Janice D Schakowsky Percent,precinct_id
40,3,120,120,100.0,40003
40,4,133,133,100.0,40004
40,7,119,119,100.0,40007
40,8,27,27,100.0,40008
40,9,65,65,100.0,40009
40,11,84,84,100.0,40011
40,12,88,88,100.0,40012
40,13,123,123,100.0,40013
40,16,161,161,100.0,40016
40,18,103,103,100.0,40018
40,22,37,37,100.0,40022
40,26,144,144,100.0,40026
40,27,108,108,100.0,40027
40,28,107,107,100.0,40028
40,33,93,93,100.0,40033
40,35,131,131,100.0,40035
40,37,93,93,100.0,40037
40,39,98,98,100.0,40039
40,41,105,105,100.0,40041
40,42,120,120,100.0,40042
40,43,117,117,100.0,40043
40,46,134,134,100.0,40046
40,47,121,121,100.0,40047
41,1,138,138,100.0,41001
41,2,182,182,100.0,41002
41,4,150,150,100.0,41004
41,5,136,136,100.0,41005
41,7,155,155,100.0,41007
41,8,133,133,100.0,41008
41,11,144,144,100.0,41011
41,13,80,80,100.0,41013
41,15,122,122,100.0,41015
41,17,146,146,100.0,41017
41,18,137,137,100.0,41018
41,20,186,186,100.0,41020
41,25,51,51,100.0,41025
41,26,53,53,100.0,41026
41,27,40,40,100.0,41027
41,28,110,110,100.0,41028
41,29,49,49,100.0,41029
41,31,148,148,100.0,41031
41,32,86,86,100.0,41032
41,33,89,89,100.0,41033
41,34,84,84,100.0,41034
41,36,151,151,100.0,41036
41,37,124,124,100.0,41037
41,40,149,149,100.0,41040
41,41,139,139,100.0,41041
41,42,154,154,100.0,41042
41,43,122,122,100.0,41043
41,45,125,125,100.0,41045
41,48,72,72,100.0,41048
41,49,160,160,100.0,41049
41,52,199,199,100.0,41052
41,55,91,91,100.0,41055
41,56,175,175,100.0,41056
44,3,154,154,100.0,44003
44,4,162,162,100.0,44004
44,7,144,144,100.0,44007
44,18,8,8,100.0,44018
44,35,104,104,100.0,44035
44,48,100,100,100.0,44048
44,49,218,218,100.0,44049
46,1,266,266,100.0,46001
46,2,143,143,100.0,46002
46,4,138,138,100.0,46004
46,6,106,106,100.0,46006
46,7,80,80,100.0,46007
46,8,116,116,100.0,46008
46,9,97,97,100.0,46009
46,10,73,73,100.0,46010
46,11,142,142,100.0,46011
46,12,93,93,100.0,46012
46,14,76,76,100.0,46014
46,15,134,134,100.0,46015
46,16,80,80,100.0,46016
46,19,118,118,100.0,46019
46,20,84,84,100.0,46020
46,21,24,24,100.0,46021
46,22,80,80,100.0,46022
46,23,86,86,100.0,46023
46,25,115,115,100.0,46025
46,26,101,101,100.0,46026
46,27,88,88,100.0,46027
46,28,113,113,100.0,46028
46,30,148,148,100.0,46030
46,32,99,99,100.0,46032
46,33,134,134,100.0,46033
46,34,136,136,100.0,46034
46,35,100,100,100.0,46035
46,38,102,102,100.0,46038
46,39,132,132,100.0,46039
46,40,106,106,100.0,46040
46,41,87,87,100.0,46041
46,42,89,89,100.0,46042
46,45,130,130,100.0,46045
46,46,117,117,100.0,46046
46,47,43,43,100.0,46047
48,1,127,127,100.0,48001
48,2,120,120,100.0,48002
48,3,155,155,100.0,48003
48,4,139,139,100.0,48004
48,5,151,151,100.0,48005
48,6,153,153,100.0,48006
48,7,112,112,100.0,48007
48,8,99,99,100.0,48008
48,9,140,140,100.0,48009
48,10,78,78,100.0,48010
48,11,188,188,100.0,48011
48,12,101,101,100.0,48012
48,13,101,101,100.0,48013
48,14,162,162,100.0,48014
48,15,68,68,100.0,48015
48,16,78,78,100.0,48016
48,17,122,122,100.0,48017
48,18,91,91,100.0,48018
48,19,138,138,100.0,48019
48,20,73,73,100.0,48020
48,21,47,47,100.0,48021
48,22,213,213,100.0,48022
48,23,131,131,100.0,48023
48,24,133,133,100.0,48024
48,25,146,146,100.0,48025
48,26,134,134,100.0,48026
48,27,83,83,100.0,48027
48,28,146,146,100.0,48028
48,29,123,123,100.0,48029
48,30,147,147,100.0,48030
48,31,94,94,100.0,48031
48,32,86,86,100.0,48032
48,33,157,157,100.0,48033
48,34,76,76,100.0,48034
48,35,101,101,100.0,48035
48,36,132,132,100.0,48036
48,37,74,74,100.0,48037
48,38,218,218,100.0,48038
48,39,98,98,100.0,48039
48,40,74,74,100.0,48040
48,41,73,73,100.0,48041
48,42,114,114,100.0,48042
48,43,151,151,100.0,48043
48,44,110,110,100.0,48044
48,45,104,104,100.0,48045
48,46,92,92,100.0,48046
48,47,98,98,100.0,48047
48,48,124,124,100.0,48048
48,49,49,49,100.0,48049
48,50,183,183,100.0,48050
48,51,232,232,100.0,48051
48,52,76,76,100.0,48052
48,53,97,97,100.0,48053
48,54,76,76,100.0,48054
48,55,46,46,100.0,48055
48,56,110,110,100.0,48056
49,1,127,127,100.0,49001
49,2,192,192,100.0,49002
49,3,99,99,100.0,49003
49,4,68,68,100.0,49004
49,5,148,148,100.0,49005
49,6,117,117,100.0,49006
49,7,99,99,100.0,49007
49,8,117,117,100.0,49008
49,9,109,109,100.0,49009
49,10,92,92,100.0,49010
49,11,96,96,100.0,49011
49,12,123,123,100.0,49012
49,13,148,148,100.0,49013
49,14,105,105,100.0,49014
49,15,61,61,100.0,49015
49,16,82,82,100.0,49016
49,17,11,11,100.0,49017
49,18,79,79,100.0,49018
49,19,96,96,100.0,49019
49,20,152,152,100.0,49020
49,21,45,45,100.0,49021
49,22,120,120,100.0,49022
49,23,95,95,100.0,49023
49,24,138,138,100.0,49024
49,25,123,123,100.0,49025
49,26,115,115,100.0,49026
49,27,109,109,100.0,49027
49,28,102,102,100.0,49028
49,29,108,108,100.0,49029
49,30,107,107,100.0,49030
49,31,87,87,100.0,49031
49,32,78,78,100.0,49032
49,33,96,96,100.0,49033
49,34,99,99,100.0,49034
49,35,150,150,100.0,49035
49,36,132,132,100.0,49036
49,37,100,100,100.0,49037
49,38,91,91,100.0,49038
49,39,79,79,100.0,49039
49,40,86,86,100.0,49040
49,41,108,108,100.0,49041
49,42,103,103,100.0,49042
50,1,166,166,100.0,50001
50,2,134,134,100.0,50002
50,3,102,102,100.0,50003
50,4,109,109,100.0,50004
50,5,107,107,100.0,50005
50,6,135,135,100.0,50006
50,7,160,160,100.0,50007
50,8,93,93,100.0,50008
50,9,106,106,100.0,50009
50,10,70,70,100.0,50010
50,11,112,112,100.0,50011
50,12,111,111,100.0,50012
50,13,115,115,100.0,50013
50,14,90,90,100.0,50014
50,15,170,170,100.0,50015
50,16,97,97,100.0,50016
50,17,72,72,100.0,50017
50,18,101,101,100.0,50018
50,19,92,92,100.0,50019
50,20,98,98,100.0,50020
50,21,142,142,100.0,50021
50,22,107,107,100.0,50022
50,23,73,73,100.0,50023
50,24,90,90,100.0,50024
50,25,93,93,100.0,50025
50,26,74,74,100.0,50026
50,27,74,74,100.0,50027
50,28,82,82,100.0,50028
50,29,120,120,100.0,50029
50,30,108,108,100.0,50030
50,31,78,78,100.0,50031
50,32,86,86,100.0,50032
50,33,69,69,100.0,50033
50,34,81,81,100.0,50034
50,35,172,172,100.0,50035
50,36,123,123,100.0,50036
50,37,153,153,100.0,50037
50,38,138,138,100.0,50038
50,39,103,103,100.0,50039
50,40,109,109,100.0,50040
50,41,134,134,100.0,50041
50,42,134,134,100.0,50042
50,43,95,95,100.0,50043
