ward,precinct,total,Emanuel ''Chris'' Welch,Emanuel ''Chris'' Welch Percent,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
28,48,49,17,34.69,32,65.31,28048
28,49,60,14,23.33,46,76.67,28049
29,16,204,23,11.27,181,88.73,29016
29,19,145,17,11.72,128,88.28,29019
29,20,163,29,17.79,134,82.21,29020
29,21,137,66,48.18,71,51.82,29021
29,26,200,37,18.5,163,81.5,29026
29,27,114,32,28.07,82,71.93,29027
