ward,precinct,total,Samuel T. Bunville,Samuel T. Bunville Percent,Keith B. Kysel,Keith B. Kysel Percent,Esther Golar,Esther Golar Percent,Darryl Smith,Darryl Smith Percent,precinct_id
3,10,58,19,32.76,4,6.9,15,25.86,20,34.48,03010
3,12,130,31,23.85,6,4.62,51,39.23,42,32.31,03012
3,13,94,25,26.6,7,7.45,53,56.38,9,9.57,03013
3,21,62,17,27.42,5,8.06,17,27.42,23,37.1,03021
3,25,103,20,19.42,9,8.74,24,23.3,50,48.54,03025
3,36,2,1,,0,,0,,1,,03036
3,44,46,12,26.09,4,8.7,18,39.13,12,26.09,03044
3,48,104,36,34.62,5,4.81,25,24.04,38,36.54,03048
3,50,105,30,28.57,3,2.86,35,33.33,37,35.24,03050
3,51,47,12,25.53,8,17.02,18,38.3,9,19.15,03051
3,52,55,8,14.55,2,3.64,14,25.45,31,56.36,03052
11,12,200,14,7.0,20,10.0,158,79.0,8,4.0,11012
11,13,144,11,7.64,19,13.19,109,75.69,5,3.47,11013
11,15,134,15,11.19,18,13.43,90,67.16,11,8.21,11015
11,23,126,12,9.52,15,11.9,91,72.22,8,6.35,11023
11,25,2,2,100.0,0,0.0,0,0.0,0,0.0,11025
11,27,130,20,15.38,13,10.0,88,67.69,9,6.92,11027
11,28,125,38,30.4,18,14.4,53,42.4,16,12.8,11028
11,31,129,23,17.83,17,13.18,83,64.34,6,4.65,11031
11,32,146,21,14.38,18,12.33,98,67.12,9,6.16,11032
11,33,123,12,9.76,21,17.07,84,68.29,6,4.88,11033
11,34,83,8,9.64,10,12.05,47,56.63,18,21.69,11034
11,35,250,21,8.4,21,8.4,196,78.4,12,4.8,11035
11,36,6,1,16.67,3,50.0,0,0.0,2,33.33,11036
11,37,191,42,21.99,29,15.18,109,57.07,11,5.76,11037
11,39,255,48,18.82,37,14.51,155,60.78,15,5.88,11039
11,42,101,14,13.86,13,12.87,69,68.32,5,4.95,11042
11,43,179,44,24.58,36,20.11,84,46.93,15,8.38,11043
11,46,141,13,9.22,0,0.0,113,80.14,15,10.64,11046
11,48,58,4,6.9,9,15.52,42,72.41,3,5.17,11048
11,49,174,19,10.92,16,9.2,134,77.01,5,2.87,11049
12,9,6,1,,3,,2,,0,,12009
12,16,43,9,20.93,6,13.95,16,37.21,12,27.91,12016
15,2,103,18,17.48,12,11.65,26,25.24,47,45.63,15002
15,3,95,6,6.32,6,6.32,35,36.84,48,50.53,15003
15,4,101,21,20.79,13,12.87,24,23.76,43,42.57,15004
15,5,95,15,15.79,6,6.32,29,30.53,45,47.37,15005
15,17,112,16,14.29,11,9.82,26,23.21,59,52.68,15017
15,18,72,8,11.11,2,2.78,19,26.39,43,59.72,15018
15,19,118,16,13.56,11,9.32,43,36.44,48,40.68,15019
15,20,105,9,8.57,8,7.62,41,39.05,47,44.76,15020
15,22,117,24,20.51,7,5.98,51,43.59,35,29.91,15022
15,23,75,11,14.67,2,2.67,30,40.0,32,42.67,15023
15,24,110,21,19.09,6,5.45,34,30.91,49,44.55,15024
15,26,99,14,14.14,8,8.08,33,33.33,44,44.44,15026
15,29,48,9,18.75,2,4.17,11,22.92,26,54.17,15029
15,30,90,12,13.33,2,2.22,20,22.22,56,62.22,15030
15,31,107,10,9.35,3,2.8,11,10.28,83,77.57,15031
15,33,72,12,16.67,1,1.39,23,31.94,36,50.0,15033
15,35,121,18,14.88,6,4.96,29,23.97,68,56.2,15035
15,36,85,17,20.0,3,3.53,22,25.88,43,50.59,15036
15,37,98,4,4.08,7,7.14,18,18.37,69,70.41,15037
15,38,95,21,22.11,9,9.47,25,26.32,40,42.11,15038
15,39,119,9,7.56,4,3.36,30,25.21,76,63.87,15039
15,40,116,17,14.66,5,4.31,17,14.66,77,66.38,15040
15,43,98,14,14.29,7,7.14,40,40.82,37,37.76,15043
15,48,80,12,15.0,6,7.5,20,25.0,42,52.5,15048
15,49,8,1,12.5,2,25.0,2,25.0,3,37.5,15049
15,50,93,26,27.96,3,3.23,28,30.11,36,38.71,15050
15,52,68,13,19.12,3,4.41,20,29.41,32,47.06,15052
16,1,61,10,16.39,4,6.56,23,37.7,24,39.34,16001
16,2,78,10,12.82,5,6.41,31,39.74,32,41.03,16002
16,3,116,16,13.79,7,6.03,23,19.83,70,60.34,16003
16,4,73,15,20.55,7,9.59,25,34.25,26,35.62,16004
16,5,120,15,12.5,7,5.83,34,28.33,64,53.33,16005
16,6,40,2,5.0,3,7.5,15,37.5,20,50.0,16006
16,7,83,16,19.28,2,2.41,36,43.37,29,34.94,16007
16,8,105,13,12.38,13,12.38,55,52.38,24,22.86,16008
16,9,177,20,11.3,6,3.39,44,24.86,107,60.45,16009
16,10,81,4,4.94,2,2.47,46,56.79,29,35.8,16010
16,12,76,5,6.58,3,3.95,42,55.26,26,34.21,16012
16,14,114,15,13.16,9,7.89,25,21.93,65,57.02,16014
16,15,131,14,10.69,9,6.87,49,37.4,59,45.04,16015
16,16,140,26,18.57,8,5.71,41,29.29,65,46.43,16016
16,18,101,16,15.84,4,3.96,39,38.61,42,41.58,16018
16,19,91,10,10.99,7,7.69,34,37.36,40,43.96,16019
16,20,115,12,10.43,3,2.61,39,33.91,61,53.04,16020
16,22,95,10,10.53,4,4.21,41,43.16,40,42.11,16022
16,24,69,12,17.39,6,8.7,27,39.13,24,34.78,16024
16,25,103,9,8.74,5,4.85,39,37.86,50,48.54,16025
16,26,110,18,16.36,6,5.45,33,30.0,53,48.18,16026
16,27,184,24,13.04,6,3.26,36,19.57,118,64.13,16027
16,28,140,15,10.71,6,4.29,33,23.57,86,61.43,16028
16,29,70,8,11.43,3,4.29,16,22.86,43,61.43,16029
