ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,precinct_id
6,11,14,14,100.0,06011
6,19,203,203,100.0,06019
6,32,1,1,100.0,06032
6,42,80,80,100.0,06042
6,49,177,177,100.0,06049
17,2,106,106,100.0,17002
17,3,99,99,100.0,17003
17,4,215,215,100.0,17004
17,5,122,122,100.0,17005
17,7,163,163,100.0,17007
17,9,98,98,100.0,17009
17,10,142,142,100.0,17010
17,11,90,90,100.0,17011
17,12,162,162,100.0,17012
17,15,114,114,100.0,17015
17,18,157,157,100.0,17018
17,20,109,109,100.0,17020
17,21,206,206,100.0,17021
17,22,153,153,100.0,17022
17,23,101,101,100.0,17023
17,24,139,139,100.0,17024
17,25,80,80,100.0,17025
17,26,179,179,100.0,17026
17,27,190,190,100.0,17027
17,28,106,106,100.0,17028
17,29,163,163,100.0,17029
17,30,142,142,100.0,17030
17,31,131,131,100.0,17031
17,32,143,143,100.0,17032
17,33,115,115,100.0,17033
17,35,79,79,100.0,17035
17,37,107,107,100.0,17037
17,38,121,121,100.0,17038
17,40,66,66,100.0,17040
17,44,84,84,100.0,17044
17,47,76,76,100.0,17047
17,48,132,132,100.0,17048
17,50,111,111,100.0,17050
17,51,143,143,100.0,17051
17,52,182,182,100.0,17052
17,53,112,112,100.0,17053
17,54,161,161,100.0,17054
17,55,122,122,100.0,17055
17,56,1,1,100.0,17056
17,57,153,153,100.0,17057
17,61,124,124,100.0,17061
18,3,115,115,100.0,18003
18,4,208,208,100.0,18004
18,6,123,123,100.0,18006
18,7,111,111,100.0,18007
18,8,70,70,100.0,18008
18,9,209,209,100.0,18009
18,10,269,269,100.0,18010
18,12,224,224,100.0,18012
18,13,191,191,100.0,18013
18,14,221,221,100.0,18014
18,16,199,199,100.0,18016
18,18,220,220,100.0,18018
18,20,194,194,100.0,18020
18,22,191,191,100.0,18022
18,28,171,171,100.0,18028
18,35,201,201,100.0,18035
18,36,120,120,100.0,18036
18,37,124,124,100.0,18037
18,38,240,240,100.0,18038
18,40,216,216,100.0,18040
18,41,157,157,100.0,18041
18,48,81,81,100.0,18048
18,54,186,186,100.0,18054
18,55,139,139,100.0,18055
18,60,214,214,100.0,18060
18,61,177,177,100.0,18061
21,2,172,172,100.0,21002
21,16,172,172,100.0,21016
21,30,137,137,100.0,21030
21,32,160,160,100.0,21032
21,34,222,222,100.0,21034
21,37,112,112,100.0,21037
21,39,148,148,100.0,21039
21,41,129,129,100.0,21041
21,52,193,193,100.0,21052
21,62,191,191,100.0,21062
21,64,94,94,100.0,21064
21,65,265,265,100.0,21065
21,67,178,178,100.0,21067
21,69,140,140,100.0,21069
21,72,154,154,100.0,21072
21,74,61,61,100.0,21074
