ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Phillip Jackson,Phillip Jackson Percent,precinct_id
2,14,237,188,79.32,49,20.68,02014
2,20,219,190,86.76,29,13.24,02020
2,31,197,171,86.8,26,13.2,02031
2,44,155,134,86.45,21,13.55,02044
2,46,263,160,60.84,103,39.16,02046
3,5,176,149,84.66,27,15.34,03005
3,7,195,138,70.77,57,29.23,03007
3,20,2,2,,0,,03020
3,30,140,119,85.0,21,15.0,03030
3,34,111,91,81.98,20,18.02,03034
3,36,11,10,90.91,1,9.09,03036
3,38,218,190,87.16,28,12.84,03038
3,41,57,52,91.23,5,8.77,03041
3,44,61,58,95.08,3,4.92,03044
3,49,25,18,72.0,7,28.0,03049
3,53,146,115,78.77,31,21.23,03053
4,1,155,111,71.61,44,28.39,04001
4,2,258,210,81.4,48,18.6,04002
4,3,240,189,78.75,51,21.25,04003
4,8,224,199,88.84,25,11.16,04008
4,9,406,310,76.35,96,23.65,04009
4,12,106,85,80.19,21,19.81,04012
4,13,143,114,79.72,29,20.28,04013
4,16,247,223,90.28,24,9.72,04016
4,17,183,149,81.42,34,18.58,04017
4,18,209,174,83.25,35,16.75,04018
4,19,214,182,85.05,32,14.95,04019
4,20,76,60,78.95,16,21.05,04020
4,21,230,182,79.13,48,20.87,04021
4,22,275,202,73.45,73,26.55,04022
4,23,150,114,76.0,36,24.0,04023
4,24,226,174,76.99,52,23.01,04024
4,26,201,171,85.07,30,14.93,04026
4,28,131,92,70.23,39,29.77,04028
4,29,169,129,76.33,40,23.67,04029
4,30,34,32,94.12,2,5.88,04030
4,31,106,90,84.91,16,15.09,04031
4,32,201,130,64.68,71,35.32,04032
4,33,105,86,81.9,19,18.1,04033
4,34,148,107,72.3,41,27.7,04034
4,37,72,53,73.61,19,26.39,04037
4,38,271,211,77.86,60,22.14,04038
4,39,114,97,85.09,17,14.91,04039
4,40,163,131,80.37,32,19.63,04040
4,41,89,57,64.04,32,35.96,04041
4,42,1,1,,0,,04042
4,43,121,80,66.12,41,33.88,04043
4,44,120,86,71.67,34,28.33,04044
4,45,380,297,78.16,83,21.84,04045
4,46,149,133,89.26,16,10.74,04046
4,47,235,183,77.87,52,22.13,04047
4,48,259,170,65.64,89,34.36,04048
4,49,173,140,80.92,33,19.08,04049
4,50,176,161,91.48,15,8.52,04050
4,51,252,201,79.76,51,20.24,04051
4,52,259,218,84.17,41,15.83,04052
4,54,100,86,86.0,14,14.0,04054
4,55,122,74,60.66,48,39.34,04055
5,2,161,144,89.44,17,10.56,05002
5,3,95,75,78.95,20,21.05,05003
5,5,169,157,92.9,12,7.1,05005
5,8,228,134,58.77,94,41.23,05008
5,9,179,154,86.03,25,13.97,05009
5,10,175,153,87.43,22,12.57,05010
5,12,124,109,87.9,15,12.1,05012
5,13,168,142,84.52,26,15.48,05013
5,15,156,111,71.15,45,28.85,05015
5,16,153,144,94.12,9,5.88,05016
5,17,233,210,90.13,23,9.87,05017
5,18,193,173,89.64,20,10.36,05018
5,19,96,83,86.46,13,13.54,05019
5,20,97,91,93.81,6,6.19,05020
5,22,191,171,89.53,20,10.47,05022
5,23,141,127,90.07,14,9.93,05023
5,25,194,180,92.78,14,7.22,05025
5,27,187,116,62.03,71,37.97,05027
5,30,171,80,46.78,91,53.22,05030
5,33,150,139,92.67,11,7.33,05033
5,35,149,105,70.47,44,29.53,05035
5,39,215,130,60.47,85,39.53,05039
5,41,134,76,56.72,58,43.28,05041
5,45,111,97,87.39,14,12.61,05045
5,48,109,86,78.9,23,21.1,05048
5,50,151,138,91.39,13,8.61,05050
5,51,131,123,93.89,8,6.11,05051
5,52,23,19,82.61,4,17.39,05052
5,53,229,171,74.67,58,25.33,05053
5,55,170,153,90.0,17,10.0,05055
6,1,280,231,82.5,49,17.5,06001
6,2,249,218,87.55,31,12.45,06002
6,3,251,212,84.46,39,15.54,06003
6,4,133,121,90.98,12,9.02,06004
6,5,115,104,90.43,11,9.57,06005
6,6,192,155,80.73,37,19.27,06006
6,7,231,207,89.61,24,10.39,06007
6,8,251,211,84.06,40,15.94,06008
6,9,198,178,89.9,20,10.1,06009
6,10,292,243,83.22,49,16.78,06010
6,11,216,185,85.65,31,14.35,06011
6,12,153,142,92.81,11,7.19,06012
6,13,190,165,86.84,25,13.16,06013
6,14,201,183,91.04,18,8.96,06014
6,15,146,129,88.36,17,11.64,06015
6,16,248,207,83.47,41,16.53,06016
6,17,261,228,87.36,33,12.64,06017
6,18,88,81,92.05,7,7.95,06018
6,19,239,203,84.94,36,15.06,06019
6,20,218,193,88.53,25,11.47,06020
6,23,179,163,91.06,16,8.94,06023
6,24,252,219,86.9,33,13.1,06024
6,25,164,151,92.07,13,7.93,06025
6,26,236,196,83.05,40,16.95,06026
6,27,270,233,86.3,37,13.7,06027
6,28,390,312,80.0,78,20.0,06028
6,29,277,225,81.23,52,18.77,06029
6,30,160,143,89.38,17,10.63,06030
6,31,256,222,86.72,34,13.28,06031
6,32,216,194,89.81,22,10.19,06032
6,33,263,229,87.07,34,12.93,06033
6,34,189,159,84.13,30,15.87,06034
6,35,206,170,82.52,36,17.48,06035
6,36,110,97,88.18,13,11.82,06036
6,37,258,208,80.62,50,19.38,06037
6,38,237,205,86.5,32,13.5,06038
6,39,184,172,93.48,12,6.52,06039
6,40,118,106,89.83,12,10.17,06040
6,41,229,193,84.28,36,15.72,06041
6,42,98,92,93.88,6,6.12,06042
6,43,222,197,88.74,25,11.26,06043
6,44,206,166,80.58,40,19.42,06044
6,45,152,133,87.5,19,12.5,06045
6,46,203,161,79.31,42,20.69,06046
6,47,237,196,82.7,41,17.3,06047
6,48,187,157,83.96,30,16.04,06048
6,49,218,188,86.24,30,13.76,06049
6,50,231,208,90.04,23,9.96,06050
6,51,150,134,89.33,16,10.67,06051
6,52,144,127,88.19,17,11.81,06052
6,53,199,158,79.4,41,20.6,06053
6,54,209,175,83.73,34,16.27,06054
6,55,169,146,86.39,23,13.61,06055
6,56,137,116,84.67,21,15.33,06056
6,57,120,107,89.17,13,10.83,06057
6,58,237,192,81.01,45,18.99,06058
6,59,203,173,85.22,30,14.78,06059
6,60,147,115,78.23,32,21.77,06060
6,61,132,115,87.12,17,12.88,06061
6,62,193,163,84.46,30,15.54,06062
6,63,180,145,80.56,35,19.44,06063
8,1,247,209,84.62,38,15.38,08001
8,2,108,97,89.81,11,10.19,08002
8,3,115,95,82.61,20,17.39,08003
8,6,241,217,90.04,24,9.96,08006
8,10,294,236,80.27,58,19.73,08010
8,11,195,179,91.79,16,8.21,08011
8,12,183,158,86.34,25,13.66,08012
8,13,169,149,88.17,20,11.83,08013
8,14,142,128,90.14,14,9.86,08014
8,16,251,218,86.85,33,13.15,08016
8,18,127,116,91.34,11,8.66,08018
8,20,160,145,90.63,15,9.38,08020
8,21,175,162,92.57,13,7.43,08021
8,22,178,154,86.52,24,13.48,08022
8,29,238,211,88.66,27,11.34,08029
8,30,181,156,86.19,25,13.81,08030
8,31,144,130,90.28,14,9.72,08031
8,33,198,181,91.41,17,8.59,08033
8,35,259,232,89.58,27,10.42,08035
8,37,224,198,88.39,26,11.61,08037
8,38,184,164,89.13,20,10.87,08038
8,40,216,195,90.28,21,9.72,08040
8,41,166,147,88.55,19,11.45,08041
8,43,162,143,88.27,19,11.73,08043
8,45,167,156,93.41,11,6.59,08045
8,48,183,158,86.34,25,13.66,08048
8,52,246,220,89.43,26,10.57,08052
8,53,276,256,92.75,20,7.25,08053
8,54,235,207,88.09,28,11.91,08054
8,55,171,150,87.72,21,12.28,08055
8,56,225,204,90.67,21,9.33,08056
8,58,234,203,86.75,31,13.25,08058
8,59,126,113,89.68,13,10.32,08059
8,61,175,157,89.71,18,10.29,08061
8,64,170,157,92.35,13,7.65,08064
8,67,101,90,89.11,11,10.89,08067
8,68,119,109,91.6,10,8.4,08068
8,69,145,134,92.41,11,7.59,08069
9,36,215,192,89.3,23,10.7,09036
9,47,238,211,88.66,27,11.34,09047
